Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
DQ028632.1,Aichi virus 1,Goiania/GO/03/01/Brazil,Aichivirus A,Kobuvirus,Brazil,Homo sapiens,0,2006,0
EU787450.2,aichivirus C1,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2007,0
FJ890523.1,Aichi virus 1,Chshc7,Aichivirus A,Kobuvirus,China,Homo sapiens,0,2008,0
GQ249161.1,Porcine kobuvirus swine/K-30-HUN/2008/HUN,swine/K-30-HUN/2008/HUN,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2008,0
GU245693.2,aichivirus B3,,Aichivirus B,Kobuvirus,Hungary,Ovis aries,0,2009,0
GU292559.1,Kobuvirus pig/JY-2010a/CHN,Y-1-CHI,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2010,0
JF755427.1,aichivirus A3,,Aichivirus A,Kobuvirus,USA,Peromyscus crinitus,0,2010,0
JN088541.1,Canine kobuvirus US-PC0082,,Aichivirus A,Kobuvirus,USA,Canis lupus familiaris,0,2010,0
JQ692069.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2011,0
JQ911763.1,Canine kobuvirus CH-1,,Aichivirus A,Kobuvirus,China,Canis lupus familiaris,0,2011,0
JX177612.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,0,2011,0
JX401523.1,Porcine kobuvirus,CH/HNXX-4/2012,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KC161964.1,Canine kobuvirus,,Canine kobuvirus,Kobuvirus,United Kingdom,Canis lupus familiaris,0,2008,0
KC204684.1,Porcine kobuvirus,XX,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2011,0
KC414936.1,Porcine kobuvirus,K-11/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KC424638.1,Porcine kobuvirus,K-4/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KC424639.1,Porcine kobuvirus,GS-1/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KC424640.1,Porcine kobuvirus,GS-2/2012/CH,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KF539763.1,Porcine kobuvirus,swKoV CH441,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KF695124.1,Porcine kobuvirus,ch-kobu/2008/China,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2008,0
KF831027.1,aichivirus A4,,Aichivirus A,Kobuvirus,South Korea,Feliformia,0,2011,0
KF924623.1,Canine kobuvirus,12D049,Canine kobuvirus,Kobuvirus,South Korea,Canis lupus familiaris,0,2012,0
KJ452348.1,Porcine kobuvirus,CH/DX/2012,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2012,0
KJ641686.1,aichivirus F1,BtMr-PicoV/JX2010,Aichivirus F,Kobuvirus,China,Myotis ricketti,1,2010,0
KJ641691.1,aichivirus F2,BtMf-PicoV-2/GD2012,Aichivirus F,Kobuvirus,China,Miniopterus fuliginosus,1,2012,0
KJ934637.1,aichivirus A5,,Aichivirus A,Kobuvirus,Hungary,Coracias garrulus,0,2011,0
KJ958930.1,Feline kobuvirus,12D240,Aichivirus A,Kobuvirus,South Korea,Feliformia,0,2012,0
KM051987.1,Porcine kobuvirus,,Aichivirus C,Kobuvirus,China,Sus scrofa,0,2014,0
KM068048.1,Canine kobuvirus 1,DD2,Aichivirus A,Kobuvirus,Tanzania,Canis lupus familiaris,0,2003,0
KM068049.1,Canine kobuvirus 1,82,Aichivirus A,Kobuvirus,Tanzania,Canis adustus,0,2010,0
KM068050.1,Canine kobuvirus 1,75,Aichivirus A,Kobuvirus,Tanzania,Canis aureus,0,2011,0
KM068051.1,Canine kobuvirus 1,B103,Aichivirus A,Kobuvirus,Tanzania,Crocuta crocuta,0,2010,0
KM091960.1,Feline kobuvirus,,Aichivirus A,Kobuvirus,Italy,Felis catus,0,2013,0
