#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-1867.798	5.964e+04	2.266e+04	1.570e+05
-1663.213	7.794e+04	3.947e+04	1.539e+05
-1458.629	9.262e+04	4.699e+04	1.826e+05
-1254.044	1.096e+05	5.676e+04	2.115e+05
-1049.460	1.205e+05	9.677e+04	1.500e+05
-844.875	1.206e+05	9.691e+04	1.501e+05
-640.291	9.233e+04	4.667e+04	1.826e+05
-435.706	1.232e+05	1.018e+05	1.490e+05
-231.122	1.266e+05	1.030e+05	1.556e+05
-26.537	2.879e+05	1.947e+05	4.256e+05
178.047	6.784e+05	4.683e+05	9.827e+05
382.632	1.234e+06	8.596e+05	1.770e+06
587.216	1.748e+06	1.226e+06	2.492e+06
791.801	2.835e+06	2.025e+06	3.968e+06
996.386	3.129e+06	2.277e+06	4.301e+06
1200.970	4.811e+06	3.618e+06	6.399e+06
1405.555	7.149e+06	5.351e+06	9.551e+06
1610.139	1.055e+07	7.800e+06	1.426e+07
1814.724	1.882e+07	1.348e+07	2.626e+07
2019.308	2.255e+07	1.261e+07	4.035e+07
