#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-1850.561	5.346e+04	2.037e+04	1.403e+05
-1646.884	6.907e+04	3.500e+04	1.363e+05
-1443.206	9.610e+04	4.861e+04	1.900e+05
-1239.529	1.235e+05	1.019e+05	1.497e+05
-1035.852	1.201e+05	9.602e+04	1.501e+05
-832.174	1.226e+05	1.004e+05	1.498e+05
-628.497	1.252e+05	1.022e+05	1.535e+05
-424.820	1.246e+05	1.026e+05	1.512e+05
-221.142	1.254e+05	1.030e+05	1.527e+05
-17.465	3.001e+05	2.031e+05	4.434e+05
186.212	7.032e+05	4.848e+05	1.020e+06
389.890	1.122e+06	7.794e+05	1.615e+06
593.567	1.901e+06	1.341e+06	2.697e+06
797.244	2.661e+06	1.898e+06	3.732e+06
1000.922	3.093e+06	2.250e+06	4.250e+06
1204.599	4.928e+06	3.706e+06	6.553e+06
1408.276	7.038e+06	5.258e+06	9.420e+06
1611.954	1.054e+07	7.795e+06	1.425e+07
1815.631	1.855e+07	1.327e+07	2.594e+07
2019.308	2.371e+07	1.330e+07	4.227e+07
