#node	date	numeric date
NODE_0000025	1256-02-14	1256.122515
NODE_0000004	1300-05-02	1300.332888
NODE_0000003	1680-10-16	1680.790975
NC_043542.1	2012-01-17	2012.045082
NODE_0000002	1722-11-20	1722.887115
OQ818319	2018-02-15	2018.124658
NODE_0000000	1760-08-11	1760.610798
NC_032112.1	2007-01-11	2007.028767
NODE_0000001	1834-10-24	1834.813667
NC_003005.1	2000-06-14	2000.452186
NC_029309.1	2007-01-06	2007.015068
NODE_0000005	1475-05-15	1475.369204
NODE_0000006	1664-11-22	1664.890791
NC_006271.1	2004-01-19	2004.050546
NODE_0000007	1699-12-15	1699.955486
NC_033492.1	2009-01-13	2009.034247
NODE_0000008	1734-11-19	1734.883996
NC_008182.1	2005-12-28	2005.990411
NODE_0000009	1790-11-03	1790.839690
NC_003785.2	1997-12-19	1997.965753
NC_035221.1	2005-02-17	2005.130137
NODE_0000010	1571-04-30	1571.327835
NODE_0000011	1610-02-25	1610.151030
NC_043544.1	2016-07-18	2016.545082
NODE_0000012	1661-07-09	1661.520260
NODE_0000013	1700-12-07	1700.933648
NC_018613.1	2008-02-29	2008.162568
NODE_0000014	1774-09-04	1774.674131
NC_001834.1	1997-07-16	1997.538356
NC_038321.1	2007-10-08	2007.768493
NODE_0000015	1679-04-09	1679.270585
NC_040673.1	2007-01-13	2007.034247
NODE_0000016	1699-09-08	1699.685946
NC_020898.1	2007-01-08	2007.020548
NODE_0000017	1790-03-20	1790.215018
NC_024489.1	2011-11-17	2011.878082
NC_032087.1	2007-01-11	2007.028767
NODE_0000018	1611-01-23	1611.061002
NODE_0000019	1790-11-21	1790.889804
NC_040642.1	2007-02-16	2007.127397
NODE_0000020	1966-06-04	1966.422178
NC_040587.1	2007-01-14	2007.036986
NC_040646.1	2007-06-11	2007.442466
NODE_0000021	1787-03-20	1787.213996
NC_006559.1	2004-05-24	2004.394809
NODE_0000022	1861-02-03	1861.091910
NC_002548.1	1999-04-11	1999.275342
NODE_0000023	1907-02-27	1907.157587
NC_023021.1	2008-05-13	2008.364754
NODE_0000024	1927-03-28	1927.236267
NC_004807.1	2003-04-13	2003.280822
NC_009025.1	2009-01-04	2009.009589
NODE_0000026	1286-05-12	1286.359519
NODE_0000027	1746-01-15	1746.039981
NC_021178.1	2007-11-10	2007.858904
NODE_0000028	1826-05-04	1826.337883
NC_014793.1	1987-07-01	1987.497260
NC_026921.1	2007-01-12	2007.031507
NODE_0000029	1315-10-31	1315.830973
NODE_0000030	1703-12-04	1703.925384
NC_038764.1	2003-01-11	2003.028767
NODE_0000031	1794-07-09	1794.519302
NC_003784.1	1999-09-06	1999.680822
NC_012212.1	2007-10-07	2007.765753
NODE_0000032	1363-11-24	1363.897920
NODE_0000033	1441-10-19	1441.797426
NODE_0000034	1674-10-10	1674.773234
NODE_0000035	1699-09-18	1699.712752
NC_033823.1	2012-01-13	2012.034153
NODE_0000036	1774-08-19	1774.630207
NC_032270.1	2007-01-13	2007.034247
NODE_0000037	1915-07-04	1915.505071
NC_040417.1	2007-02-16	2007.127397
NC_038302.1	1962-07-01	1962.497260
NODE_0000038	1716-03-04	1716.172729
NODE_0000039	1914-09-28	1914.742192
NC_003840.1	1995-07-01	1995.497260
NC_003839.2	1991-07-19	1991.546575
NODE_0000040	1733-05-24	1733.392860
NC_005266.1	2003-05-20	2003.382192
NODE_0000041	1809-07-26	1809.565509
NODE_0000042	1953-09-20	1953.718731
NC_005096.1	2008-07-03	2008.504098
NC_038761.1	2003-01-11	2003.028767
NODE_0000043	1892-07-11	1892.524785
NC_038762.1	2003-01-11	2003.028767
NC_005097.1	1996-03-06	1996.178962
NODE_0000044	1531-12-08	1531.935766
NC_035214.1	2012-08-17	2012.627049
NODE_0000045	1568-06-17	1568.459884
NODE_0000046	1634-02-17	1634.129634
NC_015492.1	2003-08-19	2003.631507
NODE_0000047	1917-10-29	1917.825985
NC_003509.1	2004-05-01	2004.331967
NODE_0000048	1977-02-18	1977.133937
NC_003502.1	1997-08-19	1997.631507
NC_023676.1	2007-01-11	2007.028767
NODE_0000049	1587-01-22	1587.058803
NODE_0000050	1755-05-12	1755.361458
NC_040611.1	2004-01-17	2004.045082
NODE_0000051	1864-10-10	1864.774892
NC_003446.1	2001-07-17	2001.541096
NC_003445.1	2001-07-17	2001.541096
NODE_0000052	1613-03-29	1613.239362
NODE_0000053	1643-11-29	1643.910165
NC_022798.1	2012-01-12	2012.031421
NODE_0000054	1684-03-09	1684.186942
NC_038767.1	2001-11-15	2001.872603
NODE_0000055	1727-03-17	1727.206305
NC_038765.1	2007-01-10	2007.026027
