#node	date	numeric date
NODE_0000400	0595-08-25	595.647306
NODE_0000079	0676-02-27	676.158068
NODE_0000080	1394-12-21	1394.969892
NC_006271.1	2004-01-19	2004.050546
NODE_0000081	1458-06-28	1458.490164
NC_005281.1	2007-07-03	2007.502740
NODE_0000082	1532-01-18	1532.048154
NODE_0000083	1692-04-03	1692.256696
NC_038301.1	2012-11-29	2012.911202
NC_003785.2	1997-12-19	1997.965753
NODE_0000084	1597-02-18	1597.133944
NC_015414.1	2009-02-15	2009.124658
NC_015492.1	2003-08-19	2003.631507
NODE_0000075	1034-02-15	1034.124677
NODE_0000076	1520-11-02	1520.836520
NC_026921.1	2007-01-12	2007.031507
NODE_0000077	1591-07-15	1591.535628
NC_021178.1	2007-11-10	2007.858904
NODE_0000078	1710-11-07	1710.851645
NC_036585.1	2014-11-14	2014.869863
NC_016405.1	2011-01-10	2011.026027
NODE_0000070	1103-04-01	1103.248725
NODE_0000071	1151-11-02	1151.835617
NODE_0000072	1683-10-22	1683.805997
NC_025474.1	2007-01-12	2007.031507
NC_035115.1	2014-11-15	2014.872603
NODE_0000073	1627-12-22	1627.974807
NC_027917.1	2002-02-15	2002.124658
NODE_0000074	1750-09-12	1750.697986
NC_025890.1	2008-11-12	2008.864754
NC_035455.1	2005-02-17	2005.130137
NODE_0000058	1142-08-18	1142.628720
NODE_0000059	1198-03-25	1198.229493
NC_033824.1	1986-07-01	1986.497260
NODE_0000060	1228-03-20	1228.217865
NODE_0000061	1928-10-25	1928.816498
NC_031688.1	2016-06-25	2016.482240
NC_031687.1	2016-06-17	2016.460383
NODE_0000062	1281-09-28	1281.742131
NODE_0000063	1691-04-19	1691.297003
NC_004365.1	2008-08-02	2008.586066
NODE_0000064	1934-08-07	1934.597776
NC_034973.1	2015-02-15	2015.124658
NC_035184.1	2006-10-17	2006.793151
NODE_0000065	1591-10-08	1591.768307
NC_003924.1	1999-12-20	1999.968493
NODE_0000066	1666-05-31	1666.412870
NC_006559.1	2004-05-24	2004.394809
NODE_0000067	1782-10-07	1782.766833
NC_002548.1	1999-04-11	1999.275342
NODE_0000068	1850-02-04	1850.095692
NC_023021.1	2008-05-13	2008.364754
NODE_0000069	1882-09-16	1882.707793
NC_009025.1	2009-01-04	2009.009589
NC_004807.1	2003-04-13	2003.280822
NODE_0000033	1181-08-19	1181.632319
NODE_0000034	1213-11-28	1213.909167
NODE_0000035	1280-01-28	1280.076244
NC_009758.1	2006-12-26	2006.984932
NC_001834.1	1997-07-16	1997.538356
NODE_0000036	1243-02-15	1243.125567
NODE_0000037	1296-02-07	1296.102579
NC_003783.1	1999-08-17	1999.626027
NC_003782.1	1998-08-20	1998.634247
NODE_0000038	1275-10-08	1275.767266
NODE_0000039	1316-10-17	1316.792914
NC_003779.1	1997-08-12	1997.612329
NODE_0000040	1349-01-23	1349.061454
NC_025219.1	2007-01-13	2007.034247
