#node	date	numeric date
NODE_0000057	0102-12-05	102.927880
NODE_0000058	1223-08-06	1223.596390
NODE_0000059	1678-06-20	1678.468104
NC_018400.1	2003-11-15	2003.872603
NODE_0000060	1921-04-08	1921.266345
NC_024770.1	2007-01-11	2007.028767
NC_028964.1	2007-01-13	2007.034247
NODE_0000061	1847-10-07	1847.766306
NC_039235.1	2005-02-17	2005.130137
NODE_0000062	1920-09-23	1920.726795
NC_024769.1	2010-09-16	2010.708219
NODE_0000063	1929-01-30	1929.080302
NC_024768.1	2010-10-08	2010.768493
NODE_0000064	1929-01-30	1929.080302
NC_023858.1	2010-09-13	2010.700000
NC_021201.1	2005-06-14	2005.450685
NODE_0000065	1024-07-08	1024.518129
NODE_0000066	1129-06-27	1129.485015
NODE_0000067	1350-07-27	1350.569596
NC_014411.1	2001-11-07	2001.850685
NC_036588.1	2007-01-13	2007.034247
NODE_0000068	1798-05-03	1798.335326
NC_023861.1	1994-03-22	1994.220548
NODE_0000069	1847-05-12	1847.360553
NC_024765.1	2010-10-08	2010.768493
NC_028380.1	2007-01-13	2007.034247
NODE_0000070	1106-09-06	1106.679453
NC_038317.1	2007-01-11	2007.028767
NODE_0000071	1175-02-25	1175.150953
NODE_0000072	1258-07-30	1258.576639
NC_022802.1	1953-07-01	1953.497260
NODE_0000073	1831-06-24	1831.477044
NC_025114.1	2004-01-11	2004.028689
NODE_0000074	1941-01-09	1941.021960
NC_012957.1	2002-10-16	2002.790411
NC_012986.1	2009-06-22	2009.472603
NODE_0000075	1431-09-27	1431.737702
NODE_0000076	1690-02-18	1690.133272
NC_027919.1	1988-07-01	1988.498634
NC_027918.1	2011-01-14	2011.036986
NODE_0000077	1507-09-25	1507.732513
NODE_0000078	1650-01-03	1650.007630
NC_004421.1	2005-08-02	2005.584932
NODE_0000079	1787-06-11	1787.443604
NC_023422.1	2010-04-13	2010.280822
NODE_0000080	1909-12-08	1909.934726
NC_011829.1	2007-08-05	2007.593151
NODE_0000081	1938-11-23	1938.895362
NC_016769.1	2007-01-08	2007.020548
NC_027054.1	2003-01-12	2003.031507
NODE_0000082	1729-07-19	1729.547853
NODE_0000083	2011-09-26	2011.736799
OP287812.1	2018-07-27	2018.568493
OQ818322	2019-04-23	2019.308219
NODE_0000084	1795-02-07	1795.104079
NC_001918.1	1998-01-07	1998.017808
NODE_0000085	1852-02-26	1852.154702
NC_015936.1	2008-12-19	2008.965847
NC_034971.1	2007-01-11	2007.028767
NODE_0000053	0258-07-19	258.547653
NODE_0000054	1280-02-13	1280.118016
NODE_0000055	1617-11-04	1617.841949
NC_034617.1	2009-01-15	2009.039726
NC_021482.1	2006-11-13	2006.867123
NODE_0000056	1562-07-06	1562.510452
NC_038957.1	2009-01-11	2009.028767
NC_040684.1	2007-02-16	2007.127397
NODE_0000047	0374-02-10	374.110833
NODE_0000048	0763-05-23	763.391761
NODE_0000049	1125-01-18	1125.048841
NC_023988.1	2012-01-11	2012.028689
NODE_0000050	1553-09-25	1553.731532
NC_040642.1	2007-02-16	2007.127397
NC_043544.1	2016-07-18	2016.545082
NODE_0000051	1299-07-07	1299.512736
NC_032126.1	2007-01-13	2007.034247
NODE_0000052	1675-05-13	1675.362768
NC_014413.1	2007-01-04	2007.009589
NC_014412.1	2001-11-07	2001.850685
NODE_0000041	0433-01-20	433.052454
NODE_0000042	0772-12-27	772.988929
NODE_0000043	1354-04-28	1354.322971
NC_021178.1	2007-11-10	2007.858904
NC_026921.1	2007-01-12	2007.031507
NODE_0000044	1504-01-12	1504.031341
NODE_0000045	1677-01-23	1677.062199
NC_031105.1	2009-03-24	2009.226027
NC_031106.1	2016-06-15	2016.454918
NODE_0000046	1718-08-01	1718.582198
NC_038880.1	2007-01-11	2007.028767
NC_024070.1	2008-10-29	2008.826503
NODE_0000040	0478-05-11	478.358737
NC_055108.1	2003-01-09	2003.023288
NODE_0000039	0519-04-12	519.276739
NODE_0000037	0590-04-23	590.309443
NODE_0000038	1444-07-14	1444.533835
NC_035110.1	2007-10-14	2007.784932
NC_027214.1	2014-11-25	2014.900000
NODE_0000036	0703-04-01	703.247594
NC_039210.1	2007-01-11	2007.028767
NODE_0000033	0761-10-10	761.772742
NODE_0000034	1422-11-01	1422.834549
NC_003985.1	1998-12-02	1998.919178
NODE_0000035	1810-12-22	1810.973454
OQ818323	2018-07-29	2018.573973
OQ818324	2018-07-29	2018.573973
NODE_0000028	0773-10-26	773.817022
NODE_0000029	1299-04-26	1299.315126
NODE_0000030	1654-02-28	1654.159214
NC_026316.1	2007-01-13	2007.034247
NC_026315.1	2007-01-12	2007.031507
NODE_0000031	1473-06-10	1473.438757
NC_055159.1	2014-08-15	2014.620548
NODE_0000032	1712-05-02	1712.334648
NC_025675.1	1981-07-01	1981.497260
NC_018668.1	2007-01-07	2007.017808
NODE_0000026	0891-10-22	891.806839
NODE_0000027	1723-05-23	1723.390653
NC_038318.1	2018-08-24	2018.645205
NC_023987.1	2009-07-15	2009.535616
NODE_0000006	0963-09-06	963.679982
NODE_0000005	1247-01-18	1247.047074
NC_034385.1	2001-09-16	2001.708219
NODE_0000003	1505-02-11	1505.114639
NODE_0000004	1600-03-05	1600.175901
NC_012801.1	2011-05-08	2011.349315
NC_025961.1	2007-01-13	2007.034247
NODE_0000002	1547-04-20	1547.300593
NC_012800.1	2011-05-08	2011.349315
NODE_0000000	1688-05-23	1688.392326
NC_012798.1	2011-05-08	2011.349315
NODE_0000001	1868-04-25	1868.316791
NC_023984.1	2010-10-12	2010.779452
NC_012802.1	2004-01-07	2004.017760
NODE_0000007	1074-11-22	1074.892562
NODE_0000008	1214-03-17	1214.207137
OQ818316	2018-08-16	2018.623288
NODE_0000009	1333-02-15	1333.123664
NC_026470.1	2009-02-14	2009.121918
NODE_0000010	1414-03-30	1414.242301
NODE_0000011	1697-11-19	1697.883493
NC_043072.1	2007-01-10	2007.026027
NC_034381.1	2001-05-16	2001.371233
NODE_0000012	1513-11-13	1513.866854
NODE_0000013	1821-03-06	1821.175870
NC_024120.1	2003-01-09	2003.023288
NC_033793.1	2012-01-13	2012.034153
NODE_0000014	1908-01-13	1908.033391
NC_035198.1	2007-01-11	2007.028767
NC_055161.1	2018-07-27	2018.568493
NODE_0000015	1222-05-16	1222.371382
NODE_0000016	1392-04-26	1392.318888
NC_001479.1	2000-08-01	2000.583333
NODE_0000017	1870-03-20	1870.215458
NC_010810.1	2001-07-08	2001.516438
NC_009448.2	2006-07-21	2006.552055
NODE_0000018	1291-02-05	1291.096738
NODE_0000019	1417-03-06	1417.176553
NC_011349.1	2006-05-16	2006.371233
NODE_0000020	1534-01-26	1534.070471
NC_038305.1	2006-04-19	2006.297260
NC_001366.1	1990-09-13	1990.700000
NODE_0000021	1291-02-05	1291.096738
NC_040611.1	2004-01-17	2004.045082
NODE_0000022	1291-02-05	1291.096738
NODE_0000023	1497-08-03	1497.588095
