#node	date	numeric date
NODE_0000001	1951-04-06	1951.260418
NODE_0000155	1970-04-27	1970.318932
NODE_0000156	1978-03-16	1978.203976
KP100644.1	2013-07-15	2013.535616
NODE_0000157	1989-10-09	1989.771650
OQ818316	2018-08-16	2018.623288
NODE_0000158	2000-09-10	2000.691946
JQ814851.1	2010-12-15	2010.954795
NODE_0000159	2007-11-16	2007.876421
MG888045.1	2017-02-15	2017.124658
NODE_0000160	2010-06-07	2010.432766
KP054278.1	2013-07-15	2013.535616
NODE_0000161	2012-10-19	2012.799284
KP054273.1	2013-07-15	2013.535616
NODE_0000162	2013-02-08	2013.104164
KP054276.1	2013-07-15	2013.535616
NODE_0000163	2013-03-27	2013.233002
KP054277.1	2013-07-15	2013.535616
NODE_0000164	2013-04-17	2013.290843
KP054275.1	2013-07-15	2013.535616
KP054274.1	2013-07-15	2013.535616
NODE_0000165	1974-11-24	1974.897760
NODE_0000166	2011-11-23	2011.895223
KX644936.1	2013-12-15	2013.954795
OQ818317	2018-02-15	2018.124658
NODE_0000167	1987-07-14	1987.531837
NODE_0000168	1997-01-15	1997.040433
MN602325.1	2017-07-15	2017.535616
NODE_0000169	1999-07-15	1999.535684
KJ641686.1	2010-10-15	2010.787671
NODE_0000170	2012-01-15	2012.039165
MW450838.1	2020-02-20	2020.137978
NODE_0000171	2012-03-21	2012.220563
MF352427.1	2012-07-15	2012.536885
KJ641691.1	2012-12-15	2012.954918
NODE_0000172	2001-05-27	2001.400189
NODE_0000173	2018-04-28	2018.320605
OP287812.1	2018-07-27	2018.568493
OQ818322	2018-07-29	2018.573973
NODE_0000174	2007-05-15	2007.368318
NODE_0000175	2013-12-27	2013.987704
MF947433.1	2014-06-17	2014.458904
NODE_0000176	2014-06-05	2014.427229
MF947430.1	2014-06-11	2014.442466
MF947431.1	2014-06-11	2014.442466
NODE_0000177	2014-03-12	2014.192988
MF947434.1	2014-06-11	2014.442466
NODE_0000178	2014-03-20	2014.216431
MF947440.1	2014-09-14	2014.702740
NODE_0000179	2014-04-16	2014.289726
MF947437.1	2015-02-06	2015.100000
NODE_0000180	2014-04-17	2014.291875
NODE_0000181	2014-04-22	2014.305645
MF947429.1	2014-06-11	2014.442466
MF947438.1	2014-09-18	2014.713699
NODE_0000182	2014-04-18	2014.294924
NODE_0000183	2014-05-24	2014.394211
MF947432.1	2014-06-11	2014.442466
MF947439.1	2014-09-11	2014.694521
NODE_0000184	2014-05-23	2014.390433
MF947435.1	2014-06-11	2014.442466
MF947436.1	2014-06-11	2014.442466
NODE_0000151	1954-12-11	1954.944893
NODE_0000152	1979-06-27	1979.486076
KX420938.1	2012-10-24	2012.812842
NODE_0000153	1991-12-09	1991.937917
OQ818318	2018-02-15	2018.124658
NODE_0000154	2010-09-21	2010.721490
OQ818324	2018-09-11	2018.694521
OQ818323	2018-07-29	2018.573973
NODE_0000150	1960-03-27	1960.236303
NODE_0000185	1961-11-25	1961.901137
NODE_0000186	1964-12-14	1964.950910
OQ818331	2018-03-01	2018.163014
NODE_0000187	1970-06-02	1970.418148
OP963622.1	2016-07-15	2016.536885
NODE_0000188	1999-06-10	1999.440811
NODE_0000189	2003-07-09	2003.517851
OQ818319	2018-07-27	2018.568493
NODE_0000190	2006-02-11	2006.114787
KX759619.1	2014-01-15	2014.039726
KX759623.1	2014-01-15	2014.039726
NODE_0000191	2001-04-29	2001.323594
OP963623.1	2017-07-15	2017.535616
NODE_0000192	2004-03-15	2004.204741
NODE_0000193	2014-01-14	2014.036329
KX759620.1	2014-01-15	2014.039726
KX759622.1	2014-01-15	2014.039726
NODE_0000194	2013-12-21	2013.971407
KX759618.1	2014-01-15	2014.039726
KX759621.1	2014-01-15	2014.039726
NODE_0000195	1964-06-19	1964.465849
NODE_0000196	1970-01-07	1970.017455
OQ818326	2018-09-11	2018.694521
OQ818330	2018-02-23	2018.146575
NODE_0000197	1966-11-28	1966.909290
KJ641700.1	2012-12-15	2012.954918
NODE_0000198	1969-12-29	1969.991883
NODE_0000199	2018-07-12	2018.528627
OQ709197.1	2018-07-15	2018.535616
OP963671.1	2018-07-15	2018.535616
NODE_0000200	1979-02-19	1979.134883
NODE_0000201	1985-05-19	1985.380629
OQ363803.1	2022-08-15	2022.620548
NODE_0000202	1989-01-19	1989.050272
NODE_0000203	2000-08-24	2000.646199
KJ641698.1	2011-09-15	2011.705479
NODE_0000204	2009-08-02	2009.585030
NODE_0000205	2012-06-11	2012.444472
OQ363791.1	2022-08-15	2022.620548
OP963620.1	2015-07-15	2015.535616
NODE_0000206	2016-02-06	2016.098791
NODE_0000207	2020-10-01	2020.751126
OQ363779.1	2021-10-15	2021.787671
OQ363786.1	2021-05-15	2021.368493
