#node	date	numeric date
NODE_0000017	1764-05-06	1764.346606
NC_027122.1	2001-01-10	2001.026027
NODE_0000018	1924-09-23	1924.728532
NODE_0000019	1940-04-19	1940.298616
NC_004542.1	2000-08-01	2000.583333
NODE_0000020	1963-09-08	1963.686034
NC_025676.1	2007-01-11	2007.028767
NC_019712.1	1981-07-01	1981.497260
NODE_0000021	1943-04-03	1943.254150
NC_001481.2	2000-08-01	2000.583333
NODE_0000022	1980-12-24	1980.980064
NODE_0000023	1990-01-25	1990.068377
NC_004541.1	2000-11-14	2000.870219
NC_008580.1	2004-11-30	2004.913934
NODE_0000024	1986-02-09	1986.109525
NC_002551.1	1996-11-01	1996.834699
NODE_0000025	1991-06-13	1991.447026
NC_011050.1	2006-12-20	2006.968493
NC_034444.1	2004-03-13	2004.198087
NODE_0000016	1800-05-17	1800.372609
NODE_0000015	1881-02-23	1881.146695
NC_000940.1	1999-09-03	1999.672603
NODE_0000011	1905-04-27	1905.318689
NODE_0000012	1937-10-28	1937.822419
NC_027026.1	2007-01-14	2007.036986
NODE_0000013	1954-12-29	1954.993460
NC_006269.1	2004-07-23	2004.558743
NODE_0000014	1989-10-29	1989.827089
NC_010624.1	2003-02-17	2003.130137
NC_006554.1	2004-04-21	2004.304645
NODE_0000007	1922-06-26	1922.482501
NODE_0000008	1953-08-22	1953.638712
NC_033776.1	2006-01-14	2006.036986
NODE_0000009	1965-07-20	1965.548430
NC_002615.1	1996-02-16	1996.127049
NODE_0000010	1981-01-21	1981.056488
NC_001543.1	2000-08-01	2000.583333
NC_011704.1	2005-01-07	2005.017808
NODE_0000006	1930-05-22	1930.387238
NC_043512.1	2007-01-11	2007.028767
NODE_0000004	1963-09-06	1963.681794
NODE_0000005	1980-02-21	1980.139381
OQ818348	2019-01-31	2019.083562
OQ818347	2018-09-11	2018.694521
NODE_0000003	1980-09-12	1980.696769
OQ818319	2018-02-15	2018.124658
NODE_0000002	1983-08-11	1983.610833
OQ818345	2018-04-14	2018.283562
NODE_0000001	2002-06-09	2002.436986
NC_030886.1	2002-06-09	2002.436986
OQ818340	2018-04-10	2018.272603
NODE_0000026	1824-01-15	1824.039001
NC_033081.1	2007-01-13	2007.034247
NODE_0000027	1834-09-08	1834.685717
NODE_0000028	1883-09-19	1883.716850
NC_043516.1	2010-01-25	2010.067123
NC_024078.1	2013-02-19	2013.135616
NODE_0000029	1848-07-01	1848.499078
NODE_0000030	1922-07-09	1922.519721
NC_017936.1	2011-11-18	2011.880822
NODE_0000031	1940-03-29	1940.241678
NC_030793.1	2016-04-22	2016.307377
NODE_0000032	1993-06-05	1993.427339
NC_007916.1	2005-05-20	2005.382192
NODE_0000033	1996-03-13	1996.198788
NC_006875.1	2003-08-20	2003.634247
NC_004064.1	2003-07-02	2003.500000
NODE_0000034	1870-05-06	1870.342966
NODE_0000035	1929-12-05	1929.927813
NC_024031.1	2008-10-29	2008.826503
NC_035675.1	2006-01-14	2006.036986
NODE_0000036	1894-07-04	1894.504119
NODE_0000037	1964-08-29	1964.660836
NC_040674.1	2015-07-20	2015.549315
NC_012699.1	1981-07-01	1981.497260
NODE_0000038	1921-11-18	1921.881866
NODE_0000039	1923-03-09	1923.185638
NC_008311.1	2011-08-05	2011.593151
NODE_0000040	1942-06-16	1942.457158
NC_029645.1	2006-06-06	2006.428767
NODE_0000041	1949-04-24	1949.310158
NODE_0000042	1986-02-10	1986.111711
NC_044856.1	2008-05-27	2008.403005
NODE_0000043	1997-09-27	1997.738733
NC_039897.1	2007-01-17	2007.045205
NC_031324.1	2016-01-28	2016.075137
NODE_0000044	1962-02-24	1962.150295
NC_001959.2	1993-08-09	1993.604110
NODE_0000045	1974-05-26	1974.398798
NC_044853.1	2000-07-01	2000.498634
NC_044854.1	2005-11-16	2005.875342
NODE_0000046	1932-06-18	1932.462201
NODE_0000047	1940-05-28	1940.404740
NC_044047.1	1998-07-01	1998.497260
NODE_0000048	1954-07-09	1954.518599
NC_045762.1	2012-02-02	2012.088798
NODE_0000049	1982-11-13	1982.865924
NC_029647.1	2014-09-15	2014.705479
NC_044855.1	2007-06-11	2007.442466
NODE_0000050	1959-11-02	1959.835650
NODE_0000051	1975-03-29	1975.238942
NC_044045.1	2007-01-11	2007.028767
NC_040876.1	2007-01-13	2007.034247
NODE_0000052	1971-03-27	1971.235097
NC_044932.1	2007-01-10	2007.026027
NODE_0000053	1980-07-28	1980.573590
NC_039475.1	2012-12-16	2012.957650
NODE_0000054	1986-03-18	1986.208608
NC_029646.1	2012-01-10	2012.025956
NODE_0000055	1992-01-25	1992.067263
NC_044046.1	2007-01-07	2007.017808
NODE_0000056	1996-02-29	1996.162689
NC_039477.1	2007-01-07	2007.017808
NC_039476.1	2006-01-16	2006.042466
