#node	date	numeric date
NODE_0000016	1762-11-16	1762.876639
NC_027122.1	2001-01-10	2001.026027
NODE_0000017	1922-06-24	1922.478467
NODE_0000018	1937-08-07	1937.599338
NC_004542.1	2000-08-01	2000.583333
NODE_0000019	1959-09-04	1959.675280
NC_025676.1	2007-01-11	2007.028767
NC_019712.1	1981-07-01	1981.497260
NODE_0000020	1941-08-23	1941.642074
NC_001481.2	2000-08-01	2000.583333
NODE_0000021	1980-10-31	1980.831285
NODE_0000022	1989-12-14	1989.951969
NC_004541.1	2000-11-14	2000.870219
NC_008580.1	2004-11-30	2004.913934
NODE_0000023	1985-12-30	1985.996326
NC_002551.1	1996-11-01	1996.834699
NODE_0000024	1991-05-15	1991.369121
NC_011050.1	2006-12-20	2006.968493
NC_034444.1	2004-03-13	2004.198087
NODE_0000015	1798-11-26	1798.902642
NODE_0000014	1881-02-23	1881.146695
NC_000940.1	1999-09-03	1999.672603
NODE_0000010	1905-05-03	1905.334271
NODE_0000011	1937-10-26	1937.817145
NC_027026.1	2007-01-14	2007.036986
NODE_0000012	1955-01-16	1955.043429
NC_006269.1	2004-07-23	2004.558743
NODE_0000013	1989-10-29	1989.827089
NC_010624.1	2003-02-17	2003.130137
NC_006554.1	2004-04-21	2004.304645
NODE_0000000	1922-07-02	1922.499341
NODE_0000001	1953-08-22	1953.639212
NC_033776.1	2006-01-14	2006.036986
NODE_0000002	1965-08-10	1965.606344
NC_002615.1	1996-02-16	1996.127049
NODE_0000003	1981-02-23	1981.147634
NC_001543.1	2000-08-01	2000.583333
NC_011704.1	2005-01-07	2005.017808
NODE_0000004	1930-05-20	1930.383048
NC_043512.1	2007-01-11	2007.028767
NODE_0000005	1963-09-05	1963.677604
NODE_0000006	1980-02-20	1980.136807
OQ818348	2019-01-31	2019.083562
OQ818347	2018-09-11	2018.694521
NODE_0000007	1980-09-19	1980.715892
OQ818319	2018-02-15	2018.124658
NODE_0000008	1983-08-11	1983.610833
OQ818345	2018-04-14	2018.283562
NODE_0000009	2002-06-09	2002.436986
NC_030886.1	2002-06-09	2002.436986
OQ818340	2018-04-10	2018.272603
NODE_0000025	1822-07-17	1822.542303
NC_033081.1	2007-01-13	2007.034247
NODE_0000026	1833-03-04	1833.171113
NODE_0000027	1882-06-30	1882.495617
NC_043516.1	2010-01-25	2010.067123
NC_024078.1	2013-02-19	2013.135616
NODE_0000028	1846-12-04	1846.924014
NODE_0000029	1921-09-14	1921.703034
NC_017936.1	2011-11-18	2011.880822
NODE_0000030	1940-03-29	1940.241678
NC_030793.1	2016-04-22	2016.307377
NODE_0000031	1993-06-06	1993.428629
NC_007916.1	2005-05-20	2005.382192
NODE_0000032	1996-03-13	1996.198788
NC_006875.1	2003-08-20	2003.634247
NC_004064.1	2003-07-02	2003.500000
NODE_0000033	1869-03-11	1869.189520
NODE_0000034	1929-12-05	1929.927813
NC_024031.1	2008-10-29	2008.826503
NC_035675.1	2006-01-14	2006.036986
NODE_0000035	1893-11-05	1893.844293
NODE_0000036	1964-08-29	1964.660836
NC_040674.1	2015-07-20	2015.549315
NC_012699.1	1981-07-01	1981.497260
NODE_0000037	1921-10-17	1921.793027
NODE_0000038	1924-11-05	1924.844744
NC_008311.1	2011-08-05	2011.593151
NODE_0000039	1943-10-28	1943.824339
NC_029645.1	2006-06-06	2006.428767
NODE_0000040	1962-08-07	1962.598945
NODE_0000041	1985-07-21	1985.550963
NC_044856.1	2008-05-27	2008.403005
NODE_0000042	1997-07-06	1997.510209
NC_039897.1	2007-01-17	2007.045205
NC_031324.1	2016-01-28	2016.075137
NODE_0000043	1966-12-03	1966.922618
NC_001959.2	1993-08-09	1993.604110
NODE_0000044	1980-01-28	1980.074491
NC_044853.1	2000-07-01	2000.498634
NC_044854.1	2005-11-16	2005.875342
NODE_0000045	1932-06-20	1932.468740
NODE_0000046	1940-06-06	1940.431085
NC_044047.1	1998-07-01	1998.497260
NODE_0000047	1954-07-18	1954.544944
NC_045762.1	2012-02-02	2012.088798
NODE_0000048	1982-11-19	1982.883199
NC_029647.1	2014-09-15	2014.705479
NC_044855.1	2007-06-11	2007.442466
NODE_0000049	1959-11-08	1959.853631
NODE_0000050	1975-04-06	1975.261694
NC_044045.1	2007-01-11	2007.028767
NC_040876.1	2007-01-13	2007.034247
NODE_0000051	1971-03-28	1971.238189
NC_044932.1	2007-01-10	2007.026027
NODE_0000052	1980-07-27	1980.570922
NC_039475.1	2012-12-16	2012.957650
NODE_0000053	1986-03-17	1986.205941
NC_029646.1	2012-01-10	2012.025956
NODE_0000054	1992-01-24	1992.064596
NC_044046.1	2007-01-07	2007.017808
NODE_0000055	1996-02-29	1996.162689
NC_039477.1	2007-01-07	2007.017808
NC_039476.1	2006-01-16	2006.042466
