#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1762.616	2.521e+03	1.037e+03	6.126e+03
1776.114	3.113e+03	1.535e+03	6.314e+03
1789.613	4.046e+03	1.999e+03	8.191e+03
1803.111	4.839e+03	2.447e+03	9.567e+03
1816.609	5.148e+03	2.569e+03	1.032e+04
1830.107	6.303e+03	3.220e+03	1.234e+04
1843.606	7.593e+03	6.228e+03	9.258e+03
1857.104	7.432e+03	5.934e+03	9.309e+03
1870.602	7.635e+03	6.298e+03	9.256e+03
1884.101	7.484e+03	6.047e+03	9.264e+03
1897.599	7.401e+03	5.885e+03	9.308e+03
1911.097	7.617e+03	6.265e+03	9.261e+03
1924.595	7.666e+03	6.347e+03	9.258e+03
1938.094	9.762e+03	5.870e+03	1.624e+04
1951.592	1.433e+04	7.982e+03	2.573e+04
1965.090	2.306e+04	1.417e+04	3.754e+04
1978.589	2.675e+04	1.600e+04	4.471e+04
1992.087	4.285e+04	2.805e+04	6.545e+04
2005.585	2.198e+04	1.260e+04	3.832e+04
2019.084	7.654e+03	6.286e+03	9.320e+03
