#node	date	numeric date
NODE_0000186	-1855-05-12	-1854.640323
NODE_0000187	-021-09-13	-20.300446
NODE_0000188	0566-06-17	566.459407
NC_026921.1	2007-01-12	2007.031507
NODE_0000189	0784-02-08	784.104595
NC_021178.1	2007-11-10	2007.858904
NODE_0000190	1136-07-18	1136.545343
NC_036585.1	2014-11-14	2014.869863
NC_016405.1	2011-01-10	2011.026027
NODE_0000191	0672-02-27	672.156868
NC_027214.1	2014-11-25	2014.900000
NODE_0000192	0959-12-20	959.968077
NC_029306.1	2009-09-15	2009.705479
NODE_0000193	1349-10-31	1349.832809
NC_043542.1	2012-01-17	2012.045082
NODE_0000194	1986-08-22	1986.640268
NC_035110.1	2007-10-14	2007.784932
NC_029307.1	2009-09-15	2009.705479
NODE_0000108	-1560-04-15	-1559.712958
NODE_0000109	-1241-01-24	-1240.934359
NODE_0000110	-201-02-09	-200.892487
NODE_0000111	0247-08-31	247.663575
NODE_0000112	1085-05-17	1085.372895
NC_021567.1	2010-02-17	2010.130137
NC_009530.1	2007-03-22	2007.220548
NODE_0000113	0366-07-10	366.521113
NODE_0000114	1094-06-22	1094.471402
NC_006271.1	2004-01-19	2004.050546
NODE_0000115	1319-02-20	1319.137611
NC_026733.1	2013-06-22	2013.472603
NC_040724.1	2013-07-21	2013.552055
NODE_0000116	0500-06-08	500.433129
NC_040601.1	2007-01-13	2007.034247
NODE_0000117	0782-02-12	782.117383
NC_002066.1	1998-09-17	1998.710959
NODE_0000118	0961-03-27	961.234330
NC_036389.1	2010-01-10	2010.026027
NODE_0000119	1066-11-29	1066.909958
NC_033824.1	1986-07-01	1986.497260
NODE_0000120	1341-12-06	1341.930808
NC_055108.1	2003-01-09	2003.023288
NC_027713.1	2011-11-30	2011.913699
NODE_0000121	0000-11-26	0.902640
NODE_0000122	0961-04-29	961.324938
NC_034217.1	2014-03-20	2014.215068
NC_003924.1	1999-12-20	1999.968493
NODE_0000123	0255-06-04	255.423514
NC_003781.1	1997-02-06	1997.100000
NODE_0000124	0395-07-19	395.545768
NC_009758.1	2006-12-26	2006.984932
NODE_0000125	0589-05-19	589.378878
NODE_0000126	0799-10-29	799.824772
NC_003784.1	1999-09-06	1999.680822
NC_003782.1	1998-08-20	1998.634247
NODE_0000127	0727-12-17	727.960754
NODE_0000128	1772-11-12	1772.866119
NC_031688.1	2016-06-25	2016.482240
NC_031687.1	2016-06-17	2016.460383
NODE_0000129	1111-09-11	1111.694291
NC_004365.1	2008-08-02	2008.586066
NODE_0000130	1798-03-29	1798.240479
NC_034973.1	2015-02-15	2015.124658
NC_035184.1	2006-10-17	2006.793151
NODE_0000131	-262-03-18	-261.791353
NODE_0000132	-155-05-30	-154.589712
NODE_0000133	0018-03-29	18.240274
NC_003779.1	1997-08-12	1997.612329
NODE_0000134	1054-04-22	1054.304429
NC_006559.1	2004-05-24	2004.394809
NODE_0000135	1346-10-19	1346.798158
NC_002548.1	1999-04-11	1999.275342
NODE_0000136	1563-11-30	1563.915025
NC_023021.1	2008-05-13	2008.364754
NODE_0000137	1656-03-20	1656.217966
NC_004807.1	2003-04-13	2003.280822
NC_009025.1	2009-01-04	2009.009589
NODE_0000138	-068-11-08	-67.145802
NC_025219.1	2007-01-13	2007.034247
NODE_0000139	0009-06-09	9.435783
NODE_0000140	0166-11-07	166.850931
NC_029052.1	2007-01-15	2007.039726
NC_001834.1	1997-07-16	1997.538356
NODE_0000141	0086-01-08	86.019841
NC_012212.1	2007-10-07	2007.765753
NODE_0000142	0505-07-16	505.537086
NODE_0000143	0635-08-30	635.660768
NC_040798.1	2007-02-16	2007.127397
NODE_0000144	1607-10-10	1607.775235
NC_040832.1	2015-12-17	2015.960274
NODE_0000145	1680-02-21	1680.140622
NC_040716.1	2004-01-17	2004.045082
NC_040574.1	2007-01-15	2007.039726
NODE_0000146	0774-02-24	774.149325
NC_033152.1	2007-01-14	2007.036986
NODE_0000147	1060-09-11	1060.696488
NODE_0000148	1163-11-09	1163.855926
NC_028364.1	2007-01-14	2007.036986
NODE_0000149	1387-07-05	1387.507626
NC_001489.1	1987-08-05	1987.593151
NODE_0000150	1520-07-04	1520.505673
NC_038315.1	2007-01-10	2007.026027
NC_028363.1	2007-01-12	2007.031507
NODE_0000151	1132-04-24	1132.312380
NODE_0000152	1388-12-04	1388.924786
NC_038314.1	2007-01-12	2007.031507
NC_038313.1	2007-01-04	2007.009589
NODE_0000153	1250-10-22	1250.807963
NC_027818.1	2014-06-15	2014.453425
NODE_0000154	1352-07-09	1352.521554
NC_038316.1	2007-01-11	2007.028767
NODE_0000155	1544-09-12	1544.697311
NC_028365.1	2007-01-10	2007.026027
NODE_0000156	1592-10-22	1592.807081
NC_028981.1	2007-01-15	2007.039726
NODE_0000157	1745-12-06	1745.929329
OQ818337	2018-02-15	2018.124658
NC_028366.1	2015-02-15	2015.124658
NODE_0000158	-186-09-09	-185.311936
NODE_0000159	-002-11-20	-1.112839
NC_024489.1	2011-11-17	2011.878082
NC_003783.1	1999-08-17	1999.626027
NODE_0000160	-102-12-12	-101.054140
NODE_0000161	0956-10-04	956.757017
NC_027917.1	2002-02-15	2002.124658
NODE_0000162	1285-09-30	1285.746718
NC_035455.1	2005-02-17	2005.130137
NC_025890.1	2008-11-12	2008.864754
NODE_0000163	-095-04-25	-94.686518
NODE_0000164	0006-03-27	6.233450
NC_001874.1	1997-09-05	1997.678082
NODE_0000165	0070-11-14	70.869828
NC_018613.1	2008-02-29	2008.162568
NODE_0000166	0164-11-04	164.842966
NODE_0000167	1487-01-01	1487.002412
NC_035450.1	2007-01-17	2007.045205
NC_035457.1	2007-01-12	2007.031507
NODE_0000168	0298-11-11	298.862054
NC_038321.1	2007-10-08	2007.768493
OQ818331	2018-03-01	2018.163014
NODE_0000169	0025-09-11	25.695864
NODE_0000170	0196-11-12	196.866039
NC_031749.1	2001-01-15	2001.039726
NODE_0000171	1245-08-04	1245.589499
NC_024016.1	2007-01-11	2007.028767
NODE_0000172	1378-03-16	1378.204307
NC_024497.1	2010-10-08	2010.768493
NODE_0000173	1464-03-05	1464.176118
NC_023483.1	2008-05-13	2008.364754
NODE_0000174	1598-12-15	1598.955795
NC_026250.1	2007-01-12	2007.031507
NC_033619.1	2014-10-21	2014.804110
NODE_0000175	0101-09-09	101.688562
NODE_0000176	0207-09-24	207.729740
OQ818335	2018-08-06	2018.595890
NODE_0000177	0288-10-13	288.783777
NODE_0000178	1532-10-22	1532.806025
OQ818339	2018-02-15	2018.124658
NC_040675.1	2007-01-13	2007.034247
NODE_0000179	1211-11-28	1211.907584
NC_031338.1	2016-06-17	2016.460383
NC_014137.1	2001-11-07	2001.850685
NODE_0000180	0294-05-14	294.366017
NC_023022.1	2007-01-03	2007.006849
NODE_0000181	0481-10-04	481.758163
NODE_0000182	1789-12-28	1789.989835
NC_004830.2	2006-12-02	2006.919178
NC_006494.1	2003-07-03	2003.502740
NODE_0000183	0800-08-13	800.616311
NC_025835.1	2007-01-04	2007.009589
NODE_0000184	1028-04-07	1028.265781
NC_038302.1	1962-07-01	1962.497260
NODE_0000185	1511-10-01	1511.749848
OQ818341	2018-07-27	2018.568493
NC_021566.1	2006-11-13	2006.867123
NODE_0000092	-953-05-25	-952.605367
NODE_0000093	0360-07-26	360.567135
NODE_0000094	0362-11-08	362.854130
NODE_0000095	0995-07-31	995.580448
NC_024070.1	2008-10-29	2008.826503
NODE_0000096	1420-11-13	1420.867041
NC_006964.1	2004-12-19	2004.965847
NC_006965.1	2007-08-04	2007.590411
NODE_0000097	0489-12-28	489.989152
NODE_0000098	0680-10-18	680.797153
NC_034617.1	2009-01-15	2009.039726
NC_039004.1	2003-01-15	2003.039726
NODE_0000099	1114-07-31	1114.579889
NC_038957.1	2009-01-11	2009.028767
NODE_0000100	1311-05-13	1311.363155
NC_018383.1	2005-06-03	2005.420548
NC_018384.1	2011-04-15	2011.286301
NODE_0000101	0505-01-07	505.018693
NODE_0000102	1584-04-08	1584.268092
NC_003840.1	1995-07-01	1995.497260
NC_003839.2	1991-07-19	1991.546575
NODE_0000103	0709-03-20	709.214318
NC_005266.1	2003-05-20	2003.382192
NODE_0000104	1025-02-01	1025.085732
NODE_0000105	1716-03-16	1716.207247
NC_005096.1	2008-07-03	2008.504098
NC_038761.1	2003-01-11	2003.028767
NODE_0000106	1476-03-29	1476.240790
NC_022798.1	2012-01-12	2012.031421
NODE_0000107	1575-08-26	1575.650254
NC_005097.1	1996-03-06	1996.178962
NC_038762.1	2003-01-11	2003.028767
NODE_0000086	-718-11-19	-717.115731
NODE_0000087	0942-06-04	942.422283
NODE_0000088	1238-08-15	1238.621706
NC_027128.1	2003-01-13	2003.034247
NODE_0000089	1359-02-16	1359.126763
NC_043544.1	2016-07-18	2016.545082
NC_023988.1	2012-01-11	2012.028689
NODE_0000090	1344-10-05	1344.760485
NC_040642.1	2007-02-16	2007.127397
NODE_0000091	1823-06-17	1823.458798
NC_040646.1	2007-06-11	2007.442466
NC_040587.1	2007-01-14	2007.036986
NODE_0000063	-515-05-10	-514.644405
NODE_0000064	-399-11-11	-398.137974
NODE_0000065	-212-09-25	-211.267713
NODE_0000066	1093-10-28	1093.824015
NC_035115.1	2014-11-15	2014.872603
NC_025474.1	2007-01-12	2007.031507
NODE_0000067	1014-11-13	1014.868023
NC_055125.1	2001-09-17	2001.710959
NC_003787.1	1999-08-09	1999.604110
