#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
1370.730	4.732e+03	1.848e+03	1.212e+04
1404.833	6.860e+03	3.584e+03	1.313e+04
1438.937	1.228e+04	6.484e+03	2.326e+04
1473.040	1.945e+04	1.044e+04	3.622e+04
1507.143	3.012e+04	2.460e+04	3.687e+04
1541.247	3.045e+04	2.509e+04	3.697e+04
1575.350	3.058e+04	2.532e+04	3.693e+04
1609.454	3.101e+04	2.540e+04	3.786e+04
1643.557	4.576e+04	2.785e+04	7.517e+04
1677.660	6.304e+04	3.738e+04	1.063e+05
1711.764	8.063e+04	4.418e+04	1.472e+05
1745.867	9.488e+04	5.623e+04	1.601e+05
1779.971	1.194e+05	7.240e+04	1.970e+05
1814.074	1.559e+05	9.556e+04	2.542e+05
1848.177	1.971e+05	1.196e+05	3.248e+05
1882.281	2.390e+05	1.450e+05	3.938e+05
1916.384	3.242e+05	1.943e+05	5.410e+05
1950.488	4.500e+05	2.715e+05	7.458e+05
1984.591	3.206e+05	2.068e+05	4.971e+05
2018.695	3.496e+04	1.213e+04	1.008e+05
