Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
AB258387.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1990,0
AB279732.1,Hepatovirus A,HA-JNG04-90,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1990,0
AB279733.1,Hepatovirus A,HA-JNG08-92,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1992,0
AB279734.1,Hepatovirus A,HAJ95-8,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1995,0
AB279735.1,Hepatovirus A,HAJ85-1,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1985,0
AB300205.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1977,0
AB425339.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1979,0
AB618529.1,Hepatovirus A,HAJIH-Fukuo10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2010,0
AB618531.1,Hepatovirus A,HAJNS-BorSap10,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1999,0
AB623053.1,Hepatovirus A,HA286-Aki1957,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,1957,0
AB839692.1,Hepatovirus A,BaliA03-H29,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,0,2003,0
AB839693.1,Hepatovirus A,JemberA07-SBY07,Hepatovirus A,Hepatovirus,Indonesia,Homo sapiens,0,2007,0
AB909123.1,Hepatovirus A,HAJHM-PapTok11,Hepatovirus A,Hepatovirus,Japan,Homo sapiens,0,2011,0
AF485328.1,Hepatovirus A,LY6,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,2002,0
AF512536.1,Hepatovirus A,DL3,Hepatovirus A,Hepatovirus,China,Homo sapiens,0,2002,0
AY644670.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Sierra Leone,Homo sapiens,0,2002,0
AY644676.1,Hepatovirus A,CF53/Berne,Hepatovirus A,Hepatovirus,France,Cell culture,0,2004,0
DQ646426.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Russia,Homo sapiens,0,2006,0
DQ991029.1,Hepatovirus A,CP-IND,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2010,0
DQ991030.1,Hepatovirus A,GBS-IND,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2006,0
EF207320.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Thailand,Homo sapiens,0,2007,0
EU011791.1,Hepatovirus A,PN-IND,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2008,0
EU140838.1,Simian hepatitis A virus,,Hepatovirus A,Hepatovirus,India,Macaca mulatta,0,2009,0
EU526088.1,Hepatovirus A,HAV6,Hepatovirus A,Hepatovirus,Uruguay,Homo sapiens,0,2008,0
EU526089.1,Hepatovirus A,HAV12,Hepatovirus A,Hepatovirus,Uruguay,Homo sapiens,0,2008,0
FJ360730.1,Hepatovirus A,IND-HAV-06F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2006,0
FJ360731.1,Hepatovirus A,IND-HAV-07F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2007,0
FJ360732.1,Hepatovirus A,IND-HAV-08F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,2008,0
FJ360733.1,Hepatovirus A,IND-HAV-95F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,1995,0
FJ360734.1,Hepatovirus A,IND-HAV-99F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,1999,0
FJ360735.1,Hepatovirus A,IND-HAV-97F,Hepatovirus A,Hepatovirus,India,Homo sapiens,0,1997,0
HM769724.1,Hepatovirus A,HAV-Arg/06,Hepatovirus A,Hepatovirus,Argentina,Homo sapiens,0,2006,0
HQ246217.1,Hepatovirus A,,Hepatovirus A,Hepatovirus,Africa,Pan troglodytes,0,1980,0
