Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
AB090161.1,Theiler's-like virus of rats,,Cardiovirus B,Cardiovirus,Japan,Rattus,0,2002,0
AB983594.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Homo sapiens,0,2008,0
AB983595.1,Saffold virus,,Cardiovirus B,Cardiovirus,Japan,Mus musculus,0,2014,0
AF356822.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,France,Sus scrofa,0,2001,0
DQ288856.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Mus,0,2000,0
DQ294633.1,Mengo virus,Rz-pMwt,Cardiovirus A,Cardiovirus,USA,Mus,0,2005,0
DQ401688.1,Theiler's encephalomyelitis virus,,Cardiovirus B,Cardiovirus,USA,Mus musculus,0,2007,0
DQ464062.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Cell culture,0,2007,0
DQ464063.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,0,2007,0
EF165067.2,cardiovirus D1,,Cardiovirus D,Cardiovirus,USA,Homo sapiens,0,2007,0
EU542581.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,0,2008,0
EU718732.1,Theiler's encephalomyelitis virus,TOB15,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2008,0
EU718733.1,Theiler's encephalomyelitis virus,Vie415HTR,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2008,0
EU723238.1,Theiler's encephalomyelitis virus,Yale,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2008,0
EU780148.1,Encephalomyocarditis virus,K3,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,0,1990,0
EU780149.1,Encephalomyocarditis virus,K11,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,0,1990,0
EU815052.1,Rat theilovirus 1,,Cardiovirus B,Cardiovirus,USA,Rattus,0,2006,0
FJ897755.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,0,2008,0
FM207487.1,Saffold virus,,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,0,2007,0
GU595289.1,Human TMEV-like cardiovirus,HTCV-UC6,Cardiovirus B,Cardiovirus,USA,Homo sapiens,0,2001,0
GU943513.1,Saffold virus,,Cardiovirus B,Cardiovirus,China,Homo sapiens,0,2008,0
HM181996.1,Saffold virus 3,SAFV-3_NL1999-590,Cardiovirus D,Cardiovirus,Netherlands,Homo sapiens,0,1998,0
HM181997.1,Saffold virus,SAFV-3_NL2007-2686,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,0,2004,0
HM181998.1,Saffold virus,SAFV-3_NL2007-2690,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,0,2004,0
HM181999.1,Saffold virus,SAFV-3_NL2005-1035,Cardiovirus B,Cardiovirus,Netherlands,Homo sapiens,0,2005,0
HQ162476.1,Saffold virus,,Cardiovirus B,Cardiovirus,Malaysia,Homo sapiens,0,2009,0
HQ652539.1,Theiler's encephalomyelitis virus,NIHE,Cardiovirus B,Cardiovirus,Viet Nam,Mus,0,2007,0
