Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_024031.1,Atlantic salmon calicivirus,Nordland/2011,Nordland virus,Salovirus,Norway,Salmo salar,2011
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Cameroon,Eidolon helvum,14-Jan
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,Hong Kong,Chiroptera,
NC_030793.1,Bovine calicivirus strain Kirklareli,,Bovine calicivirus strain Kirklareli,Nebovirus,Turkey,Bos taurus,2012
NC_075411.1,Calicivirus chicken/V0021/Bayern/2004,Bavaria04V0021,Calicivirus chicken/V0021/Bayern/2004,,Germany,Gallus gallus,2004
NC_006875.1,Calicivirus isolate TCG,TCG 14,Calicivirus isolate TCG,,Japan,Bos taurus,
NC_012699.1,Calicivirus pig/AB90/CAN,,St-Valerien swine virus,,Canada,Sus scrofa,06-Jan
NC_004542.1,Canine vesivirus,,Canine vesivirus,Vesivirus,,,
NC_033081.1,Chicken calicivirus,,Bavaria virus,Bavovirus,Brazil,Gallus gallus,2015-07-31
NC_000940.1,Cowden I virus,,Sapporo virus,Sapovirus,,,
NC_002615.1,European brown hare syndrome virus,,European brown hare syndrome virus,Lagovirus,,,
NC_035675.1,Fathead minnow calicivirus,FHMCV/USA/MN/2012,Minovirus A,Minovirus,USA,Pimephales promelas,2012
NC_075569.1,Feline calicivirus,,Feline calicivirus,Vesivirus,,,
NC_024078.1,Goose calicivirus,,Goose calicivirus,,China,Anatidae,12-Oct
NC_034444.1,Hom-1 vesivirus,,Hom-1 vesivirus,Vesivirus,USA,,
NC_040674.1,Marmot norovirus,,Marmot norovirus,Norovirus,China,Marmota himalayana,2013
NC_019712.1,Mink calicivirus,,Mink calicivirus,Vesivirus,China,Mustela lutreola,07-Jun
NC_004064.1,Nebraska virus,,Newbury 1 virus,Nebovirus,,,
NC_007916.1,Newbury agent 1,,Newbury 1 virus,Nebovirus,United Kingdom,Bos taurus,
NC_044047.1,Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG,,Norwalk virus,Norovirus,Hong Kong,Canis lupus familiaris,07-Jul
NC_044856.1,Norovirus GI,,Norwalk virus,Norovirus,Bangladesh,Homo sapiens,2011-07-06
NC_044853.1,Norovirus GI,,Norwalk virus,Norovirus,Japan,Homo sapiens,1998
NC_039897.1,Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866,Shimizu/KK2866,Norwalk virus,Norovirus,Japan,Homo sapiens,2007
NC_044932.1,Norovirus GII,Hu/GII.PNA4-GII.NA4/PNV06929/2008/PER,Norwalk virus,Norovirus,Peru,Homo sapiens,2008-05-27
NC_040876.1,Norovirus GII,NORO_176-1_17_12_2015,Norwalk virus,Norovirus,United Kingdom,Homo sapiens,2015-12-17
NC_039475.1,Norovirus GII.17,,Norwalk virus,Norovirus,South Korea,Homo sapiens,2015
NC_039476.1,Norovirus GII.2,BJSMQ,Norwalk virus,Norovirus,China,,2016-12-12
NC_044045.1,Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299,Sapporo/HK299,Norwalk virus,Norovirus,Japan,Homo sapiens,2007
NC_044046.1,Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS,Yuzawa/Gira2HS,Norwalk virus,Norovirus,Japan,Homo sapiens,2011
NC_029645.1,Norovirus GIII,,Norwalk virus,Norovirus,Norway,Bos taurus,2006
NC_029647.1,Norovirus GIV,,Norwalk virus,Norovirus,Australia,Homo sapiens,10-Dec
NC_045762.1,Norovirus GIV,,Norwalk virus,Norovirus,USA,Felis catus,2010
NC_044855.1,Norovirus GIV,,Norwalk virus,Norovirus,USA,Homo sapiens,2016-05-11
NC_008311.1,Norovirus GV,Mu/NoV/GV/MNV1/2002/USA,Norwalk virus,Norovirus,USA,,
NC_029646.1,Norwalk-like virus,,Norwalk virus,Norovirus,,,
NC_031324.1,Primate norovirus,,Primate norovirus,Norovirus,,,
NC_011704.1,Rabbit calicivirus Australia 1 MIC-07,MIC-07,Rabbit calicivirus Australia 1 MIC-07,Lagovirus,Australia,Oryctolagus cuniculus,07-May
NC_001543.1,Rabbit hemorrhagic disease virus,,Rabbit hemorrhagic disease virus,Lagovirus,,,
NC_008580.1,Rabbit vesivirus,,Rabbit vesivirus,Vesivirus,USA,Oryctolagus cuniculus,
NC_025676.1,San Miguel sea lion virus 8,,San Miguel sea lion virus 8,Vesivirus,,,1981
NC_006554.1,Sapovirus C12,,Sapporo virus,Sapovirus,Japan,,
NC_006269.1,Sapovirus Hu/Dresden/pJG-Sap01/DE,,Sapporo virus,Sapovirus,,,
NC_075724.1,Sapovirus Hu/GI/Sapporo/MT-2010/1982,,Sapporo virus,Sapovirus,Japan,Homo sapiens,1982
NC_027026.1,Sapovirus Hu/Nagoya/NGY-1/2012/JPN,,Sapporo virus,Sapovirus,Japan,,
NC_010624.1,Sapovirus Mc10,,Sapporo virus,Sapovirus,Thailand,,
NC_011050.1,Steller sea lion vesivirus,SSL2004-250F,Steller sea lion vesivirus,Vesivirus,USA,,2004
NC_043512.1,Tulane virus,,Recovirus A,Recovirus,USA,,
NC_043516.1,Turkey calicivirus,L11043,Nacovirus A,Nacovirus,Germany,Meleagris gallopavo,2011
NC_002551.1,Vesicular exanthema of swine virus,,Vesicular exanthema of swine virus,Vesivirus,,,
NC_027122.1,Vesivirus ferret badger/JX12/China/2012,,Vesivirus ferret badger/JX12/China/2012,Vesivirus,China,Melogale,2012-03-01
NC_004541.1,Walrus calicivirus,,Vesicular exanthema of swine virus,Vesivirus,,Odobenus rosmarus,
