Accession,Organism_Name,Isolate,Species,Genus,Family,Country,Host,Collection_Date
NC_076404.1,Burpengary virus,1,Marsupivirus A,Marsupivirus,Picornaviridae,Australia,Phascolarctos cinereus,2016
NC_016964.1,Canine picornavirus,325,Mischivirus D,Mischivirus,Picornaviridae,Hong Kong,Canis lupus familiaris,2008
NC_012800.1,Cosavirus A,553,Cosavirus A,Cosavirus,Picornaviridae,,Homo sapiens,
NC_012801.1,Human cosavirus B,2263,Cosavirus B,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,
NC_012802.1,Cosavirus D,5004,Cosavirus D,Cosavirus,Picornaviridae,Pakistan,Homo sapiens,
NC_012986.1,Salivirus A,02394-01,Salivirus A,Salivirus,Picornaviridae,USA,Homo sapiens,2002-10-16
NC_018506.1,limnipivirus A1,04-032,Limnipivirus A,Limnipivirus,Picornaviridae,USA,Lepomis macrochirus,03-Nov
NC_023422.1,Caprine kobuvirus,12Q108,Aichivirus C,Kobuvirus,Picornaviridae,South Korea,Capra hircus,2012
NC_024769.1,megrivirus C2,27C,Megrivirus C,Megrivirus,Picornaviridae,Hong Kong,Gallus gallus,2008-09-19
NC_024766.1,Chicken picornavirus 2,44C,Avisivirus B,Avisivirus,Picornaviridae,Hong Kong,Gallus gallus,2008-10-10
NC_024767.1,Chicken picornavirus 3,45C,Avisivirus C,Avisivirus,Picornaviridae,Hong Kong,Gallus gallus,2008-10-10
NC_024770.1,gallivirus A1,518C,Gallivirus A,Gallivirus,Picornaviridae,Hong Kong,Gallus gallus,2010-09-16
NC_024765.1,Chicken picornavirus 1,55C,Chicken picornavirus 1,,Picornaviridae,Hong Kong,Gallus gallus,2008-10-10
NC_024768.1,Chicken picornavirus 4,5C,Chicken picornavirus 4,,Picornaviridae,Hong Kong,Gallus gallus,2008-09-09
NC_075428.1,Canine picornavirus,A128thr,Mischivirus D,Mischivirus,Picornaviridae,USA,Canis lupus familiaris,Dec-68
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Picornaviridae,,Homo sapiens,
NC_034206.1,kunsagivirus C1,baboon/M27-KuV/1986/TAN,Kunsagivirus C,Kunsagivirus,Picornaviridae,Tanzania,Papio cynocephalus,1986
NC_038305.1,cardiovirus C1,BCV-1,Cardiovirus C,Cardiovirus,Picornaviridae,USA,Rattus norvegicus,2010-12-17
NC_038961.1,Shanbavirus A,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,China,Miniopterus fuliginosus,11-Sep
NC_076040.1,Bat picornavirus,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,China,Nyctalus velutinus,13-Mar
