Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
OL598599.1,Sapelovirus A,CHN-SCMY-2021,Sapelovirus A,Sapelovirus,China,Sus scrofa,21-Apr
OM037653.1,Sapelovirus A,HLJ-12,Sapelovirus A,Sapelovirus,China,Sus scrofa,2020-05-20
OM037654.1,Sapelovirus A,HLJ-14,Sapelovirus A,Sapelovirus,China,Sus scrofa,2020-05-20
OM037655.1,Sapelovirus A,HLJ-15,Sapelovirus A,Sapelovirus,China,Sus scrofa,2020-05-20
OM037656.1,Sapelovirus A,HLJ-41,Sapelovirus A,Sapelovirus,China,Sus scrofa,2020-05-20
KY053835.1,Porcine sapelovirus 1,IVRI/PSV/SPF/C-6/2015,Sapelovirus A,Sapelovirus,India,Sus scrofa,2015
OQ818320.1,Eidolon dupreanum sapelovirus 1,KEL233,Eidolon dupreanum sapelovirus 1,Sapelovirus,Madagascar,Eidolon dupreanum,2018-07-27
OQ818321.1,Eidolon dupreanum sapelovirus 2,KEL272,Eidolon dupreanum sapelovirus 2,Sapelovirus,Madagascar,Eidolon dupreanum,2019-01-07
KJ821019.1,Sapelovirus A,KS04105,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,2004
KJ821020.1,Sapelovirus A,KS05151,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,2005
KJ821021.1,Sapelovirus A,KS055217,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,2005
LT900497.1,Sapelovirus A,PSV/GER/L00798-K11_14-02/2014,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,2014-07-16
MN836683.1,Sapelovirus A,SwPSV75BO2012,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,2012
MN241820.1,Porcine sapelovirus 1,TN-400-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,2016
MN241819.1,Porcine sapelovirus 1,WB-76-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,2018
MK521918.1,Tasmanian devil-associated sapelovirus,wukalina/Tasmania/Sarcophilus_harrisii/2017/DN125220,Tasmanian devil-associated sapelovirus,Sapelovirus,Australia,Sarcophilus harrisii,2017
MN784122.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Nigeria,Mandrillus leucophaeus,2017
LC503602.1,Sapelovirus B,,Sapelovirus B,Sapelovirus,Cambodia,Macaca fascicularis,2017-06-15
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,,,
KY855433.1,Marmot sapelovirus 2,,Marmot sapelovirus 2,Sapelovirus,China,Marmota himalayana,2013
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,13-Dec
NC_040605.1,Marmot sapelovirus 1,,Marmot sapelovirus 1,Sapelovirus,China,Marmota himalayana,2013
OQ447500.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2020
MH626634.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2017
LC326556.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,2009-08-10
MN755857.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2018
MN755858.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2018
MN755859.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2018
MN755860.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2018
MH626635.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2017
KF539414.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2011
JX286666.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2011
LC326555.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Japan,Sus scrofa,2009-08-10
MN685785.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2019-05-09
KX574284.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,USA,Sus scrofa,
MK497044.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,2015
MG732813.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2016
MG732814.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2016
MT080999.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2019
ON146286.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,20-Oct
LC493088.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Viet Nam,Sus scrofa domesticus,2018
MN807752.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Hungary,Sus scrofa domesticus,13-Jan
OM328111.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2021-05-05
ON375365.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2016-04-10
ON375366.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2016-10-20
ON375367.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2017-04-15
ON375368.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,2018-10-15
HQ875059.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,09-Dec
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,,,
LC386162.1,Sapelovirus-like porcine picornavirus Japan,,Sapelovirus-like porcine picornavirus Japan,Sapelovirus,Japan,Sus scrofa,2015-11-06
KX644938.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,13-Dec
