Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
NC_035198.1,Aimelvirus 2,,Aimelvirus 2,,,,
MF327531.1,Aimelvirus 3,,Aimelvirus 3,,,,
MF327532.1,Aimelvirus 4,,Aimelvirus 4,,,,
MF327533.1,Aimelvirus 5,,Aimelvirus 5,,,,
MF327534.1,Aimelvirus 6,,Aimelvirus 6,,,,
BK059598.1,Apostichopus japonicus associated picornavirus 1,,Apostichopus japonicus associated picornavirus 1,,,,
MN745079.1,Bactrocera dorsalis picorna-like virus,,Bactrocera dorsalis picorna-like virus,,China,,2018-03-15
OQ363806.1,Bat picornavirus 1,GZ/L175.18/2022,Bat picornavirus 1,,China,Miniopterus schreibersii,22-Aug
NC_015940.1,Bat picornavirus 1,,Bat picornavirus 1,,Hong Kong,Miniopterus pusillus,2008-12-19
NC_015941.1,Bat picornavirus 2,,Bat picornavirus 2,,Hong Kong,Miniopterus magnater,2005-09-06
OQ363775.1,Bat picornavirus 3,CQ/L77.18a/2021,Bat picornavirus 3,,China,Rhinolophus pusillus,21-Dec
OQ363771.1,Bat picornavirus 3,GD/L20.18/2020,Bat picornavirus 3,,China,Rhinolophus sinicus,20-Dec
OQ363769.1,Bat picornavirus 3,GD/L23.18/2020,Bat picornavirus 3,,China,Rhinolophus sinicus,20-Dec
OQ363770.1,Bat picornavirus 3,GD/L24.18/2020,Bat picornavirus 3,,China,Rhinolophus sinicus,20-Dec
OQ363773.1,Bat picornavirus 3,GD/L25.18/2020,Bat picornavirus 3,,China,Rhinolophus sinicus,20-Dec
OQ363767.1,Bat picornavirus 3,GD/L91.18/2022,Bat picornavirus 3,,China,Rhinolophus pusillus,22-Jan
OQ363768.1,Bat picornavirus 3,GD/L95.21/2022,Bat picornavirus 3,,China,Rhinolophus sinicus,22-Apr
OQ363764.1,Bat picornavirus 3,GD/L96.21/2022,Bat picornavirus 3,,China,Rhinolophus sinicus,22-Apr
NC_015934.1,Bat picornavirus 3,,Bat picornavirus 3,,Hong Kong,Rhinolophus sinicus,2008-09-12
OQ363783.1,Bat picornavirus 4,GD/L26.18/2020,Bat picornavirus 4,,China,Rhinolophus sinicus,20-Dec
OQ363782.1,Bat picornavirus 4,GD/L71.18b/2021,Bat picornavirus 4,,China,Rhinolophus,21-Nov
OQ363759.1,Bat picornavirus 5,GD/L117.18a/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363753.1,Bat picornavirus 5,GD/L117.18b/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363751.1,Bat picornavirus 5,GD/L117.18d/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363752.1,Bat picornavirus 5,GD/L117.18e/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363754.1,Bat picornavirus 5,GD/L117.18f/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363755.1,Bat picornavirus 5,GD/L117.18g/2022,Bat picornavirus 5,,China,Miniopterus pusillus,22-Jul
OQ363758.1,Bat picornavirus 6,GD/L12.18a/2020,Bat picornavirus 6,,China,Miniopterus pusillus,20-Nov
OQ363761.1,Bat picornavirus 6,GD/L12.18b/2020,Bat picornavirus 6,,China,Miniopterus pusillus,20-Nov
