Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
AB084788.1,Aichivirus B,,Aichivirus B,Kobuvirus,Japan,Bos taurus,0,2002,0
AB522390.3,Sapovirus Hu/D1714-B/2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB522397.2,Sapovirus D1737-A/Jun2008/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB614356.1,Sapovirus Hu/GI.2/BR-DF01/BRA/2009,Hu/GI.2/BR-DF01/BRA/2009,Sapporo virus,Sapovirus,Brazil,Homo sapiens,0,2009,0
AB623037.2,Sapovirus Hu/OH08021/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB630068.3,Sapovirus Hu/20082029/2008/JP,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2008,0
AB689845.2,Sapovirus Hu/Kumamoto129/Jun2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AB689846.2,Sapovirus Hu/Kumamoto130/Jul2010/JPN,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2010,0
AY237419.2,Sapovirus Mc2,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2002,0
AY237422.3,Sapovirus Mc114,,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2003,0
AY646853.2,Sapovirus NongKhai-50/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2012,0
AY646854.2,Sapovirus Chanthaburi-74/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2004,0
AY646855.2,Sapovirus SaKaeo-15/Thailand,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2005,0
AY646856.2,Nongkhai virus,,Sapporo virus,Sapovirus,Thailand,Homo sapiens,0,2006,0
AY974192.2,Sapovirus Po/OH-JJ681/2000/US,Po/OH-JJ681/2000/US,Sapporo virus,Sapovirus,USA,Sus scrofa,0,2000,0
DQ058829.1,Ehime virus,Ehime1107,Sapporo virus,Sapovirus,Japan,Homo sapiens,0,2005,0
