Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
MH778548.1,Cardiovirus B,SAFV_BR193,Cardiovirus B,Cardiovirus,Brazil,Homo sapiens,2015-10-22
MN116646.1,Cardiovirus B,,Cardiovirus B,Cardiovirus,Hungary,Rattus norvegicus,2018
M16020.1,cardiovirus B1,,Cardiovirus B,Cardiovirus,,,
MF172923.1,cardiovirus B3,1,Cardiovirus B,Cardiovirus,China,Rattus rattus,2014
NC_038305.1,cardiovirus C1,BCV-1,Cardiovirus C,Cardiovirus,USA,Rattus norvegicus,2010-12-17
EF165067.2,cardiovirus D1,,Cardiovirus D,Cardiovirus,USA,,
NC_076099.1,cardiovirus E1,RtMrut-PicoV/JL2014-1,Cardiovirus E,Cardiovirus,China,Rodentia,
NC_075977.1,cardiovirus F1,RtMruf-PicoV/JL2014-1,Cardiovirus F,Cardiovirus,China,Rodentia,
LC508268.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,,,
MT499387.1,Encephalomyocarditis virus,SG-NParks-M100-02,Cardiovirus A,Cardiovirus,Singapore,Pongo pygmaeus,2002
MN547968.1,Encephalomyocarditis virus,SG-G15150-19,Cardiovirus A,Cardiovirus,Singapore,Cuniculus,2019-04-21
KJ524643.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-04-15
DQ288856.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,USA,Mus,
KF836390.1,Encephalomyocarditis virus,YY13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-08-28
KF771002.1,Encephalomyocarditis virus,HN13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-06-12
KF836388.1,Encephalomyocarditis virus,JZ1203,Cardiovirus A,Cardiovirus,China,Mus musculus,2012-05-28
FJ897755.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Sus scrofa,08-May
KF836389.1,Encephalomyocarditis virus,YM13,Cardiovirus A,Cardiovirus,China,Sus scrofa,2013-04-05
AF356822.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,,,
EU780148.1,Encephalomyocarditis virus,K3,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,1990
MH191297.1,Encephalomyocarditis virus,HLJ,Cardiovirus A,Cardiovirus,China,Sus scrofa,2016-06-06
KF836386.1,Encephalomyocarditis virus,HNJZ1201,Cardiovirus A,Cardiovirus,China,Sus scrofa,2012-05-28
KF836387.1,Encephalomyocarditis virus,JZ1202,Cardiovirus A,Cardiovirus,China,Sus scrofa,2012-05-26
DQ464063.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,,
KF293299.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,Panthera tigris amoyensis,2013-01-09
KF709977.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,,
EU780149.1,Encephalomyocarditis virus,K11,Cardiovirus A,Cardiovirus,South Korea,Sus scrofa,1990
DQ464062.1,Encephalomyocarditis virus,,Cardiovirus A,Cardiovirus,China,,
