Accession,Organism_Name,Isolate,Species,Genus,Country,Host,Collection_Date
FJ890523.1,Aichi virus 1,Chshc7,Aichivirus A,Kobuvirus,China,Homo sapiens,2008
NC_001918.1,Aichi virus 1,A846/88,Aichivirus A,Kobuvirus,Japan,Homo sapiens,1998
DQ028632.1,Aichi virus 1,Goiania/GO/03/01/Brazil,Aichivirus A,Kobuvirus,Brazil,Homo sapiens,2006
NC_074775.1,Aichi virus 1,,Aichivirus A,Kobuvirus,Japan,Cell culture,2001
OQ363763.1,Aichivirus A,GX/B45M0208/2019,Aichivirus A,Kobuvirus,China,Rhizomys pruinosus,2019
MN116647.1,Aichivirus A,,Aichivirus A,Kobuvirus,Hungary,Rattus norvegicus,2018
OQ121963.1,aichivirus A1,hu/C8_Seoul_02/2019,Aichivirus A,Kobuvirus,South Korea,Homo sapiens,2019
OP255993.1,aichivirus A1,,Aichivirus A,Kobuvirus,Netherlands,Homo sapiens,2018
JF755427.1,aichivirus A3,,Aichivirus A,Kobuvirus,USA,Peromyscus crinitus,2010
KF831027.1,aichivirus A4,,Aichivirus A,Kobuvirus,South Korea,Feliformia,2011
KJ934637.1,aichivirus A5,,Aichivirus A,Kobuvirus,Hungary,Coracias garrulus,2011
OP805598.1,Aichivirus B,Bovine_59254_11/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,2021
OP805597.1,Aichivirus B,Bovine_59254_2/21 TR,Aichivirus B,Kobuvirus,Italy,Bos taurus,2021
OP805596.1,Aichivirus B,Calf 300917/2021,Aichivirus B,Kobuvirus,Italy,Bovidae,2021
NC_004421.1,Aichivirus B,,Aichivirus B,Kobuvirus,Japan,Bos taurus,2002
GU245693.2,aichivirus B3,,Aichivirus B,Kobuvirus,Hungary,Ovis aries,2009
EU787450.2,aichivirus C1,,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,2007
KF793927.1,aichivirus C2,12Q108,Aichivirus C,Kobuvirus,South Korea,Capra hircus,2012
OP776111.1,Aichivirus D,BKV/Yak/XZNQX7/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OP776109.1,Aichivirus D,BKV/Yak/SCDF77/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OP776110.1,Aichivirus D,BKV/Yak/QHHN16/2021/CHN,Aichivirus D,Kobuvirus,China,Bos grunniens,2021
OQ267712.1,Aichivirus D,BKV/cow/NXC1/2021/CHN,Aichivirus D,Kobuvirus,China,Bos taurus,2021
