sample_id,any_picorna,any_calici,any_pos,virus_family,virus_general,dataset,num_contigs,num_reads,num_reads_log,specific_roost_site,roost_site,latitude_s,longitude_e,sampling_session,processing_date,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair
AMB150,1,0,1,Picornaviridae,Mischivirus,CZID,1,39092,4.59208789,Ambakoana,Ambakoana,-18.513,48.1665,48,2018-08-06,2018,Pteropus rufus,male,A,no,no,NA,NA
ANGB110,1,0,1,Picornaviridae,Kobuvirus,NIH,3,539,2.731588765,Angavobe,AngavoKely,-18.9327,47.7578,30,2015-06-23,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA
ANGB121,1,0,1,Picornaviridae,Kobuvirus,NIH,1,363,2.559906625,Angavobe,AngavoKely,-18.9327,47.7578,33,2016-01-08,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA
ANGB141,1,0,1,Picornaviridae,Kobuvirus,CZID/NIH,1,38,1.579783597,Angavobe,AngavoKely,-18.9327,47.7578,41,2018-04-09,2018,Eidolon dupreanum,female,NL,no,no,NA,NA
ANGB22,1,0,1,Picornaviridae,Kobuvirus,NIH,1,711325,5.852068073,Angavobe,AngavoKely,-18.9327,47.7578,4,2013-11-24,2013,Eidolon dupreanum,male,J,NA,NA,NA,NA
KEL148,1,0,1,Picornaviridae,Kunsagivirus,CZID,1,1478,3.169674434,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,A,no,no,NA,NA
KEL148,1,0,1,Picornaviridae,Hepatovirus,CZID,3,996,2.998259338,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,male,A,no,no,NA,NA
KEL164,1,0,1,Picornaviridae,Teschovirus,CZID,1,372,2.57054294,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,J,yes,no,NA,NA
KEL166,0,1,1,Caliciviridae,Sapovirus,CZID/NIH,1,351,2.545307116,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,J,yes,no,NA,NA
KEL168,0,1,1,Caliciviridae,Sapovirus,CZID/NIH,1,495,2.694605199,Angavokely,AngavoKely,-18.9327,47.7578,38,2018-02-15,2018,Eidolon dupreanum,female,NL,no,no,NA,NA
KEL200,0,1,1,Caliciviridae,Sapovirus,CZID/NIH,1,95621,4.980553281,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA
KEL207,0,1,1,Caliciviridae,Sapovirus,CZID,2,202,2.305351369,Angavokely,AngavoKely,-18.9327,47.7578,42,2018-04-10,2018,Eidolon dupreanum,female,NL,no,no,NA,NA
KEL233,1,0,1,Picornaviridae,Sapelovirus,CZID,1,603,2.780317312,Angavokely,AngavoKely,-18.9327,47.7578,46,2018-07-27,2018,Eidolon dupreanum,male,A,no,no,NA,NA
KEL272,1,0,1,Picornaviridae,Sapelovirus,CZID/NIH,1,1531,3.184975191,Angavokely,AngavoKely,-18.9327,47.7578,56,2019-01-07,2019,Eidolon dupreanum,male,A,no,no,NA,NA
