sample_id,virus,virus_family,virus_general,num_contigs,num_reads,num_reads_log,specific_roost_site,roost_site,sampling_session,num_unique_viruses,num_shared_viruses,processing_date,month,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair
ANGB22,Eidolon dupreanum kobuvirus,Picornaviridae,Kobuvirus,1,711325,5.852068073,Angavobe,AngavoKely,4,1,0,2013-11-24,Nov,2013,Eidolon dupreanum,male,J,NA,NA,NA,NA
KEL72,Eidolon dupreanum hepatovirus,Picornaviridae,Hepatovirus,1,1335,3.125481266,Angavokely,AngavoKely,20,2,0,2014-12-17,Dec,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA
KEL86,Eidolon dupreanum kobuvirus,Picornaviridae,Kobuvirus,1,4175,3.62065648,Angavokely,AngavoKely,20,2,0,2014-12-18,Dec,2014,Eidolon dupreanum,male,A,NA,NA,NA,NA
ANGB110,Eidolon dupreanum kobuvirus,Picornaviridae,Kobuvirus,3,539,2.731588765,Angavobe,AngavoKely,30,1,0,2015-06-23,June,2015,Eidolon dupreanum,female,NL,NA,NA,NA,NA
ANGB121,Eidolon dupreanum kobuvirus,Picornaviridae,Kobuvirus,1,363,2.559906625,Angavobe,AngavoKely,33,1,0,2016-01-08,Jan,2016,Eidolon dupreanum,male,A,NA,NA,NA,NA
KEL166,Eidolon dupreanum sapovirus 1,Caliciviridae,Sapovirus,1,351,2.545307116,Angavokely,AngavoKely,38,4,1,2018-02-15,Feb,2018,Eidolon dupreanum,female,J,yes,no,NA,NA
KEL168,Eidolon dupreanum sapovirus 1,Caliciviridae,Sapovirus,1,495,2.694605199,Angavokely,AngavoKely,38,4,1,2018-02-15,Mar,2018,Eidolon dupreanum,female,NL,no,no,NA,NA
KEL148,Eidolon dupreanum kunsagivirus,Picornaviridae,Kunsagivirus,1,1478,3.169674434,Angavokely,AngavoKely,38,4,1,2018-02-15,Apr,2018,Eidolon dupreanum,male,A,no,no,NA,NA
KEL148,Eidolon dupreanum hepatovirus,Picornaviridae,Hepatovirus,3,996,2.998259338,Angavokely,AngavoKely,38,4,1,2018-02-15,May,2018,Eidolon dupreanum,male,A,no,no,NA,NA
KEL164,Eidolon dupreanum teschovirus 1,Picornaviridae,Teschovirus,1,372,2.57054294,Angavokely,AngavoKely,38,4,1,2018-02-15,Jun,2018,Eidolon dupreanum,female,J,yes,no,NA,NA
