roost_site,sampling_session,sampling_date,num_shared_viruses,num_virus,num_genus,genus,genus_full,pos,bat_species
Angavokely/Angavobe,4,2013-11-24,0,1,1,Kobu.,Kobuvirus,1,Eidolon dupreanum
Angavokely/Angavobe,20,2014-12-17,0,1,1,Hepato.,Hepatovirus,1,Eidolon dupreanum
Angavokely/Angavobe,20,2014-12-17,0,1,1,Kobu.,Kobuvirus,1,Eidolon dupreanum
Angavokely/Angavobe,30,2015-06-23,0,1,1,Kobu.,Kobuvirus,1,Eidolon dupreanum
Angavokely/Angavobe,33,2016-01-08,0,1,1,Kobu.,Kobuvirus,1,Eidolon dupreanum
Angavokely/Angavobe,38,2018-02-15,1,2,2,Sapo.,Sapovirus,1,Eidolon dupreanum
Angavokely/Angavobe,38,2018-02-15,1,1,1,Kunsagi.,Kunsagivirus,1,Eidolon dupreanum
Angavokely/Angavobe,38,2018-02-15,1,1,1,Hepato.,Hepatovirus,1,Eidolon dupreanum
Angavokely/Angavobe,38,2018-02-15,1,1,1,Tescho.,Teschovirus,1,Eidolon dupreanum
Angavokely/Angavobe,42,2018-04-10,0,1,2,Sapo.,Sapovirus,1,Eidolon dupreanum
Maromizaha,43,2018-04-13,0,1,2,Sapo.,Sapovirus,1,Rousettus madagascariensis
Angavokely/Angavobe,46,2018-07-27,0,1,1,Sapelo.,Sapelovirus,1,Eidolon dupreanum
Maromizaha,47,2018-07-29,0,1,2,Tescho.,Teschovirus,1,Rousettus madagascariensis
Maromizaha,47,2018-07-29,0,1,2,Bat picorna.,Bat picornavirus,1,Rousettus madagascariensis
Ambakoana,48,2018-08-05,0,1,1,Mischi.,Mischivirus,1,Pteropus rufus
Maromizaha,50,2018-09-11,1,1,1,Sapo.,Sapovirus,1,Rousettus madagascariensis
Maromizaha,50,2018-09-11,1,2,2,Bat picorna.,Bat picornavirus,1,Rousettus madagascariensis
Maromizaha,50,2018-09-11,1,1,1,Sapelo.,Sapelovirus,1,Rousettus madagascariensis
Maromizaha,50,2018-09-11,0,1,1,Tescho.,Teschovirus,1,Rousettus madagascariensis
Angavokely/Angavobe,56,2019-01-06,0,1,2,Sapelo.,Sapelovirus,1,Eidolon dupreanum
Maromizaha,59,2019-02-01,0,1,1,Sapo.,Sapovirus,1,Rousettus madagascariensis
Angavokely/Angavobe,60,2019-02-06,0,1,1,Sapelo.,Sapelovirus,1,Eidolon dupreanum
Angavokely/Angavobe,63,2019-03-14,0,1,1,Sapelo.,Sapelovirus,1,Eidolon dupreanum
Maromizaha,65,2019-04-09,0,1,1,Sapo.,Sapovirus,1,Rousettus madagascariensis
Maromizaha,65,2019-04-09,0,1,1,Bat picorna.,Bat picornavirus,1,Rousettus madagascariensis
Angavokely/Angavobe,75,2019-08-24,0,1,1,Cardio.,Cardiovirus,1,Eidolon dupreanum
