roost_site,sampling_session,num_unique_viruses,num_shared_viruses,bat_species
AngavoKely,4,1,0,Eidolon dupreanum
AngavoKely,20,2,0,Eidolon dupreanum
AngavoKely,30,1,0,Eidolon dupreanum
AngavoKely,33,1,0,Eidolon dupreanum
AngavoKely,38,4,1,Eidolon dupreanum
AngavoKely,41,1,0,Eidolon dupreanum
AngavoKely,42,2,0,Eidolon dupreanum
Maromizaha,43,1,0,Rousettus madagascariensis
AngavoKely,46,1,0,Eidolon dupreanum
Maromizaha,47,2,0,Rousettus madagascariensis
Ambakoana,48,1,0,Pteropus rufus
Maromizaha,50,3,1,Rousettus madagascariensis
AngavoKely,56,2,0,Eidolon dupreanum
Maromizaha,59,1,0,Rousettus madagascariensis
AngavoKely,60,1,0,Eidolon dupreanum
AngavoKely,63,1,0,Eidolon dupreanum
Maromizaha,65,2,0,Rousettus madagascariensis
AngavoKely,66,1,0,Eidolon dupreanum
AngavoKely,75,1,0,Eidolon dupreanum
