sample_id,any_picorna,any_calici,any_pos,virus_general,dataset,specific_roost_site,roost_site,latitude_s,longitude_e,sampling_session,processing_date,year,bat_species,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,predicted_mass_g,mass_forearm_residual
AMB100,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,35,2016-01-18,2016,Pteropus rufus,female,NL,NA,NA,NA,NA,550,26.5,159,73.1,27.2,9.1,13,NA,NA
AMB106,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,35,2016-01-19,2016,Pteropus rufus,male,A,NA,NA,NA,NA,680,25,160,83.14,29.1,15.1,19.53,NA,NA
AMB11,0,0,0,,NIH,Ambakoana,Ambakoana,-18.513,48.1665,3,2013-11-16,2013,Pteropus rufus,female,L,NA,NA,NA,NA,520,27,158,82,34,NA,NA,NA,NA
AMB116,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,35,2016-01-21,2016,Pteropus rufus,male,A,NA,NA,NA,NA,790,27.6,165,81.87,31.76,16.3,16.5,NA,NA
AMB122,0,0,0,,CZID/NIH,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-23,2018,Pteropus rufus,male,A,no,no,NA,NA,680,28,164,82.7,22.5,19.1,20,618.1214614,61.87853858
AMB123,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-23,2018,Pteropus rufus,male,A,no,no,NA,NA,750,26.8,174,71.6,19.4,11,16.3,711.1404373,38.85956266
AMB124,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-23,2018,Pteropus rufus,female,NL,yes,no,NA,NA,470,27.6,156,70.4,21.8,3.2,4.8,NA,NA
AMB126,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-24,2018,Pteropus rufus,male,A,no,no,NA,NA,790,23.8,178,79.1,24,20.8,21.7,750.4704682,39.52953185
AMB127,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-24,2018,Pteropus rufus,female,NL,yes,no,NA,NA,550,27.6,159,73.4,24.3,9.4,11.2,NA,NA
AMB128,0,0,0,,CZID,Ambakoana,Ambakoana,-18.513,48.1665,40,2018-02-25,2018,Pteropus rufus,female,NL,yes,no,NA,NA,390,21.9,144,69.04,21.2,small,small,NA,NA
