family,genus,virus,species,type,accession
Picornaviridae,Mischivirus,Pteropus rufus mischivirus,Pteropus rufus,full,OQ818316
Picornaviridae,Kunsagivirus,Eidolon dupreanum kunsagivirus,Eidolon dupreanum,full,OQ818317
Picornaviridae,Teschovirus,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full,OQ818318
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 1,Eidolon dupreanum,partial,OQ818319
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,full,OQ818320
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,full,OQ818321
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,full,OQ818322
Picornaviridae,Teschovirus,Rousettus madagascariensis teschovirus 1,Rousettus madagascariensis,full,OQ818323
Picornaviridae,Teschovirus,Rousettus madagascariensis teschovirus 2,Rousettus madagascariensis,full,OQ818324
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 1,Rousettus madagascariensis,partial,OQ818325
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 1,Rousettus madagascariensis,full,OQ818328
Picornaviridae,Sapelovirus,Rousettus madagascariensis sapelovirus 1,Rousettus madagascariensis,full,OQ818329
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,partial,OQ818337
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 2,Eidolon dupreanum,partial,OQ818340
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial,OQ818342
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial,OQ818343
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial,OQ818344
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 1,Rousettus madagascariensis,partial,OQ818345
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 2,Rousettus madagascariensis,partial,OQ818346
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,OQ818347
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 3,Rousettus madagascariensis,partial,OQ818348
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial,PP766449
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus 2,Eidolon dupreanum,partial,PP766450
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial,PP766451
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial,PP766452
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial,PP766453
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,partial,PP766454
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,partial,PP766455
Picornaviridae,Kobuvirus,Eidolon dupreanum kobuvirus,Eidolon dupreanum,full,PP766456
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,partial,PP766457
Picornaviridae,Hepatovirus,Eidolon dupreanum hepatovirus,Eidolon dupreanum,partial,PP766458
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 1,Eidolon dupreanum,full,PP766459
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 4,Eidolon dupreanum,partial,PP766460
Caliciviridae,Sapovirus,Eidolon dupreanum sapovirus 3,Eidolon dupreanum,partial,PP766461
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,partial,PP766462
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,partial,PP766463
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 2,Eidolon dupreanum,partial,PP766464
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial,PP766465
Picornaviridae,Sapelovirus,Eidolon dupreanum sapelovirus 1,Eidolon dupreanum,partial,PP766466
Picornaviridae,Cardiovirus,Eidolon dupreanum cardiovirus,Eidolon dupreanum,partial,PP766467
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 3,Rousettus madagascariensis,partial,PP766468
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,full,PP766469
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,PP766470
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,partial,PP766471
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,partial,PP766472
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,PP766473
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,PP766474
Picornaviridae,Unclassified picornavirus,Rousettus madagascariensis picornavirus 3,Rousettus madagascariensis,partial,PP766475
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,PP766476
Caliciviridae,Sapovirus,Rousettus madagascariensis sapovirus 2,Rousettus madagascariensis,partial,PP766477
