family,picorna,virus,species,type,accession
Picornaviridae,1,Mischivirus,P. rufus,Full,OQ818316
Picornaviridae,1,Kunsagivirus,E. dupreanum,Full,OQ818317
Picornaviridae,1,Teschovirus,E. dupreanum,Full,OQ818318
Picornaviridae,1,Teschovirus,R. madagascariensis,Full,OQ818323
Picornaviridae,1,Teschovirus,R. madagascariensis,Full,OQ818324
Picornaviridae,1,Sapelovirus,E. dupreanum,Full,OQ818320
Picornaviridae,1,Sapelovirus,E. dupreanum,Full,OQ818321
Picornaviridae,1,Sapelovirus,E. dupreanum,Partial,OQ818342
Picornaviridae,1,Sapelovirus,E. dupreanum,Partial,OQ818343
Picornaviridae,1,Sapelovirus,E. dupreanum,Partial,OQ818344
Picornaviridae,1,Sapelovirus,R. madagascariensis,Full,OQ818329
Picornaviridae,1,Kobuvirus,E. dupreanum,Full,OQ818322
Picornaviridae,1,Hepatovirus,E. dupreanum,Partial,OQ818337
Picornaviridae,1,Bat picornavirus,R. madagascariensis,Full,OQ818325
Picornaviridae,1,Bat picornavirus,R. madagascariensis,Full,OQ818328
Picornaviridae,1,Bat picornavirus,R. madagascariensis,Partial,OQ818346
Secoviridae,0,Nepovirus,R. madagascariensis,Full,OQ818326/OQ818327
Secoviridae,0,Cheravirus,P. rufus,Partial,OQ818330
Dicistroviridae,0,Cripavirus,E. dupreanum,Partial,OQ818338
Dicistroviridae,0,Aparavirus,P. rufus,Partial,OQ818332
Caliciviridae,0,Sapovirus,E. dupreanum,Full,OQ818319
Caliciviridae,0,Sapovirus,E. dupreanum,Partial,OQ818340
Caliciviridae,0,Sapovirus,R. madagascariensis,Partial,OQ818345
Caliciviridae,0,Sapovirus,R. madagascariensis,Partial,OQ818347
Caliciviridae,0,Sapovirus,R. madagascariensis,Partial,OQ818348
Unclassified,0,Tetnovirus,P. rufus,Partial,OQ818331
Unclassified,0,Felisavirus,P. rufus,Partial,OQ818335
Unclassified,0,Felisavirus,E. dupreanum,Partial,OQ818341
Unclassified,0,Picorna-like virus,P. rufus,Partial,OQ818333
Unclassified,0,Picorna-like virus,P. rufus,Partial,OQ818334
Unclassified,0,Picorna-like virus,P. rufus,Partial,OQ818336
Unclassified,0,Picorna-like virus,E. dupreanum,Partial,OQ818339
