Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
NC_033820.1,Bat sapelovirus,,Bat sapelovirus,Sapelovirus,Cameroon,Eidolon helvum,1,2013,0
NC_040605.1,Marmot sapelovirus 1,,Marmot sapelovirus 1,Sapelovirus,China,Marmota himalayana,0,2013,0
KY855433.1,Marmot sapelovirus 2,,Marmot sapelovirus 2,Sapelovirus,China,Marmota himalayana,0,2013,0
MN241820.1,Porcine sapelovirus 1,TN-400-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2016,0
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2001,0
KY053835.1,Porcine sapelovirus 1,IVRI/PSV/SPF/C-6/2015,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2015,0
MN241819.1,Porcine sapelovirus 1,WB-76-tc,Sapelovirus A,Sapelovirus,India,Sus scrofa,0,2018,0
LT900497.1,Sapelovirus A,PSV/GER/L00798-K11_14-02/2014,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2014,0
HQ875059.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2009,0
ON375365.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
ON375366.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
ON375367.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
ON375368.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
OM328111.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2021,0
MN807752.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Hungary,Sus scrofa domesticus,0,2013,0
LC493088.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Viet Nam,Sus scrofa domesticus,0,2018,0
OL598599.1,Sapelovirus A,CHN-SCMY-2021,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2021,0
KJ821019.1,Sapelovirus A,KS04105,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2004,0
KJ821021.1,Sapelovirus A,KS055217,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2005,0
ON146286.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
MT080999.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2019,0
MN836683.1,Sapelovirus A,SwPSV75BO2012,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,0,2012,0
MK497044.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,0,2015,0
MG732813.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
MG732814.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
KX574284.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,USA,Sus scrofa,0,2015,0
KJ821020.1,Sapelovirus A,KS05151,Sapelovirus A,Sapelovirus,South Korea,Sus scrofa,0,2005,0
