virus,host,event
KX420938.1_Teschovirus_sp_Saudi_Arabia_Eidolon_helvum,Eidolon_helvum,A
OR951324.1_Pteropodidae_bat_teschovirus_China_Eonycteris_spelaea,Eonycteris_spelaea,B
OR951333.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
OR951334.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
OR951335.1_Pteropodidae_bat_teschovirus_China_Rousettus_leschenaultii,Rousettus_leschenaultii,C
PP711934.1_Rousettus_bat_teschovirus_Kenya_Rousettus_aegyptiacus,Rousettus_aegyptiacus,D
PP711948.1_Rousettus_bat_teschovirus_Uganda_Rousettus_aegyptiacus,Rousettus_aegyptiacus,D
OQ818318_E_dupreanum_teschovirus_1_Madagascar_Eidolon_dupreanum,Eidolon_dupreanum,E
OQ818323_R_madagascariensis_teschovirus_1_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,F
OQ818324_R_madagascariensis_teschovirus_2_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,F
PV788826_R_madagascariensis_teschovirus_2_Madagascar_Rousettus_madagascariensis,Rousettus_madagascariensis,F
