pointer,OQ818328 - Bat_picornavirus_3,OQ818328 - PP766469,Bat_picornavirus_3 - PP766469
20,0,90,10
40,0,22,78
60,0,74,26
80,0,16,84
100,7,4,89
120,0,7,93
140,1,7,92
160,1,11,88
180,1,12,87
200,0,26,74
220,0,28,72
240,10,38,52
260,12,8,78
280,59,12,25
300,49,10,37
320,35,14,48
340,55,1,40
360,71,0,27
380,76,0,16
400,77,0,16
420,87,0,9
440,56,0,39
460,90,0,9
480,89,0,8
500,83,1,10
520,63,6,27
540,20,77,2
560,1,98,1
580,1,99,0
600,0,100,0
620,1,99,0
640,0,99,0
660,2,98,0
680,0,100,0
700,0,100,0
720,4,96,0
740,5,95,0
760,27,68,4
780,38,59,3
800,57,33,4
820,28,33,32
840,23,8,55
860,25,4,54
880,28,0,64
900,5,0,85
920,6,0,91
940,12,0,73
960,28,0,62
980,34,0,47
1000,51,0,33
1020,61,0,29
1040,41,1,45
1060,27,4,57
1080,35,1,50
1100,31,11,47
1120,33,14,45
1140,26,56,12
1160,12,56,27
1180,20,60,19
1200,4,93,2
1220,5,94,0
1240,23,66,8
1260,22,74,3
1280,13,86,0
1300,10,90,0
1320,22,74,2
1340,13,85,2
1360,28,72,0
1380,9,91,0
1400,37,62,1
1420,18,79,3
1440,13,87,0
1460,10,90,0
1480,49,48,1
1500,35,65,0
1520,12,87,1
1540,25,73,1
1560,14,78,5
1580,32,64,1
1600,60,33,2
1620,62,31,2
1640,65,23,6
1660,44,16,30
1680,60,16,16
1700,47,12,28
1720,67,1,22
1740,70,1,15
1760,88,2,5
1780,83,2,11
1800,92,1,4
1820,91,4,3
1840,99,1,0
1860,99,1,0
1880,78,22,0
1900,71,29,0
1920,40,59,0
1940,16,84,0
1960,15,85,0
1980,0,99,0
2000,2,98,0
2020,1,95,4
2040,4,93,3
2060,6,92,1
2080,12,79,8
2100,22,58,18
2120,44,38,12
2140,40,27,26
2160,23,38,30
2180,54,13,25
2200,64,6,19
2220,50,19,23
2240,34,25,36
2260,8,52,38
2280,10,85,4
2300,10,88,0
2320,16,82,0
2340,37,63,0
2360,33,65,0
2380,62,38,0
2400,45,55,0
2420,64,34,0
2440,36,64,0
2460,62,37,0
2480,54,44,0
2500,77,15,1
2520,64,23,8
2540,15,61,13
2560,25,53,22
2580,25,57,17
