Position in alignment,PP766459 - OQ709197,PP766459 - OP963623,OQ709197 - OP963623
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,16,18,44
180,16,9,61
200,18,27,43
220,0,43,51
240,5,82,13
260,4,57,39
280,5,89,6
300,3,96,1
320,7,92,1
340,6,94,0
360,2,98,0
380,0,100,0
400,3,97,0
420,6,94,0
440,5,93,2
460,4,95,0
480,0,100,0
500,0,100,0
520,0,100,0
540,0,100,0
560,0,100,0
580,0,100,0
600,0,100,0
620,0,100,0
640,0,100,0
660,0,100,0
680,0,100,0
700,0,99,1
720,0,99,0
740,8,80,12
760,4,77,19
780,24,48,27
800,15,49,36
820,7,74,19
840,2,90,8
860,0,93,7
880,0,94,6
900,0,98,2
920,0,93,7
940,0,97,3
960,0,94,6
980,0,88,12
1000,1,71,27
1020,0,77,22
1040,6,63,31
1060,0,57,43
1080,2,58,40
1100,2,45,53
1120,14,75,11
1140,12,76,12
1160,4,96,0
1180,1,99,0
1200,0,100,0
1220,0,100,0
1240,0,100,0
1260,0,100,0
1280,0,100,0
1300,0,100,0
1320,0,98,2
1340,0,97,3
1360,0,76,24
1380,0,59,41
1400,0,74,26
1420,2,72,26
1440,10,78,12
1460,17,58,24
1480,26,57,13
1500,3,93,4
1520,2,97,1
1540,1,98,0
1560,0,100,0
1580,2,98,0
1600,1,99,0
1620,4,95,0
1640,1,99,0
1660,0,100,0
1680,0,100,0
1700,2,98,0
1720,4,96,0
1740,3,97,0
1760,0,100,0
1780,1,99,0
1800,0,100,0
1820,0,100,0
1840,0,100,0
1860,0,99,0
1880,0,99,1
1900,0,100,0
1920,0,100,0
1940,0,100,0
1960,0,100,0
1980,0,100,0
2000,0,100,0
2020,0,100,0
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,100,0
2180,0,100,0
2200,0,100,0
2220,0,100,0
2240,0,100,0
2260,0,99,1
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,98,0
2360,0,100,0
2380,0,97,0
2400,0,96,0
2420,0,97,0
2440,0,100,0
2460,0,98,0
2480,0,99,0
2500,0,100,0
2520,2,98,0
2540,0,100,0
2560,0,100,0
2580,3,96,1
2600,1,99,0
2620,0,99,1
2640,0,100,0
2660,5,95,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,1,99,0
2860,1,99,0
2880,0,100,0
2900,1,99,0
2920,0,99,0
2940,1,98,0
2960,4,95,0
2980,2,97,0
3000,1,99,0
3020,3,97,0
3040,2,98,0
3060,4,93,1
3080,13,85,1
3100,11,75,2
3120,20,70,1
3140,11,84,3
3160,4,90,0
3180,11,82,1
3200,4,92,1
3220,4,80,14
3240,5,91,2
3260,2,90,7
3280,0,93,5
3300,0,96,1
3320,0,99,1
3340,0,88,11
3360,0,71,29
3380,2,49,49
3400,3,75,22
3420,10,67,23
3440,3,19,77
3460,18,36,46
3480,2,33,65
3500,6,57,37
3520,5,74,21
3540,8,80,12
3560,14,83,3
3580,4,92,4
3600,17,79,4
3620,3,97,0
3640,1,99,0
3660,6,90,1
3680,4,93,1
3700,6,73,13
3720,18,55,21
3740,10,66,16
3760,2,84,13
3780,1,65,33
3800,0,71,29
3820,0,68,32
3840,0,50,49
3860,0,74,26
3880,0,58,42
3900,0,80,20
3920,2,87,11
3940,3,89,7
3960,15,48,35
3980,28,56,16
4000,14,62,23
4020,8,70,22
4040,4,89,7
4060,0,85,14
4080,3,84,12
4100,2,92,6
4120,1,94,4
4140,1,90,4
4160,0,100,0
4180,0,100,0
4200,1,99,0
4220,1,97,1
4240,7,87,2
4260,1,99,0
4280,0,99,0
4300,3,95,1
4320,2,98,0
4340,1,99,0
4360,1,89,10
4380,0,98,2
4400,0,100,0
4420,0,98,2
4440,0,100,0
4460,0,97,3
4480,2,98,0
4500,4,96,0
4520,3,97,0
4540,0,99,0
4560,8,92,0
4580,10,88,0
4600,7,87,0
4620,5,92,0
4640,6,94,0
4660,15,82,0
4680,3,97,0
4700,1,96,0
4720,3,94,0
4740,0,98,0
4760,4,95,0
4780,8,91,0
4800,4,96,0
4820,12,88,0
4840,3,88,5
4860,1,96,1
4880,10,84,4
4900,0,99,1
4920,0,97,3
4940,1,92,5
4960,0,98,2
4980,0,100,0
5000,3,97,0
5020,1,98,0
5040,0,100,0
5060,0,95,3
5080,0,99,0
5100,1,67,29
5120,4,74,16
5140,1,69,21
5160,10,25,61
5180,5,53,35
5200,12,56,31
5220,4,67,23
5240,40,42,8
5260,14,79,1
5280,15,80,1
5300,18,77,1
5320,4,88,4
5340,2,97,0
5360,2,98,0
5380,2,96,0
5400,0,94,6
5420,13,77,6
5440,6,80,14
5460,9,75,15
5480,25,46,25
5500,41,33,25
5520,52,45,3
5540,87,3,10
5560,96,1,3
5580,78,3,19
5600,86,12,2
5620,31,50,19
5640,11,61,28
5660,4,66,29
5680,9,47,43
5700,1,76,23
5720,1,73,26
5740,0,92,8
5760,0,86,13
5780,4,90,6
5800,6,70,24
5820,1,49,49
5840,3,70,27
5860,5,77,17
5880,0,96,4
5900,3,87,9
5920,0,91,8
5940,0,98,2
5960,0,95,5
5980,0,100,0
6000,0,99,1
6020,1,93,5
6040,0,98,0
6060,1,97,2
6080,1,89,10
6100,1,96,2
6120,4,91,2
6140,4,89,4
6160,0,99,1
6180,0,100,0
6200,2,98,0
6220,0,100,0
6240,0,100,0
6260,0,100,0
6280,0,100,0
6300,0,100,0
6320,0,100,0
6340,0,100,0
6360,0,100,0
6380,0,100,0
6400,0,100,0
6420,1,99,0
6440,5,95,0
6460,6,92,2
6480,3,97,0
6500,1,99,0
6520,3,97,0
6540,2,97,1
6560,5,93,2
6580,5,91,4
6600,2,94,3
6620,3,93,4
6640,0,100,0
6660,0,100,0
6680,0,95,4
6700,3,96,1
6720,7,88,3
6740,1,95,1
6760,1,96,1
6780,1,92,6
6800,8,87,5
