accessiom,Position,Coverage,rPM,virus,species,type
OQ818316,1,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,2,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,3,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,4,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,5,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,6,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,7,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,8,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,9,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,10,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,11,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,12,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,13,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,14,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,15,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,16,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,17,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,18,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,19,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,20,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,21,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,22,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,23,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,24,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,25,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,26,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,27,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,28,1,0.016015888,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,29,3,0.048047663,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,30,28,0.448444857,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,31,28,0.448444857,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,32,29,0.464460745,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,33,29,0.464460745,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,34,52,0.832826164,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,35,65,1.041032704,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,36,65,1.041032704,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,37,74,1.185175694,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,38,74,1.185175694,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,39,89,1.425414011,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,40,104,1.665652327,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,41,114,1.825811205,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,42,130,2.082065409,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,43,131,2.098081297,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,44,168,2.690669144,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,45,168,2.690669144,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,46,168,2.690669144,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,47,168,2.690669144,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,48,168,2.690669144,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,49,184,2.946923348,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,50,187,2.994971011,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,51,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,52,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,53,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,54,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,55,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,56,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,57,188,3.010986899,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,58,190,3.043018675,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,59,190,3.043018675,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,60,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,61,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,62,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,63,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,64,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,65,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,66,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,67,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,68,191,3.059034562,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,69,195,3.123098113,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,70,195,3.123098113,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,71,195,3.123098113,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,72,196,3.139114001,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,73,200,3.203177552,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,74,201,3.21919344,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,75,204,3.267241103,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,76,204,3.267241103,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,77,204,3.267241103,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,78,204,3.267241103,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,79,209,3.347320542,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,80,215,3.443415869,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,81,215,3.443415869,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,82,231,3.699670073,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,83,240,3.843813063,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,84,255,4.084051379,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,85,261,4.180146706,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,86,262,4.196162593,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,87,279,4.468432685,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,88,299,4.78875044,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,89,418,6.694641084,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,90,420,6.726672859,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,91,440,7.046990615,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,92,451,7.22316538,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,93,463,7.415356033,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,94,475,7.607546686,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,95,481,7.703642013,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,96,528,8.456388738,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,97,535,8.568499952,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,98,552,8.840770044,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,99,565,9.048976585,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,100,592,9.481405554,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,101,592,9.481405554,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,102,593,9.497421442,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,103,606,9.705627983,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,104,609,9.753675646,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,105,609,9.753675646,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,106,613,9.817739197,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,107,633,10.13805695,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,108,633,10.13805695,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,109,636,10.18610462,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,110,636,10.18610462,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,111,638,10.21813639,Pteropus rufus mischivirus,Pteropus rufus,full
OQ818316,112,638,10.21813639,Pteropus rufus mischivirus,Pteropus rufus,full
