pointer,OQ818323 - OQ818318,OQ818323 - Pteropodidae_bat_teschovirus,OQ818318 - Pteropodidae_bat_teschovirus
20,13,13,67
40,25,7,63
60,14,8,61
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,0,0,0
280,0,0,0
300,0,0,0
320,0,0,0
340,0,0,0
360,0,0,0
380,0,38,30
400,0,5,86
420,0,9,84
440,0,9,85
460,0,18,73
480,0,36,51
500,0,36,55
520,1,47,51
540,0,52,46
560,0,44,55
580,0,69,31
600,0,78,22
620,0,53,47
640,0,33,66
660,0,40,60
680,0,63,37
700,2,41,57
720,1,57,42
740,5,51,44
760,0,37,62
780,0,14,86
800,10,8,82
820,2,10,88
840,0,10,89
860,0,7,93
880,1,1,98
900,0,17,73
920,0,14,76
940,0,31,55
960,0,96,4
980,0,93,7
1000,0,90,9
1020,0,99,1
1040,0,99,1
1060,0,99,1
1080,0,98,2
1100,0,100,0
1120,0,99,1
1140,0,100,0
1160,0,100,0
1180,0,99,0
1200,0,98,2
1220,0,98,1
1240,0,96,0
1260,0,98,1
1280,0,99,1
1300,0,93,4
1320,0,85,9
1340,0,98,0
1360,0,96,2
1380,0,98,0
1400,0,92,3
1420,0,99,1
1440,0,88,6
1460,0,85,10
1480,0,66,34
1500,0,67,33
1520,0,64,36
1540,0,56,44
1560,0,30,69
1580,0,4,96
1600,0,7,93
1620,0,4,96
1640,0,4,96
1660,0,2,98
1680,0,1,99
1700,0,0,100
1720,0,0,100
1740,0,1,99
1760,0,4,96
1780,0,9,90
1800,0,9,91
1820,0,1,99
1840,0,0,100
1860,0,1,98
1880,0,0,100
1900,0,3,91
1920,0,10,89
1940,0,33,67
1960,0,3,97
1980,0,1,99
2000,0,12,88
2020,0,31,69
2040,0,40,60
2060,0,55,45
2080,0,71,29
2100,0,46,53
2120,0,13,86
2140,0,5,94
2160,0,27,65
2180,0,31,59
2200,0,56,41
2220,0,57,39
2240,0,60,35
2260,0,59,28
2280,0,77,17
2300,0,63,28
2320,0,52,38
2340,0,91,7
2360,0,82,12
2380,0,94,5
2400,0,99,0
2420,0,93,1
2440,0,90,10
2460,0,90,10
2480,0,80,18
2500,0,93,7
2520,0,100,0
2540,0,94,6
2560,0,96,4
2580,0,94,6
2600,0,83,16
2620,0,89,11
2640,0,89,11
2660,0,87,11
2680,0,97,2
2700,0,90,6
2720,0,94,4
2740,0,89,6
2760,0,90,7
2780,0,96,2
2800,0,97,1
2820,0,95,4
2840,0,97,3
2860,0,87,9
2880,0,95,3
2900,0,92,5
2920,0,93,4
2940,0,95,4
2960,0,94,4
2980,0,98,1
3000,0,96,3
3020,0,100,0
3040,0,100,0
3060,0,100,0
3080,0,100,0
3100,0,100,0
3120,0,100,0
3140,0,100,0
3160,0,99,1
3180,0,98,2
3200,0,99,1
3220,0,98,2
3240,0,98,2
3260,0,99,1
3280,0,91,9
3300,0,84,15
3320,0,93,4
3340,0,99,1
3360,0,100,0
3380,0,100,0
3400,0,100,0
3420,0,100,0
3440,0,100,0
3460,0,99,1
3480,0,100,0
3500,0,99,1
3520,0,97,3
3540,0,100,0
3560,0,95,5
3580,0,96,4
3600,0,98,2
3620,0,91,9
3640,0,92,8
3660,0,88,12
3680,0,73,26
3700,0,70,30
3720,0,83,16
3740,0,85,15
3760,0,79,19
3780,0,79,21
3800,0,81,14
3820,0,93,6
3840,0,94,6
3860,0,77,22
3880,0,66,34
3900,0,59,40
3920,0,38,46
3940,0,39,61
3960,0,39,59
3980,0,29,68
4000,0,11,88
4020,0,2,98
4040,0,10,89
4060,0,19,80
4080,0,23,73
4100,0,40,58
4120,0,35,62
4140,0,46,40
4160,0,48,39
4180,0,41,46
4200,0,45,42
4220,0,60,26
4240,0,78,13
4260,0,87,8
4280,0,90,5
4300,0,93,3
4320,0,96,3
4340,0,91,6
4360,0,97,1
4380,0,96,3
4400,0,96,3
4420,0,95,2
4440,0,81,15
4460,0,62,25
4480,0,55,35
4500,0,73,16
4520,0,81,13
4540,0,92,4
4560,0,80,11
4580,0,93,3
4600,0,91,3
4620,0,95,1
4640,0,97,2
4660,0,97,1
4680,0,98,1
4700,0,97,1
4720,0,53,26
4740,0,72,17
4760,0,76,16
4780,0,75,13
4800,0,67,12
4820,0,51,29
4840,0,58,27
4860,0,54,32
4880,0,56,29
4900,0,52,30
4920,0,81,10
4940,0,31,61
4960,0,7,91
4980,0,7,92
5000,0,11,85
5020,0,7,92
5040,0,16,83
5060,0,6,91
5080,0,12,88
5100,0,1,97
5120,0,1,98
5140,0,5,94
5160,0,33,66
5180,0,48,50
5200,0,64,34
5220,0,44,53
5240,0,54,44
5260,0,36,62
5280,0,9,89
5300,0,4,95
5320,0,30,70
5340,0,14,86
5360,0,25,75
5380,0,46,54
5400,0,59,41
5420,0,73,27
5440,0,85,15
5460,0,98,2
5480,0,100,0
5500,0,100,0
5520,0,100,0
5540,0,100,0
5560,0,100,0
5580,0,99,1
5600,0,100,0
5620,0,100,0
5640,0,96,4
5660,0,94,6
5680,0,71,21
5700,0,61,32
5720,0,86,10
5740,0,97,2
5760,0,99,1
5780,0,99,0
5800,0,99,1
5820,0,90,8
5840,0,91,6
5860,0,77,14
5880,0,80,11
5900,0,91,4
5920,0,61,31
5940,0,42,46
5960,0,18,75
5980,0,11,83
6000,0,0,98
6020,0,7,88
6040,0,5,92
6060,0,17,75
6080,0,77,11
6100,0,77,11
6120,0,97,2
6140,0,100,0
6160,0,100,0
6180,0,99,0
6200,0,100,0
6220,0,100,0
6240,0,100,0
6260,0,97,2
6280,0,99,0
6300,0,100,0
6320,0,98,1
6340,0,97,2
6360,0,96,3
6380,0,78,15
6400,0,94,5
6420,0,88,9
6440,0,94,4
6460,0,89,7
6480,0,82,11
6500,0,79,11
6520,0,84,11
6540,0,94,5
6560,0,90,2
6580,0,91,5
6600,0,87,10
6620,0,93,6
6640,0,93,6
6660,0,94,3
6680,0,80,11
6700,0,85,11
6720,0,26,66
6740,0,24,68
6760,0,42,54
6780,0,40,51
6800,0,23,75
6820,0,9,86
6840,0,25,72
6860,0,38,53
6880,0,52,36
6900,0,38,53
6920,0,82,8
6940,0,74,21
6960,0,88,7
6980,0,75,15
7000,0,70,17
7020,0,67,25
7040,0,46,43
7060,0,34,64
7080,0,42,54
7100,0,42,54
7120,0,5,93
7140,0,50,45
7160,0,69,30
7180,0,98,0
7200,0,99,1
7220,0,100,0
7240,0,100,0
7260,0,100,0
7280,0,100,0
7300,0,100,0
7320,0,100,0
7340,0,100,0
7360,0,100,0
7380,0,100,0
7400,0,100,0
7420,0,98,1
7440,0,93,4
7460,0,81,16
7480,0,97,3
7500,0,94,6
7520,0,95,5
7540,0,85,15
7560,0,71,29
7580,8,15,76
7600,40,15,45
7620,46,27,26
7640,20,46,33
7660,18,64,17
7680,2,13,85
