Pointer,OQ818328 - PP766469,OQ818328 - HQ595345.1,PP766469 - HQ595345.1
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,0,0,0
200,0,0,0
220,0,0,0
240,0,0,0
260,38,1,59
280,40,1,58
300,83,0,17
320,63,6,30
340,83,0,16
360,87,0,13
380,90,0,10
400,100,0,0
420,99,0,1
440,94,0,6
460,97,3,0
480,97,1,2
500,90,8,2
520,94,4,1
540,89,5,6
560,84,11,5
580,45,43,6
600,25,53,15
620,33,54,7
640,25,59,10
660,44,33,14
680,19,56,21
700,63,6,25
720,95,3,2
740,93,0,7
760,99,0,1
780,99,0,1
800,100,0,0
820,99,0,0
840,100,0,0
860,100,0,0
880,100,0,0
900,100,0,0
920,100,0,0
940,100,0,0
960,100,0,0
980,100,0,0
1000,100,0,0
1020,99,0,1
1040,95,1,3
1060,100,0,0
1080,90,4,3
1100,88,1,9
1120,79,4,11
1140,75,20,4
1160,59,32,5
1180,71,14,8
1200,60,27,4
1220,78,15,1
1240,94,4,0
1260,94,3,0
1280,82,4,6
1300,92,2,4
1320,99,0,0
1340,100,0,0
1360,100,0,0
1380,100,0,0
1400,100,0,0
1420,100,0,0
1440,100,0,0
1460,100,0,0
1480,100,0,0
1500,100,0,0
1520,100,0,0
1540,100,0,0
1560,99,1,0
1580,99,1,0
1600,100,0,0
1620,100,0,0
1640,100,0,0
1660,100,0,0
1680,100,0,0
1700,100,0,0
1720,100,0,0
1740,100,0,0
1760,100,0,0
1780,100,0,0
1800,100,0,0
1820,100,0,0
1840,98,1,1
1860,100,0,0
1880,95,0,3
1900,100,0,0
1920,87,2,8
1940,99,0,1
1960,98,0,0
1980,100,0,0
2000,99,1,0
2020,100,0,0
2040,99,1,0
2060,100,0,0
2080,99,1,0
2100,98,1,0
2120,100,0,0
2140,98,1,0
2160,100,0,0
2180,100,0,0
2200,100,0,0
2220,100,0,0
2240,100,0,0
2260,100,0,0
2280,100,0,0
2300,99,0,0
2320,100,0,0
2340,100,0,0
2360,100,0,0
2380,97,1,0
2400,100,0,0
2420,96,1,1
2440,99,0,1
2460,100,0,0
2480,100,0,0
2500,100,0,0
2520,100,0,0
2540,100,0,0
2560,100,0,0
2580,100,0,0
2600,100,0,0
2620,100,0,0
2640,100,0,0
2660,100,0,0
2680,100,0,0
2700,100,0,0
2720,100,0,0
2740,100,0,0
2760,100,0,0
2780,100,0,0
2800,100,0,0
2820,100,0,0
2840,100,0,0
2860,100,0,0
2880,100,0,0
2900,100,0,0
2920,100,0,0
2940,100,0,0
2960,100,0,0
2980,100,0,0
3000,100,0,0
3020,100,0,0
3040,100,0,0
3060,100,0,0
3080,100,0,0
3100,100,0,0
3120,100,0,0
3140,100,0,0
3160,100,0,0
3180,100,0,0
3200,100,0,0
3220,100,0,0
3240,100,0,0
3260,100,0,0
3280,100,0,0
3300,100,0,0
3320,100,0,0
3340,100,0,0
3360,100,0,0
3380,100,0,0
3400,100,0,0
3420,100,0,0
3440,100,0,0
3460,100,0,0
3480,100,0,0
3500,99,1,0
3520,100,0,0
3540,100,0,0
3560,100,0,0
3580,100,0,0
3600,100,0,0
3620,100,0,0
3640,100,0,0
3660,99,1,0
3680,99,1,0
3700,100,0,0
3720,99,0,1
3740,94,0,6
3760,97,0,3
3780,94,3,3
3800,98,1,1
3820,93,5,2
3840,100,0,0
3860,100,0,0
3880,100,0,0
3900,100,0,0
3920,100,0,0
3940,99,1,0
3960,100,0,0
3980,100,0,0
4000,100,0,0
4020,100,0,0
4040,100,0,0
4060,100,0,0
4080,100,0,0
4100,100,0,0
4120,100,0,0
4140,100,0,0
4160,100,0,0
4180,100,0,0
4200,100,0,0
4220,100,0,0
4240,100,0,0
4260,100,0,0
4280,100,0,0
4300,100,0,0
4320,100,0,0
4340,100,0,0
4360,100,0,0
4380,100,0,0
4400,100,0,0
4420,100,0,0
4440,100,0,0
4460,100,0,0
4480,100,0,0
4500,100,0,0
4520,100,0,0
4540,100,0,0
4560,100,0,0
4580,100,0,0
4600,100,0,0
4620,100,0,0
4640,100,0,0
4660,100,0,0
4680,100,0,0
4700,100,0,0
4720,100,0,0
4740,100,0,0
4760,100,0,0
4780,100,0,0
4800,100,0,0
4820,100,0,0
4840,100,0,0
4860,100,0,0
4880,69,13,10
4900,77,7,11
4920,89,8,3
4940,78,6,12
4960,96,2,1
4980,99,0,1
5000,88,0,11
5020,96,1,1
5040,98,1,1
5060,99,0,0
5080,99,0,1
5100,99,0,0
5120,97,0,2
5140,96,0,4
5160,98,0,2
5180,99,0,1
5200,92,0,8
5220,92,0,6
5240,89,0,6
5260,68,2,25
5280,64,3,28
5300,30,12,50
5320,34,16,44
5340,21,3,72
5360,16,22,52
5380,20,18,50
5400,42,24,25
5420,74,21,1
5440,85,10,1
5460,93,4,1
5480,94,4,0
5500,98,1,0
5520,100,0,0
5540,98,2,0
5560,99,0,0
5580,96,3,0
5600,95,3,1
5620,86,6,1
5640,85,10,2
5660,90,5,4
5680,98,1,1
5700,88,2,7
5720,87,0,11
5740,94,2,4
5760,93,1,5
5780,92,2,5
5800,92,6,0
5820,87,2,10
5840,98,1,1
5860,90,3,7
5880,65,4,31
5900,55,24,20
5920,61,28,11
5940,34,33,32
5960,60,18,21
5980,76,5,19
6000,92,2,6
6020,96,3,1
6040,97,0,1
6060,98,0,0
6080,98,0,1
6100,100,0,0
6120,100,0,0
6140,100,0,0
6160,100,0,0
6180,99,1,0
6200,97,1,2
6220,98,0,0
6240,100,0,0
6260,99,0,0
6280,97,0,2
6300,99,0,1
6320,96,0,4
6340,98,0,2
6360,100,0,0
6380,92,3,5
6400,98,1,0
6420,92,2,4
6440,70,9,12
6460,64,16,14
6480,73,20,4
6500,73,17,3
6520,87,10,1
6540,98,1,0
6560,100,0,0
6580,97,1,1
6600,99,1,0
6620,76,17,0
6640,88,8,1
6660,94,6,0
6680,93,6,0
6700,98,0,0
6720,96,4,0
6740,94,3,0
6760,96,2,0
6780,92,8,0
