,OQ818337,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
OQ818337,,97.569,97.917,64.700,91.852,89.931,81.597,81.667,86.423,52.616,61.179
KT452712.1,97.569,,99.653,89.583,90.370,88.889,80.208,80.000,99.653,80.208,88.194
KT452713.1,97.917,99.653,,89.583,90.370,88.889,80.208,80.000,100.000,80.208,88.194
KT452729.1,64.700,89.583,89.583,,91.852,91.319,79.514,78.750,61.463,52.948,69.786
KT452731.1,91.852,90.370,90.370,91.852,,98.519,80.000,80.000,90.370,80.000,100.000
KT452732.1,89.931,88.889,88.889,91.319,98.519,,78.819,77.917,88.889,78.819,97.222
KT452743.1,81.597,80.208,80.208,79.514,80.000,78.819,,100.000,80.208,100.000,77.083
KT452744.1,81.667,80.000,80.000,78.750,80.000,77.917,100.000,,80.000,100.000,76.250
NC_028366.1,86.423,99.653,100.000,61.463,90.370,88.889,80.208,80.000,,53.473,60.639
NC_038313.1,52.616,80.208,80.208,52.948,80.000,78.819,100.000,100.000,53.473,,51.858
NC_038316.1,61.179,88.194,88.194,69.786,100.000,97.222,77.083,76.250,60.639,51.858,
