#node	date	numeric date
NODE_0000001	1951-03-07	1951.178782
NODE_0000155	1970-04-16	1970.289827
NODE_0000156	1978-03-15	1978.201450
KP100644.1	2013-07-15	2013.535616
NODE_0000157	1989-10-03	1989.754684
OQ818316	2018-08-16	2018.623288
NODE_0000158	2000-09-04	2000.677135
JQ814851.1	2010-12-15	2010.954795
NODE_0000159	2007-11-14	2007.870782
MG888045.1	2017-02-15	2017.124658
NODE_0000160	2010-06-06	2010.429444
KP054278.1	2013-07-15	2013.535616
NODE_0000161	2012-10-19	2012.799284
KP054273.1	2013-07-15	2013.535616
NODE_0000162	2013-02-07	2013.103325
KP054276.1	2013-07-15	2013.535616
NODE_0000163	2013-03-26	2013.231942
KP054277.1	2013-07-15	2013.535616
NODE_0000164	2013-04-16	2013.290011
KP054275.1	2013-07-15	2013.535616
KP054274.1	2013-07-15	2013.535616
NODE_0000165	1976-03-06	1976.178337
NODE_0000166	2011-11-23	2011.895223
KX644936.1	2013-12-15	2013.954795
OQ818317	2018-02-15	2018.124658
NODE_0000167	1989-12-31	1989.997290
NODE_0000168	1996-07-30	1996.578048
MN602325.1	2017-07-15	2017.535616
NODE_0000169	1999-03-18	1999.210715
KJ641686.1	2010-10-15	2010.787671
NODE_0000170	2012-01-07	2012.018426
MW450838.1	2020-02-20	2020.137978
NODE_0000171	2012-03-17	2012.207652
MF352427.1	2012-07-15	2012.536885
KJ641691.1	2012-12-15	2012.954918
NODE_0000172	2004-03-27	2004.236390
NODE_0000173	2018-04-28	2018.320605
OP287812.1	2018-07-27	2018.568493
OQ818322	2018-07-29	2018.573973
NODE_0000174	2010-04-30	2010.327108
NODE_0000175	2013-12-24	2013.980173
MF947433.1	2014-06-17	2014.458904
NODE_0000176	2014-06-05	2014.427032
MF947430.1	2014-06-11	2014.442466
MF947431.1	2014-06-11	2014.442466
NODE_0000177	2014-03-13	2014.196589
MF947434.1	2014-06-11	2014.442466
NODE_0000178	2014-03-21	2014.218834
MF947440.1	2014-09-14	2014.702740
NODE_0000179	2014-04-17	2014.290563
MF947437.1	2015-02-06	2015.100000
NODE_0000180	2014-04-17	2014.292556
NODE_0000181	2014-04-22	2014.306193
MF947429.1	2014-06-11	2014.442466
MF947438.1	2014-09-18	2014.713699
NODE_0000182	2014-04-18	2014.295365
NODE_0000183	2014-05-24	2014.394211
MF947432.1	2014-06-11	2014.442466
MF947439.1	2014-09-11	2014.694521
NODE_0000184	2014-05-23	2014.390504
MF947435.1	2014-06-11	2014.442466
MF947436.1	2014-06-11	2014.442466
NODE_0000151	1954-11-20	1954.886538
NODE_0000152	1979-06-10	1979.440102
KX420938.1	2012-10-24	2012.812842
NODE_0000153	1991-11-22	1991.891942
