pointer,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
411,98,98,91,93,94,88,88,98,88,93
412,98,98,91,93,94,87,87,98,87,93
413,98,98,91,93,94,87,87,98,87,93
414,98,98,91,93,94,87,87,98,87,93
415,98,98,92,93,94,88,88,98,88,93
416,98,98,92,93,94,88,88,98,88,93
417,98,98,92,93,94,88,88,98,88,93
418,98,98,92,93,94,88,88,98,88,93
419,98,98,92,93,94,88,88,98,88,93
420,98,98,92,93,94,88,88,98,88,93
421,98,98,92,93,94,89,89,98,89,93
422,98,98,92,93,94,89,89,98,89,93
423,98,98,92,92,93,88,88,98,88,92
424,98,98,92,92,93,88,88,98,88,92
425,98,98,92,92,93,88,88,98,88,92
426,98,98,92,92,93,88,88,98,88,92
427,98,98,92,92,93,88,88,98,88,92
428,98,98,92,93,93,88,88,98,88,93
429,98,98,91,93,93,87,87,98,87,93
430,98,98,91,93,93,87,87,98,87,93
431,98,98,91,93,93,88,88,98,88,93
432,98,98,91,93,93,88,88,98,88,93
433,98,98,91,93,93,88,88,98,88,93
434,98,98,91,93,93,88,88,98,88,93
435,98,98,90,92,92,89,89,98,89,92
436,98,98,90,92,92,88,88,98,88,92
437,98,98,90,92,92,87,87,98,87,92
438,98,98,90,92,92,87,87,98,87,92
439,98,98,90,92,92,87,87,98,87,92
440,98,98,89,91,91,86,86,98,86,91
441,98,98,90,92,92,86,86,98,86,92
442,98,98,90,92,92,87,87,98,87,92
443,98,98,90,92,91,86,86,98,86,92
444,98,98,90,92,91,86,86,98,86,92
