Name,Sequence Name,Type,Minimum,Maximum,Length
2A peptide,OQ818316,mat_peptide,3824,3916,93
2A peptide,OQ818317,mat_peptide,2825,3100,276
2A peptide,OQ818318,mat_peptide,3245,3301,57
2A peptide,OQ818320,mat_peptide,3195,3935,741
2A peptide,OQ818321,mat_peptide,3250,3990,741
2A peptide,OQ818322,mat_peptide,3807,4214,408
2A peptide,OQ818323,mat_peptide,3338,3409,72
2A peptide,OQ818324,mat_peptide,3360,3425,66
2A peptide,OQ818325,mat_peptide,3299,3949,651
2A peptide,OQ818328,mat_peptide,3233,3883,651
2A peptide,OQ818329,mat_peptide,3253,3954,702
2B peptide,OQ818316,mat_peptide,3917,4372,456
2B peptide,OQ818317,mat_peptide,3101,3418,318
2B peptide,OQ818318,mat_peptide,3302,3751,450
2B peptide,OQ818320,mat_peptide,3936,4280,345
2B peptide,OQ818321,mat_peptide,3991,4332,342
2B peptide,OQ818322,mat_peptide,4215,4709,495
2B peptide,OQ818323,mat_peptide,3410,3868,459
2B peptide,OQ818324,mat_peptide,3426,3884,459
2B peptide,OQ818325,mat_peptide,3950,4273,324
2B peptide,OQ818328,mat_peptide,3884,4207,324
2B peptide,OQ818329,mat_peptide,3955,4296,342
2C peptide,OQ818316,mat_peptide,4373,5407,1035
2C peptide,OQ818317,mat_peptide,3419,4636,1218
2C peptide,OQ818318,mat_peptide,3752,4726,975
2C peptide,OQ818320,mat_peptide,4281,5303,1023
2C peptide,OQ818321,mat_peptide,4333,5349,1017
2C peptide,OQ818322,mat_peptide,4710,5714,1005
2C peptide,OQ818323,mat_peptide,3869,4843,975
2C peptide,OQ818324,mat_peptide,3885,4859,975
2C peptide,OQ818325,mat_peptide,4274,5266,993
2C peptide,OQ818328,mat_peptide,4208,5200,993
2C peptide,OQ818329,mat_peptide,4297,5304,1008
3'UTR,OQ818316,3'UTR,7817,>7982,>166
3'UTR,OQ818317,3'UTR,7187,>7329,>143
3'UTR,OQ818318,3'UTR,7073,>7085,>13
3'UTR,OQ818320,3'UTR,7611,>7685,>75
3'UTR,OQ818321,3'UTR,7657,>7751,>95
3'UTR,OQ818322,3'UTR,8049,8320,272
3'UTR,OQ818323,3'UTR,7208,>7294,>87
3'UTR,OQ818324,3'UTR,7224,>7228,>5
3'UTR,OQ818326,3'UTR,6093,>6332,>240
3'UTR,OQ818327,3'UTR,3528,>3600,>73
3'UTR,OQ818328,3'UTR,7511,>7614,>104
3'UTR,OQ818329,3'UTR,7612,>7714,>103
3A peptide,OQ818316,mat_peptide,5408,5731,324
3A peptide,OQ818317,mat_peptide,4637,5023,387
3A peptide,OQ818318,mat_peptide,4727,5026,300
3A peptide,OQ818320,mat_peptide,5304,5609,306
3A peptide,OQ818321,mat_peptide,5350,5655,306
3A peptide,OQ818322,mat_peptide,5715,5993,279
3A peptide,OQ818323,mat_peptide,4844,5149,306
3A peptide,OQ818324,mat_peptide,4860,5165,306
3A peptide,OQ818325,mat_peptide,5267,5569,303
3A peptide,OQ818328,mat_peptide,5201,5503,303
3A peptide,OQ818329,mat_peptide,5305,5610,306
