Position,Coverage
1,1.00
2,1.00
3,1.00
4,1.00
5,1.00
6,1.00
7,1.00
8,1.00
9,1.00
10,1.00
11,4.00
12,4.00
13,4.00
14,4.00
15,4.00
16,4.00
17,4.00
18,4.00
19,4.00
20,4.00
21,4.00
22,4.00
23,4.00
24,4.00
25,4.00
26,4.00
27,4.00
28,4.00
29,4.00
30,4.00
31,4.00
32,4.00
33,4.00
34,5.00
35,5.00
36,5.00
37,5.00
38,5.00
39,5.00
40,5.00
41,5.00
42,5.00
43,5.00
44,5.00
45,5.00
46,5.00
47,5.00
48,5.00
49,5.00
50,5.00
51,5.00
52,5.00
53,5.00
54,5.00
55,5.00
56,5.00
57,5.00
58,5.00
59,5.00
60,6.00
61,6.00
62,6.00
63,6.00
64,6.00
65,6.00
66,6.00
67,6.00
68,6.00
69,6.00
70,6.00
71,6.00
72,6.00
73,6.00
74,6.00
75,6.00
76,6.00
77,6.00
78,6.00
79,6.00
80,6.00
81,6.00
82,6.00
83,6.00
84,6.00
85,6.00
86,6.00
87,6.00
88,6.00
89,6.00
90,6.00
91,6.00
92,6.00
93,6.00
94,6.00
95,6.00
96,6.00
97,6.00
98,6.00
99,6.00
100,6.00
101,6.00
102,6.00
103,6.00
104,6.00
105,6.00
106,6.00
107,6.00
108,6.00
109,6.00
110,6.00
111,6.00
112,6.00
113,6.00
114,6.00
115,6.00
116,10.00
117,10.00
118,10.00
119,10.00
120,10.00
121,10.00
122,10.00
123,10.00
124,10.00
125,10.00
126,10.00
127,10.00
128,10.00
129,10.00
130,10.00
131,10.00
132,10.00
133,10.00
134,10.00
135,10.00
136,10.00
137,10.00
138,10.00
139,10.00
140,10.00
141,10.00
142,11.00
143,11.00
144,11.00
145,11.00
146,11.00
147,10.00
148,10.00
149,10.00
150,11.00
151,11.00
152,12.00
153,12.00
154,12.00
155,12.00
156,12.00
157,9.00
158,9.00
159,9.00
160,9.00
161,9.00
162,9.00
163,9.00
164,9.00
165,9.00
166,9.00
167,10.00
168,10.00
169,10.00
170,10.00
171,10.00
172,11.00
173,11.00
174,11.00
175,11.00
176,11.00
177,12.00
178,12.00
179,12.00
180,11.00
181,11.00
182,11.00
183,11.00
184,11.00
185,11.00
186,11.00
187,11.00
188,11.00
189,11.00
190,11.00
191,11.00
192,11.00
193,11.00
194,11.00
195,11.00
196,11.00
197,11.00
198,11.00
199,11.00
200,11.00
201,11.00
202,11.00
203,11.00
204,11.00
205,11.00
206,10.00
207,10.00
208,10.00
209,10.00
210,10.00
211,10.00
212,10.00
213,10.00
214,10.00
215,10.00
216,10.00
217,10.00
218,10.00
219,10.00
220,10.00
221,10.00
222,10.00
223,10.00
224,10.00
225,11.00
226,11.00
227,11.00
228,11.00
229,11.00
230,12.00
231,12.00
232,12.00
233,12.00
234,12.00
235,12.00
236,12.00
237,12.00
238,12.00
239,12.00
240,12.00
241,13.00
242,13.00
243,13.00
244,13.00
245,13.00
246,13.00
247,14.00
248,15.00
249,15.00
250,15.00
251,15.00
252,15.00
253,15.00
254,15.00
255,15.00
256,15.00
257,15.00
258,15.00
259,15.00
260,15.00
261,15.00
262,11.00
263,12.00
264,12.00
265,12.00
266,12.00
267,12.00
268,12.00
269,12.00
270,12.00
271,12.00
272,12.00
273,12.00
274,12.00
275,12.00
276,12.00
277,12.00
278,12.00
279,14.00
280,14.00
281,14.00
282,14.00
283,14.00
284,14.00
285,14.00
286,14.00
287,14.00
288,13.00
289,13.00
290,13.00
291,13.00
292,13.00
293,13.00
294,13.00
295,13.00
296,12.00
297,12.00
298,11.00
299,11.00
300,11.00
301,11.00
302,11.00
303,12.00
304,12.00
305,12.00
306,12.00
307,12.00
308,12.00
309,12.00
310,12.00
311,12.00
312,12.00
313,11.00
314,11.00
315,11.00
316,11.00
317,11.00
318,10.00
319,10.00
320,10.00
321,10.00
322,10.00
323,9.00
324,9.00
325,9.00
326,9.00
327,9.00
328,9.00
329,9.00
330,9.00
331,9.00
332,9.00
333,9.00
334,9.00
335,9.00
336,10.00
337,10.00
338,10.00
339,10.00
340,10.00
341,11.00
342,11.00
343,11.00
344,11.00
345,11.00
346,11.00
347,11.00
348,11.00
349,11.00
350,11.00
351,11.00
352,11.00
353,11.00
354,11.00
355,11.00
356,11.00
357,12.00
358,12.00
359,12.00
360,12.00
361,12.00
362,12.00
363,12.00
364,12.00
365,12.00
366,12.00
367,12.00
368,13.00
369,13.00
370,13.00
371,12.00
372,12.00
373,12.00
374,12.00
375,12.00
376,11.00
377,11.00
378,11.00
379,11.00
380,11.00
381,12.00
382,12.00
383,12.00
384,12.00
385,12.00
386,12.00
387,11.00
388,11.00
389,11.00
390,11.00
391,11.00
392,11.00
393,10.00
394,9.00
395,10.00
396,10.00
397,10.00
398,10.00
399,10.00
400,10.00
401,10.00
402,10.00
403,10.00
404,10.00
405,10.00
406,10.00
407,10.00
408,10.00
409,9.00
410,9.00
411,12.00
412,12.00
413,12.00
414,12.00
415,12.00
416,12.00
417,12.00
418,12.00
419,12.00
420,12.00
421,12.00
422,12.00
423,12.00
424,12.00
425,10.00
426,10.00
427,10.00
428,10.00
429,10.00
430,10.00
431,11.00
432,11.00
433,11.00
434,11.00
435,11.00
436,11.00
437,11.00
438,11.00
439,13.00
440,13.00
441,13.00
442,13.00
443,13.00
444,14.00
445,14.00
446,14.00
447,14.00
448,14.00
449,13.00
450,13.00
451,13.00
452,13.00
453,13.00
454,13.00
455,13.00
456,13.00
457,13.00
458,13.00
459,13.00
460,14.00
461,14.00
462,14.00
463,14.00
464,14.00
465,14.00
466,14.00
467,14.00
468,14.00
469,14.00
470,14.00
471,14.00
472,14.00
473,15.00
474,15.00
475,15.00
476,15.00
477,15.00
478,15.00
479,15.00
480,15.00
481,15.00
482,14.00
483,14.00
484,14.00
485,14.00
486,14.00
487,13.00
488,13.00
489,13.00
490,13.00
491,13.00
492,13.00
493,13.00
494,13.00
495,13.00
496,13.00
497,13.00
498,13.00
499,13.00
500,13.00
501,13.00
502,13.00
503,12.00
504,13.00
505,13.00
506,13.00
507,13.00
508,13.00
509,13.00
510,13.00
511,13.00
512,13.00
513,13.00
514,12.00
515,12.00
516,12.00
517,12.00
518,13.00
519,13.00
520,14.00
521,14.00
522,14.00
523,14.00
524,14.00
525,15.00
526,15.00
527,14.00
528,14.00
529,14.00
530,14.00
531,14.00
532,14.00
533,14.00
534,14.00
535,14.00
536,14.00
537,14.00
538,14.00
539,14.00
540,14.00
541,13.00
542,13.00
543,13.00
544,13.00
545,13.00
546,13.00
547,13.00
548,13.00
549,13.00
550,13.00
551,13.00
552,13.00
553,13.00
554,13.00
555,13.00
556,13.00
557,10.00
558,10.00
559,11.00
560,11.00
561,11.00
562,11.00
563,11.00
564,11.00
565,11.00
566,11.00
567,11.00
568,11.00
569,11.00
570,11.00
571,11.00
572,11.00
573,11.00
574,11.00
575,11.00
576,11.00
577,10.00
578,10.00
579,10.00
580,10.00
581,10.00
582,10.00
583,10.00
584,10.00
585,8.00
586,8.00
587,8.00
588,9.00
589,10.00
590,9.00
591,9.00
592,9.00
593,9.00
594,9.00
595,9.00
596,9.00
597,9.00
598,9.00
599,9.00
600,9.00
601,9.00
602,9.00
603,9.00
604,9.00
605,9.00
606,8.00
607,8.00
608,8.00
609,8.00
610,8.00
611,8.00
612,8.00
613,8.00
614,8.00
615,8.00
616,8.00
617,8.00
618,8.00
619,7.00
620,8.00
621,8.00
622,8.00
623,8.00
624,8.00
625,8.00
626,8.00
627,8.00
628,8.00
629,8.00
630,8.00
631,8.00
632,8.00
633,8.00
634,8.00
635,8.00
636,8.00
637,8.00
638,8.00
639,8.00
640,8.00
641,8.00
642,8.00
643,8.00
644,8.00
645,8.00
646,8.00
647,8.00
648,8.00
649,8.00
650,7.00
651,7.00
652,7.00
653,7.00
654,7.00
655,7.00
656,8.00
657,8.00
658,8.00
659,8.00
660,8.00
661,8.00
662,8.00
663,8.00
664,7.00
665,8.00
666,7.00
667,7.00
668,7.00
669,7.00
670,7.00
671,6.00
672,6.00
673,6.00
674,6.00
675,6.00
676,6.00
677,6.00
678,6.00
679,6.00
680,6.00
681,6.00
682,6.00
683,6.00
684,6.00
685,6.00
686,6.00
687,6.00
688,6.00
689,6.00
690,6.00
691,6.00
692,6.00
693,6.00
694,6.00
695,6.00
696,6.00
697,6.00
698,6.00
699,6.00
700,6.00
701,6.00
702,6.00
703,6.00
704,6.00
705,5.00
706,5.00
707,5.00
708,5.00
709,5.00
710,5.00
711,5.00
712,5.00
713,5.00
714,5.00
715,5.00
716,5.00
717,5.00
718,5.00
719,5.00
720,5.00
721,6.00
722,6.00
723,6.00
724,6.00
725,6.00
726,6.00
727,6.00
728,6.00
729,6.00
730,6.00
731,6.00
732,6.00
733,6.00
734,5.00
735,4.00
736,4.00
737,4.00
738,4.00
739,4.00
740,4.00
741,4.00
742,4.00
743,4.00
744,4.00
745,4.00
746,4.00
747,4.00
748,4.00
749,4.00
750,4.00
751,4.00
752,4.00
753,4.00
754,4.00
755,4.00
756,5.00
757,5.00
758,5.00
759,5.00
760,5.00
761,5.00
762,5.00
763,5.00
764,5.00
765,5.00
766,4.00
767,4.00
768,4.00
769,4.00
770,4.00
771,4.00
772,4.00
773,4.00
774,4.00
775,4.00
776,4.00
777,4.00
778,4.00
779,4.00
780,4.00
781,4.00
782,4.00
783,4.00
784,4.00
785,4.00
786,4.00
787,4.00
788,4.00
789,4.00
790,4.00
791,4.00
792,4.00
793,4.00
794,4.00
795,4.00
796,4.00
797,5.00
798,5.00
799,5.00
800,5.00
801,5.00
802,4.00
803,4.00
804,6.00
805,6.00
806,6.00
807,6.00
808,6.00
809,6.00
810,6.00
811,5.00
812,5.00
813,5.00
814,5.00
815,5.00
816,5.00
817,5.00
818,5.00
819,5.00
820,5.00
821,5.00
822,5.00
823,5.00
824,5.00
825,5.00
826,5.00
827,5.00
828,5.00
829,5.00
830,5.00
831,5.00
832,5.00
833,5.00
834,5.00
835,5.00
836,5.00
837,5.00
838,5.00
839,5.00
840,5.00
841,5.00
842,5.00
843,5.00
844,5.00
845,5.00
846,5.00
847,5.00
848,5.00
849,5.00
850,5.00
851,5.00
852,5.00
853,5.00
854,5.00
855,5.00
856,5.00
857,5.00
858,5.00
859,5.00
860,5.00
861,5.00
862,5.00
863,5.00
864,5.00
865,5.00
866,5.00
867,4.00
868,4.00
869,4.00
870,4.00
871,4.00
872,4.00
873,4.00
874,4.00
875,4.00
876,4.00
877,4.00
878,4.00
879,4.00
880,4.00
881,4.00
882,4.00
883,4.00
884,4.00
885,4.00
886,4.00
887,4.00
888,4.00
889,4.00
890,4.00
891,4.00
892,4.00
893,4.00
894,4.00
895,4.00
896,4.00
897,4.00
898,4.00
899,4.00
900,4.00
901,4.00
902,4.00
903,4.00
904,4.00
905,4.00
906,4.00
907,4.00
908,4.00
909,4.00
910,4.00
911,4.00
912,4.00
913,4.00
914,4.00
915,4.00
916,4.00
917,4.00
918,4.00
919,4.00
920,5.00
921,5.00
922,5.00
923,5.00
924,5.00
925,5.00
926,5.00
927,5.00
928,5.00
929,5.00
930,5.00
931,5.00
932,5.00
933,5.00
934,5.00
935,5.00
936,5.00
937,5.00
938,5.00
939,5.00
940,5.00
941,5.00
942,5.00
943,4.00
944,4.00
945,4.00
946,4.00
947,4.00
948,4.00
949,4.00
950,2.00
951,2.00
952,2.00
953,2.00
954,2.00
955,2.00
956,2.00
957,2.00
958,2.00
959,2.00
960,2.00
961,2.00
962,2.00
963,2.00
964,2.00
965,2.00
966,2.00
967,2.00
968,2.00
969,2.00
970,2.00
971,2.00
972,2.00
973,2.00
974,2.00
975,2.00
976,2.00
977,2.00
978,2.00
979,2.00
980,2.00
981,2.00
982,2.00
983,2.00
984,2.00
985,2.00
986,2.00
987,2.00
988,2.00
989,2.00
990,2.00
991,2.00
992,2.00
993,2.00
994,2.00
995,2.00
996,2.00
997,2.00
998,2.00
999,2.00
1000,2.00
1001,2.00
1002,2.00
1003,2.00
1004,3.00
1005,3.00
1006,3.00
1007,3.00
1008,3.00
1009,3.00
1010,3.00
1011,3.00
1012,3.00
1013,3.00
1014,3.00
1015,3.00
1016,3.00
1017,3.00
1018,3.00
1019,5.00
1020,5.00
1021,5.00
1022,7.00
1023,7.00
1024,7.00
1025,7.00
1026,7.00
1027,7.00
1028,7.00
1029,7.00
1030,7.00
1031,7.00
1032,7.00
1033,7.00
1034,7.00
1035,7.00
1036,7.00
1037,7.00
1038,7.00
1039,7.00
1040,7.00
1041,7.00
1042,7.00
1043,7.00
1044,7.00
1045,7.00
1046,7.00
1047,7.00
1048,6.00
1049,6.00
1050,6.00
1051,6.00
1052,6.00
1053,6.00
1054,6.00
1055,6.00
1056,7.00
1057,7.00
1058,7.00
1059,7.00
1060,7.00
1061,7.00
1062,7.00
1063,7.00
1064,7.00
1065,7.00
1066,6.00
1067,6.00
1068,6.00
1069,6.00
1070,6.00
1071,6.00
1072,6.00
1073,6.00
1074,6.00
1075,6.00
1076,6.00
1077,6.00
1078,6.00
1079,6.00
1080,6.00
1081,6.00
1082,6.00
1083,6.00
1084,6.00
1085,6.00
1086,6.00
1087,6.00
1088,6.00
1089,6.00
1090,6.00
1091,6.00
1092,6.00
1093,6.00
1094,6.00
1095,6.00
1096,6.00
1097,6.00
1098,6.00
1099,6.00
1100,6.00
1101,6.00
1102,6.00
1103,6.00
1104,6.00
1105,6.00
1106,6.00
1107,6.00
1108,6.00
1109,6.00
1110,6.00
1111,6.00
1112,6.00
1113,6.00
1114,6.00
1115,6.00
1116,6.00
1117,6.00
1118,6.00
1119,6.00
1120,6.00
1121,6.00
1122,6.00
1123,6.00
1124,6.00
1125,6.00
1126,6.00
1127,6.00
1128,6.00
1129,6.00
1130,6.00
1131,6.00
1132,6.00
1133,6.00
