pointer,OQ818323,OQ818324,OQ818325,OQ818328,OQ818346,OQ818329,OQ818345,OQ818347
5280,-1,-1,-1,-1,-1,-1,-1,-1
5300,0,0,3,2,4,4,3,47
5320,0,0,6,2,1,7,1,54
5340,0,0,1,8,3,5,1,66
5360,0,2,0,3,0,3,0,73
5380,0,0,0,1,1,2,0,71
5400,0,1,0,0,0,2,0,71
5420,0,1,0,0,0,6,1,68
5440,0,1,0,0,0,8,0,62
5460,0,0,0,0,0,0,0,80
5480,0,0,0,0,0,2,0,85
5500,0,0,0,0,0,1,1,88
5520,0,0,0,0,0,0,5,82
5540,0,0,0,0,0,0,0,87
5560,0,0,0,0,0,0,9,89
5580,0,0,0,0,0,0,2,98
5600,0,0,0,0,0,0,6,94
5620,0,0,0,0,0,0,2,97
5640,0,0,0,0,0,0,3,97
5660,0,0,0,0,0,0,7,93
5680,0,0,0,0,0,0,5,95
5700,0,0,0,0,0,0,7,93
5720,0,0,0,0,0,0,2,98
5740,0,0,0,0,0,0,7,93
5760,0,0,0,0,0,0,24,74
5780,0,0,0,0,0,0,72,15
5800,0,0,0,0,0,0,48,13
5820,0,0,0,0,0,0,66,1
5840,0,0,0,0,0,0,59,1
5860,0,0,0,0,0,0,50,4
5880,0,0,0,0,0,0,39,2
5900,0,0,0,0,0,0,23,18
5920,0,0,0,0,0,0,23,39
5940,0,0,0,0,0,1,20,49
5960,0,0,0,0,0,2,3,77
5980,0,0,0,0,0,1,0,94
6000,0,0,0,0,0,0,0,100
6020,0,0,0,0,0,0,0,95
6040,0,0,0,0,0,0,0,99
6060,0,0,0,0,0,0,0,97
6080,0,0,0,0,0,1,0,96
6100,0,0,0,0,0,0,1,97
6120,0,0,0,0,0,0,0,70
6140,0,0,0,0,0,0,2,73
6160,0,0,0,0,0,0,1,53
6180,0,0,0,0,0,0,0,61
6200,0,0,0,0,0,0,0,62
6220,0,0,0,0,1,4,0,65
6240,0,0,0,1,0,6,9,47
6260,0,0,0,0,1,41,4,23
6280,0,0,0,0,0,55,2,20
6300,0,0,0,0,0,51,4,17
6320,1,0,0,0,0,51,3,24
6340,0,0,0,0,0,42,0,35
6360,1,1,0,0,1,28,0,54
6380,3,1,0,0,0,20,0,29
6400,5,4,1,0,0,37,0,19
6420,2,3,0,0,0,48,0,12
6440,5,5,0,0,0,48,1,11
6460,8,3,0,0,0,18,0,25
6480,5,7,0,0,0,7,0,42
6500,10,0,1,0,0,11,0,28
6520,1,2,0,0,0,6,0,42
6540,0,0,0,0,0,7,1,32
6560,0,0,0,0,2,7,0,41
6580,0,0,0,0,2,9,1,48
6600,0,0,0,0,0,8,1,42
