Position,Coverage,rPM
1,1,0.061915671
2,1,0.061915671
3,1,0.061915671
4,1,0.061915671
5,1,0.061915671
6,1,0.061915671
7,1,0.061915671
8,1,0.061915671
9,1,0.061915671
10,1,0.061915671
11,1,0.061915671
12,4,0.247662683
13,4,0.247662683
14,4,0.247662683
15,4,0.247662683
16,4,0.247662683
17,4,0.247662683
18,4,0.247662683
19,4,0.247662683
20,4,0.247662683
21,4,0.247662683
22,4,0.247662683
23,4,0.247662683
24,4,0.247662683
25,4,0.247662683
26,4,0.247662683
27,4,0.247662683
28,4,0.247662683
29,4,0.247662683
30,4,0.247662683
31,4,0.247662683
32,4,0.247662683
33,4,0.247662683
34,4,0.247662683
35,4,0.247662683
36,4,0.247662683
37,4,0.247662683
38,4,0.247662683
39,4,0.247662683
40,4,0.247662683
41,4,0.247662683
42,4,0.247662683
43,4,0.247662683
44,4,0.247662683
45,4,0.247662683
46,4,0.247662683
47,4,0.247662683
48,4,0.247662683
49,4,0.247662683
50,4,0.247662683
51,4,0.247662683
52,4,0.247662683
53,4,0.247662683
54,4,0.247662683
55,4,0.247662683
56,4,0.247662683
57,4,0.247662683
58,4,0.247662683
59,4,0.247662683
60,4,0.247662683
61,4,0.247662683
62,4,0.247662683
63,4,0.247662683
64,4,0.247662683
65,4,0.247662683
66,4,0.247662683
67,4,0.247662683
68,4,0.247662683
69,4,0.247662683
70,4,0.247662683
71,4,0.247662683
72,5,0.309578354
73,5,0.309578354
74,5,0.309578354
75,5,0.309578354
76,5,0.309578354
77,5,0.309578354
78,5,0.309578354
79,5,0.309578354
80,5,0.309578354
81,5,0.309578354
82,5,0.309578354
83,5,0.309578354
84,5,0.309578354
85,5,0.309578354
86,5,0.309578354
87,5,0.309578354
88,5,0.309578354
89,5,0.309578354
90,5,0.309578354
91,5,0.309578354
92,5,0.309578354
93,5,0.309578354
94,5,0.309578354
95,5,0.309578354
96,5,0.309578354
97,5,0.309578354
98,5,0.309578354
99,5,0.309578354
100,5,0.309578354
101,5,0.309578354
102,5,0.309578354
103,6,0.371494025
104,6,0.371494025
105,6,0.371494025
106,6,0.371494025
107,6,0.371494025
108,6,0.371494025
109,6,0.371494025
110,6,0.371494025
111,6,0.371494025
112,6,0.371494025
113,8,0.495325367
114,8,0.495325367
115,8,0.495325367
116,8,0.495325367
117,8,0.495325367
118,8,0.495325367
119,8,0.495325367
120,8,0.495325367
121,8,0.495325367
122,8,0.495325367
123,8,0.495325367
124,8,0.495325367
125,8,0.495325367
126,8,0.495325367
127,8,0.495325367
128,8,0.495325367
129,8,0.495325367
130,8,0.495325367
131,8,0.495325367
132,8,0.495325367
133,8,0.495325367
134,8,0.495325367
135,8,0.495325367
136,8,0.495325367
137,8,0.495325367
138,8,0.495325367
139,8,0.495325367
140,8,0.495325367
141,8,0.495325367
142,8,0.495325367
143,8,0.495325367
144,8,0.495325367
145,8,0.495325367
146,8,0.495325367
147,7,0.433409696
148,7,0.433409696
149,7,0.433409696
150,7,0.433409696
151,7,0.433409696
152,7,0.433409696
153,7,0.433409696
154,7,0.433409696
155,7,0.433409696
156,7,0.433409696
157,7,0.433409696
158,4,0.247662683
159,4,0.247662683
160,4,0.247662683
161,4,0.247662683
162,4,0.247662683
163,4,0.247662683
164,4,0.247662683
165,4,0.247662683
166,4,0.247662683
167,4,0.247662683
168,4,0.247662683
169,4,0.247662683
170,4,0.247662683
171,4,0.247662683
172,4,0.247662683
173,4,0.247662683
174,4,0.247662683
175,4,0.247662683
176,4,0.247662683
177,5,0.309578354
178,5,0.309578354
179,5,0.309578354
180,5,0.309578354
181,5,0.309578354
182,5,0.309578354
183,5,0.309578354
184,5,0.309578354
185,5,0.309578354
186,5,0.309578354
187,5,0.309578354
188,5,0.309578354
189,5,0.309578354
190,8,0.495325367
191,8,0.495325367
192,8,0.495325367
193,8,0.495325367
194,8,0.495325367
195,8,0.495325367
196,8,0.495325367
197,8,0.495325367
198,8,0.495325367
199,8,0.495325367
200,8,0.495325367
201,8,0.495325367
202,8,0.495325367
203,8,0.495325367
204,8,0.495325367
205,8,0.495325367
206,8,0.495325367
207,8,0.495325367
208,8,0.495325367
209,8,0.495325367
210,8,0.495325367
211,8,0.495325367
212,8,0.495325367
213,8,0.495325367
214,8,0.495325367
215,8,0.495325367
216,8,0.495325367
217,8,0.495325367
218,7,0.433409696
219,7,0.433409696
220,7,0.433409696
221,7,0.433409696
222,7,0.433409696
223,7,0.433409696
224,7,0.433409696
225,7,0.433409696
226,7,0.433409696
227,7,0.433409696
228,7,0.433409696
229,7,0.433409696
230,7,0.433409696
231,7,0.433409696
232,7,0.433409696
233,7,0.433409696
234,7,0.433409696
235,7,0.433409696
236,7,0.433409696
237,7,0.433409696
238,7,0.433409696
239,7,0.433409696
240,7,0.433409696
241,7,0.433409696
242,7,0.433409696
243,7,0.433409696
244,7,0.433409696
245,7,0.433409696
246,7,0.433409696
247,7,0.433409696
248,7,0.433409696
249,6,0.371494025
250,6,0.371494025
251,6,0.371494025
252,6,0.371494025
253,6,0.371494025
254,6,0.371494025
255,6,0.371494025
256,6,0.371494025
257,6,0.371494025
258,6,0.371494025
259,4,0.247662683
260,4,0.247662683
261,4,0.247662683
262,4,0.247662683
263,4,0.247662683
264,4,0.247662683
265,4,0.247662683
266,4,0.247662683
267,4,0.247662683
268,4,0.247662683
269,4,0.247662683
270,4,0.247662683
271,4,0.247662683
272,4,0.247662683
273,4,0.247662683
274,4,0.247662683
275,4,0.247662683
276,4,0.247662683
277,4,0.247662683
278,4,0.247662683
279,4,0.247662683
280,4,0.247662683
281,4,0.247662683
282,4,0.247662683
283,4,0.247662683
284,4,0.247662683
285,4,0.247662683
286,5,0.309578354
287,5,0.309578354
288,5,0.309578354
289,5,0.309578354
290,5,0.309578354
291,5,0.309578354
292,5,0.309578354
293,5,0.309578354
294,5,0.309578354
295,5,0.309578354
296,5,0.309578354
297,5,0.309578354
298,5,0.309578354
299,5,0.309578354
300,5,0.309578354
301,5,0.309578354
302,5,0.309578354
303,5,0.309578354
