FileName: D:\sapelo_bootscan_align_nt.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","OQ818321","OQ818321"
"Ref","OQ818320","OQ818320"
"Query","OQ818329"
"Ref","NC_003987.1","NC_003987.1"
"Ref","NC_033820.1","NC_033820.1"
"Ref","Pteropodidae_bat_sapelovirus","Pteropodidae_bat_sapelovirus"


"CenterPos","OQ818321","OQ818320","NC_003987.1","NC_033820.1","Pteropodidae_bat_sapelovirus"
"100","-1","-1","-1","-1","-1"
"120","-1","-1","-1","-1","-1"
"140","-1","-1","-1","-1","-1"
"160","-1","-1","-1","-1","-1"
"180","-1","-1","-1","-1","-1"
"200","-1","-1","-1","-1","-1"
"220","-1","-1","-1","-1","-1"
"240","-1","-1","-1","-1","-1"
"260","5","0","31","0","37"
"280","5","0","45","0","19"
"300","12","0","32","0","18"
"320","10","0","43","0","16"
"340","18","0","2","0","2"
"360","15","0","1","0","4"
"380","2","0","0","0","4"
"400","0","0","4","0","10"
"420","0","0","4","0","3"
"440","4","0","7","0","5"
"460","33","0","2","0","7"
"480","18","0","0","0","18"
"500","4","0","0","0","46"
"520","0","0","0","0","83"
"540","0","0","0","0","96"
"560","0","0","0","0","100"
"580","0","0","0","0","98"
"600","0","0","0","0","89"
"620","0","0","0","0","98"
"640","0","0","0","0","99"
"660","0","0","0","0","98"
"680","0","0","0","0","96"
"700","0","0","1","0","96"
"720","0","0","1","0","86"
"740","0","0","1","0","93"
"760","0","0","1","0","78"
"780","0","0","1","0","86"
"800","0","0","2","0","90"
"820","0","0","0","0","98"
"840","0","0","2","0","93"
"860","0","0","2","0","96"
"880","0","0","0","0","99"
"900","0","0","7","0","91"
"920","1","0","5","0","90"
"940","3","0","1","0","89"
"960","1","0","3","0","92"
"980","7","0","3","0","78"
"1000","19","0","4","0","70"
"1020","40","0","4","0","40"
"1040","35","0","3","0","52"
"1060","50","0","4","0","24"
"1080","46","0","10","0","13"
"1100","37","0","0","0","53"
"1120","17","0","2","0","71"
"1140","16","0","3","0","62"
"1160","19","0","3","0","69"
"1180","16","0","3","0","62"
"1200","10","0","2","0","75"
"1220","5","0","5","0","86"
"1240","4","0","2","0","86"
"1260","2","0","6","0","86"
"1280","24","0","1","0","71"
"1300","41","0","1","0","40"
"1320","46","0","7","0","30"
"1340","61","0","10","0","21"
"1360","41","0","5","0","14"
"1380","43","0","3","0","44"
"1400","46","0","14","0","28"
"1420","19","0","39","0","29"
"1440","15","0","44","0","26"
"1460","3","0","38","0","10"
"1480","2","0","34","0","52"
"1500","1","0","15","0","76"
"1520","0","0","28","0","67"
"1540","0","0","3","0","96"
"1560","0","0","0","0","100"
"1580","0","0","0","0","100"
"1600","0","0","0","0","100"
"1620","0","0","0","0","100"
"1640","0","0","0","0","100"
"1660","0","0","0","0","100"
"1680","0","0","0","0","100"
"1700","0","0","3","0","97"
"1720","0","0","0","0","100"
"1740","0","0","4","0","94"
"1760","0","0","26","0","64"
"1780","0","0","27","0","70"
"1800","0","0","25","0","62"
"1820","0","0","53","0","43"
"1840","0","0","48","0","47"
"1860","0","0","16","0","76"
"1880","0","0","9","0","80"
"1900","0","0","6","0","67"
"1920","0","0","4","0","94"
"1940","0","0","0","0","99"
"1960","0","0","0","0","99"
"1980","0","0","0","0","94"
"2000","0","0","2","0","93"
"2020","0","0","3","0","93"
"2040","0","0","0","0","97"
"2060","1","0","2","0","84"
"2080","1","0","1","0","93"
"2100","1","0","1","0","91"
"2120","3","0","2","0","64"
"2140","10","0","2","0","62"
"2160","15","0","11","0","50"
"2180","15","0","3","0","68"
"2200","20","0","0","0","58"
"2220","15","0","4","0","47"
"2240","29","0","7","0","31"
"2260","3","0","26","0","38"
"2280","2","0","66","0","10"
"2300","0","0","63","0","28"
"2320","0","0","67","0","24"
"2340","0","0","58","0","20"
"2360","0","0","35","0","50"
"2380","0","0","11","0","56"
"2400","1","0","20","0","36"
"2420","2","0","9","0","45"
"2440","8","0","18","0","37"
"2460","3","0","5","0","78"
"2480","11","0","0","0","73"
"2500","14","0","4","0","49"
"2520","8","0","0","0","54"
"2540","4","0","0","0","86"
"2560","5","0","1","0","54"
"2580","13","0","0","0","72"
"2600","2","0","0","0","93"
"2620","4","0","2","0","90"
"2640","1","0","4","0","89"
"2660","0","0","8","0","81"
"2680","0","0","9","0","75"
"2700","0","0","8","0","75"
"2720","2","0","15","0","53"
"2740","5","0","17","0","55"
"2760","0","0","14","0","79"
"2780","0","0","30","0","69"
"2800","0","0","16","0","80"
"2820","1","0","3","0","89"
"2840","1","0","4","0","90"
"2860","2","0","3","0","86"
"2880","0","0","2","0","91"
"2900","0","0","1","0","90"
"2920","0","0","1","0","98"
"2940","0","0","0","0","98"
"2960","0","0","0","0","83"
"2980","0","0","0","0","93"
"3000","0","0","0","0","84"
"3020","0","0","3","0","76"
"3040","0","0","6","0","81"
"3060","0","0","6","0","90"
"3080","0","0","2","0","83"
"3100","0","0","5","0","87"
"3120","0","0","12","0","61"
"3140","0","0","1","0","82"
"3160","0","0","6","0","82"
"3180","0","0","6","0","89"
"3200","0","0","5","0","92"
"3220","0","0","4","0","94"
"3240","0","0","1","0","97"
"3260","0","0","6","0","93"
"3280","0","0","3","0","97"
"3300","0","0","5","0","94"
"3320","0","0","0","0","100"
"3340","0","0","1","0","99"
"3360","0","0","0","0","100"
"3380","0","0","0","0","100"
"3400","0","0","0","0","100"
"3420","0","0","0","0","100"
"3440","0","0","0","0","100"
"3460","0","0","0","0","99"
"3480","0","0","2","0","98"
"3500","0","0","1","0","98"
"3520","0","0","3","0","97"
"3540","0","0","1","0","99"
"3560","0","0","0","0","100"
"3580","0","0","0","0","100"
"3600","0","0","2","0","98"
"3620","0","0","3","0","96"
"3640","0","0","5","0","89"
"3660","0","0","0","0","94"
"3680","0","0","0","0","98"
"3700","0","0","1","0","98"
"3720","0","0","1","0","97"
"3740","0","0","0","0","99"
"3760","0","0","0","0","92"
"3780","0","0","0","0","81"
"3800","0","0","0","0","93"
