molecule,from,to,gene,type
Bat picornavirus,1309,1957,VP2,all
Bat picornavirus,1958,2654,VP3,all
Bat picornavirus,2655,3652,VP1,all
Bat picornavirus,3653,4366,2A,all
Bat picornavirus,4367,4725,2B,all
Bat picornavirus,4367,4725,2C,all
Bat picornavirus,5724,6149,3A,all
Bat picornavirus,6150,6218,3B,all
Bat picornavirus,6219,6771,3C,all
Bat picornavirus,6772,7930,3D,all
Hepatovirus,818,896,VP4,all
Hepatovirus,897,1563,VP2,all
Hepatovirus,1564,2319,VP3,all
Hepatovirus,2320,3256,VP1,all
Hepatovirus,3257,4068,2A,all
Hepatovirus,4069,4418,2B,all
Hepatovirus,4419,5447,2C,all
Hepatovirus,5448,5772,3A,all
Hepatovirus,5773,5844,3B,all
Hepatovirus,5845,6362,3C,all
Mischivirus,1598,1829,L,all
Mischivirus,1830,2061,VP4,all
Mischivirus,2061,2887,VP2,all
Mischivirus,2924,3599,VP3,all
Mischivirus,3603,4494,VP1,all
Mischivirus,4544,4695,2A,all
Mischivirus,4696,5196,2B,all
Mischivirus,5197,6372,2C,all
Mischivirus,6397,6558,3A,all
Mischivirus,6623,6859,3B,all
Mischivirus,6869,7444,3C,all
Mischivirus,7445,8815,3D,all
Sapelovirus,1300,1712,VP2,all
Sapelovirus,1713,2418,VP3,all
Sapelovirus,2425,3403,VP1,all
Sapelovirus,3414,4240,2A,all
Sapelovirus,4241,4666,2B,all
Sapelovirus,4667,5711,2C,all
Sapelovirus,5712,6066,3A,all
Sapelovirus,6067,6142,3B,all
Sapelovirus,6143,6689,3C,all
Sapelovirus,6690,8084,3D,all
Teschovirus,4389,4953,2C,all
Teschovirus,4954,5263,3A,all
Teschovirus,5273,5338,3B,all
Teschovirus,5345,5959,3C,all
Teschovirus,5960,7393,3D,all
Hepatovirus,796,870,VP4,full
Hepatovirus,871,1536,VP2,full
Hepatovirus,1537,2280,VP3,full
Hepatovirus,2281,2874,VP1,full
Hepatovirus,2875,3115,2A,full
Hepatovirus,3131,3410,2B,full
Hepatovirus,3411,4637,2C,full
Hepatovirus,4467,4832,3A,full
Hepatovirus,4833,4913,3B,full
Hepatovirus,4920,5399,3C,full
Hepatovirus,5403,6168,3D,full
Kunsagivirus,1088,1466,L,full
Kunsagivirus,1473,3292,VP0,full
Kunsagivirus,3308,3723,VP3,full
Kunsagivirus,3736,4546,VP1,full
Kunsagivirus,4566,5318,2A,full
Kunsagivirus,5361,5848,2B,full
Kunsagivirus,5849,6441,2C,full
Kunsagivirus,6442,6682,3A,full
Kunsagivirus,6683,6742,3B,full
Kunsagivirus,6743,7330,3C,full
Kunsagivirus,7331,8705,3D,full
Mischivirus,1510,1837,L,full
Mischivirus,1838,2069,VP4,full
Mischivirus,2070,2888,VP2,full
Mischivirus,2925,3593,VP3,full
Mischivirus,3597,4510,VP1,full
Mischivirus,4572,4708,2A,full
Mischivirus,4709,5209,2B,full
Mischivirus,5210,6374,2C,full
Mischivirus,6390,6589,3A,full
Mischivirus,6652,6884,3B,full
Mischivirus,6894,7460,3C,full
Mischivirus,7470,8835,3D,full
Sapelovirus,255,789,L,full
Sapelovirus,793,939,VP4,full
Sapelovirus,946,1718,VP2,full
Sapelovirus,1719,2425,VP3,full
Sapelovirus,2432,3378,VP1,full
Sapelovirus,3416,4245,2A,full
Sapelovirus,4246,4602,2B,full
Sapelovirus,4603,5640,2C,full
Sapelovirus,5641,5943,3A,full
Sapelovirus,5954,6022,3B,full
Sapelovirus,6023,6578,3C,full
Sapelovirus,6579,7968,3D,full
