pointer,OP287812
49,36.0
50,37.0
51,38.0
52,39.0
53,40.0
54,41.0
55,42.0
56,43.0
57,44.0
58,45.0
59,46.0
60,47.0
61,48.0
62,49.0
63,50.0
64,51.0
65,52.0
66,53.0
67,54.0
68,55.00000000000001
69,56.00000000000001
70,56.99999999999999
71,57.99999999999999
72,59.0
73,60.0
74,61.0
75,62.0
76,63.0
77,64.0
78,65.0
79,66.0
80,67.0
81,68.0
82,69.0
83,70.0
84,71.0
85,72.0
86,73.0
87,74.0
88,75.0
89,76.0
90,77.0
91,78.0
92,79.0
93,80.0
94,81.0
95,82.0
96,83.0
97,84.0
98,85.0
99,86.0
100,87.0
101,88.0
102,89.0
103,90.0
104,91.0
105,92.0
106,93.0
107,94.0
108,95.0
109,96.0
110,97.0
111,98.0
112,99.0
113,100.0
114,100.0
115,100.0
116,100.0
117,100.0
118,100.0
119,100.0
120,100.0
121,100.0
122,100.0
123,100.0
124,100.0
125,100.0
126,100.0
127,100.0
128,99.0
129,99.0
130,99.0
131,99.0
132,99.0
133,99.0
134,99.0
135,99.0
136,99.0
137,99.0
138,99.0
139,99.0
140,99.0
141,99.0
142,99.0
143,99.0
144,99.0
145,99.0
146,99.0
147,99.0
148,99.0
149,99.0
150,99.0
151,99.0
152,99.0
153,99.0
154,99.0
155,99.0
156,99.0
157,99.0
158,99.0
159,99.0
160,99.0
161,99.0
162,99.0
163,99.0
164,99.0
165,99.0
166,99.0
167,99.0
168,99.0
169,99.0
170,99.0
171,99.0
172,99.0
173,98.0
174,98.0
175,98.0
176,98.0
177,98.0
178,98.0
179,98.0
180,98.0
181,98.0
182,98.0
183,98.0
184,98.0
185,98.0
186,98.0
187,98.0
188,98.0
189,98.0
190,98.0
191,98.0
192,98.0
193,98.0
194,98.0
195,98.0
196,98.0
197,98.0
198,98.0
199,98.0
200,98.0
201,98.0
202,98.0
203,98.0
204,98.0
205,98.0
206,98.0
207,98.0
208,98.0
209,98.0
210,98.0
211,98.0
212,98.0
213,98.0
214,98.0
215,98.0
216,98.0
217,98.0
218,98.0
219,98.0
220,98.0
221,98.0
222,98.0
223,98.0
224,98.0
225,98.0
226,98.0
227,98.0
228,99.0
229,99.0
230,99.0
231,99.0
232,99.0
233,99.0
234,99.0
235,99.0
236,99.0
237,99.0
238,99.0
239,99.0
240,99.0
241,99.0
242,99.0
243,99.0
244,99.0
245,99.0
246,99.0
247,99.0
248,99.0
249,99.0
250,99.0
251,99.0
252,99.0
253,99.0
254,99.0
255,99.0
256,99.0
257,99.0
258,99.0
259,99.0
260,99.0
261,99.0
262,99.0
263,99.0
264,99.0
265,99.0
266,99.0
267,99.0
268,99.0
269,99.0
270,99.0
271,99.0
272,99.0
273,100.0
274,100.0
275,100.0
276,100.0
277,100.0
278,100.0
279,100.0
280,100.0
281,100.0
282,100.0
283,100.0
284,100.0
285,100.0
286,100.0
287,100.0
288,100.0
289,100.0
290,100.0
291,100.0
292,100.0
293,100.0
294,100.0
295,100.0
296,100.0
297,100.0
298,100.0
299,100.0
300,100.0
301,100.0
302,100.0
303,100.0
304,100.0
305,100.0
306,100.0
307,100.0
308,100.0
309,100.0
310,100.0
311,100.0
312,100.0
313,100.0
314,100.0
315,100.0
316,100.0
317,100.0
318,100.0
319,100.0
320,100.0
321,100.0
322,100.0
323,100.0
324,100.0
325,100.0
326,100.0
327,100.0
328,100.0
329,100.0
330,100.0
331,100.0
332,100.0
333,100.0
334,100.0
335,100.0
336,100.0
337,100.0
338,100.0
339,100.0
340,100.0
341,100.0
342,100.0
343,100.0
344,100.0
345,100.0
346,100.0
347,100.0
348,100.0
349,100.0
350,100.0
351,100.0
352,100.0
353,100.0
354,100.0
355,100.0
356,100.0
357,100.0
358,100.0
359,100.0
360,100.0
361,100.0
362,100.0
363,100.0
364,100.0
365,100.0
366,100.0
367,100.0
368,100.0
369,100.0
370,100.0
371,100.0
372,100.0
373,100.0
374,100.0
375,100.0
376,100.0
377,100.0
