pointer,AY644670,KT819575,KT452729,NC_038316,NC_028366,NC_038313,NC_038314
100,-1,-1,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1,-1,-1
180,-1,-1,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1,-1,-1
220,0,0,0,0,2,0,1
240,0,0,1,0,0,2,0
260,0,0,0,0,1,3,0
280,0,0,0,0,1,9,4
300,0,0,0,0,3,14,0
320,0,0,0,0,21,7,0
340,0,0,0,0,40,15,1
360,0,0,0,0,67,7,2
380,0,0,0,0,85,4,2
400,0,0,0,0,88,7,1
420,0,0,0,0,93,3,1
440,0,0,0,0,100,0,0
460,0,0,0,0,99,1,0
480,0,0,0,0,99,1,0
500,0,0,0,0,100,0,0
520,0,0,0,0,90,7,0
540,0,0,0,0,90,9,0
560,0,0,0,0,92,5,0
580,0,0,0,0,88,7,0
600,0,0,0,0,92,2,0
620,0,0,0,0,92,3,0
640,0,0,0,0,96,2,0
660,0,0,0,0,98,2,0
680,0,0,0,0,91,2,0
700,0,0,0,0,89,4,0
720,0,0,0,0,99,0,0
740,0,0,0,0,99,1,0
760,0,0,0,0,90,2,0
780,0,0,2,0,69,11,2
800,0,0,17,2,25,3,1
820,0,0,8,11,14,17,3
840,0,0,6,0,85,2,0
860,0,0,1,0,87,9,0
880,0,0,1,0,84,10,1
900,0,0,0,0,95,5,0
920,0,0,0,0,94,5,0
940,0,0,0,0,93,5,0
960,0,0,0,0,94,3,0
980,0,0,0,0,99,0,0
1000,0,0,0,0,99,0,0
1020,0,0,0,0,100,0,0
1040,0,0,0,0,93,2,0
1060,0,0,0,0,92,0,1
1080,0,0,0,0,81,0,0
1100,0,0,0,2,33,1,1
1120,0,0,0,7,54,0,0
1140,0,0,1,3,49,0,0
1160,0,0,0,0,71,0,0
1180,0,0,0,0,66,0,1
1200,0,0,0,1,51,0,1
1220,1,0,0,3,47,0,3
1240,0,0,3,3,37,0,1
1260,0,0,1,5,49,0,2
1280,0,0,3,9,31,1,8
1300,0,0,6,4,44,0,13
1320,0,0,10,2,31,1,5
1340,0,0,7,2,21,2,14
1360,0,0,10,6,2,2,26
1380,0,0,2,9,2,1,46
1400,0,0,4,8,5,4,28
1420,0,2,1,0,10,2,44
