accession,Position,Coverage,rPM,virus,species,type
OQ818318,1,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,2,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,3,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,4,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,5,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,6,1,0.030433989,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,7,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,8,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,9,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,10,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,11,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,12,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,13,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,14,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,15,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,16,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,17,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,18,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,19,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,20,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,21,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,22,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,23,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,24,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,25,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,26,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,27,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
OQ818318,28,2,0.060867977,Eidolon dupreanum teschovirus 1,Eidolon dupreanum,full
