pointer,OQ818341,KX644943
49,0,66
50,0,67
51,0,68
52,0,68
53,0,69
54,0,70
55,0,71
56,0,72
57,0,72
58,0,72
59,0,73
60,0,74
61,0,75
62,0,75
63,0,75
64,0,75
65,0,76
66,0,77
67,0,78
68,0,79
69,0,78
70,0,78
71,0,79
72,0,79
73,0,79
74,0,79
75,0,79
76,0,78
77,0,79
78,0,78
79,0,79
80,0,79
81,0,79
82,0,79
83,0,79
84,0,79
85,0,79
86,0,79
87,0,79
88,0,79
89,0,79
90,0,79
91,0,78
92,0,78
93,0,78
94,0,78
95,0,79
96,0,80
97,0,81
98,0,81
99,0,81
100,0,81
101,0,82
102,0,82
103,0,81
104,0,81
105,0,81
106,0,81
107,0,81
108,0,82
109,0,82
110,0,82
111,0,82
112,0,83
113,0,83
114,0,83
115,0,83
116,0,83
117,0,83
118,0,83
119,0,84
120,0,84
121,0,83
122,0,83
123,0,84
124,0,84
125,0,84
126,0,83
127,0,84
128,0,84
129,0,84
130,0,84
131,0,84
132,0,84
133,0,84
134,0,83
135,0,83
136,0,82
137,0,81
138,0,82
139,0,82
140,0,82
141,0,81
142,0,80
143,0,80
144,0,79
145,0,79
146,0,79
147,0,78
148,0,77
149,0,78
150,0,78
151,0,78
152,0,78
153,0,78
154,0,77
155,0,77
156,0,77
157,0,76
158,0,76
159,0,76
160,0,76
161,0,76
162,0,77
163,0,78
164,0,79
165,0,78
166,0,77
167,0,77
168,0,77
169,0,78
170,0,78
171,0,78
172,0,78
173,0,78
174,0,78
175,0,77
176,0,78
177,0,78
178,0,78
179,0,77
180,0,77
181,0,77
182,0,77
183,0,77
184,0,77
185,0,77
186,0,76
187,0,76
188,0,76
189,0,76
190,0,76
191,0,76
192,0,76
193,0,75
194,0,75
195,0,75
196,0,75
197,0,74
198,0,74
199,0,73
200,0,72
201,0,71
202,0,70
203,0,71
204,0,70
205,0,69
206,0,69
207,0,69
208,0,69
209,0,68
210,0,69
211,0,69
212,0,69
213,0,70
214,0,70
215,0,69
216,0,69
217,0,69
218,0,68
219,0,68
220,0,67
221,0,68
222,0,68
223,0,68
224,0,68
225,0,68
226,0,69
227,0,69
228,0,69
229,0,69
230,0,69
231,0,69
232,0,69
233,0,69
234,0,70
235,0,70
236,0,70
237,0,71
238,0,71
239,0,71
240,0,70
241,0,71
242,0,72
243,0,72
244,0,73
245,0,73
246,0,73
247,0,73
248,0,74
249,0,73
250,0,73
251,0,73
252,0,73
253,0,73
254,0,74
255,0,74
256,0,74
257,0,75
258,0,75
259,0,75
260,0,75
261,0,75
262,0,75
263,0,74
264,0,73
265,0,74
266,0,75
267,0,74
268,0,74
269,0,73
270,0,73
271,0,73
272,0,73
273,0,73
274,0,74
275,0,75
276,0,75
277,0,75
278,0,76
279,0,77
280,0,77
281,0,77
282,0,77
283,0,76
284,0,76
285,0,76
286,0,77
287,0,77
288,0,77
289,0,76
290,0,76
291,0,77
292,0,77
293,0,78
294,0,78
295,0,78
296,0,78
297,0,79
298,0,79
299,0,79
300,0,80
301,0,81
302,0,82
303,0,82
304,0,83
305,0,83
306,0,83
307,0,83
308,0,82
309,0,83
310,0,83
311,0,83
312,0,83
313,0,83
314,0,83
315,0,84
316,0,84
317,0,84
318,0,85
319,0,85
320,0,86
321,0,86
322,0,86
323,0,86
324,0,86
325,0,86
326,0,85
327,0,85
328,0,85
329,0,84
330,0,84
331,0,83
332,0,82
333,0,81
334,0,80
335,0,79
336,0,79
337,0,79
338,0,79
339,0,79
340,0,80
341,0,79
342,0,79
343,0,79
344,0,79
345,0,78
346,0,78
347,0,79
348,0,79
349,0,80
350,0,80
351,0,80
352,0,80
353,0,80
354,0,80
355,0,80
356,0,80
357,0,80
358,0,80
359,0,80
360,0,80
361,0,80
362,0,80
363,0,81
364,0,82
365,0,82
366,0,82
367,0,83
368,0,83
369,0,84
370,0,84
371,0,84
372,0,84
373,0,85
374,0,84
375,0,84
376,0,84
377,0,84
378,0,84
379,0,84
380,0,84
381,0,84
382,0,84
383,0,85
384,0,85
385,0,85
386,0,85
387,0,85
388,0,85
389,0,86
390,0,86
391,0,86
392,0,86
393,0,86
394,0,86
395,0,86
396,0,86
397,0,86
398,0,86
399,0,87
400,0,87
401,0,87
402,0,87
403,0,87
404,0,87
405,0,88
406,0,88
407,0,88
408,0,88
409,0,87
410,0,87
411,0,87
412,0,86
413,0,86
414,0,86
415,0,86
416,0,86
417,0,86
418,0,85
419,0,85
420,0,85
421,0,84
422,0,83
423,0,82
424,0,81
425,0,81
426,0,81
427,0,81
428,0,81
429,0,81
430,0,81
431,0,82
432,0,82
433,0,83
434,0,84
435,0,85
436,0,86
437,0,86
438,0,86
439,0,86
440,0,86
441,0,87
442,0,87
443,0,87
444,0,87
445,0,88
446,0,88
447,0,88
448,0,88
449,0,88
450,0,88
451,0,88
452,0,88
453,0,88
454,0,87
455,0,87
456,0,87
457,0,87
458,0,87
459,0,87
460,0,87
461,0,86
462,0,85
463,0,85
464,0,85
465,0,85
466,0,85
467,0,85
468,0,84
469,0,83
470,0,83
471,0,83
472,0,83
473,0,83
474,0,84
475,0,84
476,0,84
477,0,83
478,0,83
479,0,83
480,0,83
481,0,83
482,0,82
483,0,82
484,0,82
485,0,82
486,0,81
487,0,81
488,0,81
489,0,80
490,0,80
491,0,80
492,0,80
493,0,80
494,0,80
495,0,80
496,0,80
497,0,80
498,0,80
499,0,80
500,0,80
501,0,80
502,0,80
503,0,80
504,0,80
505,0,80
506,0,79
507,0,79
508,0,80
509,0,81
510,0,81
511,0,81
512,0,82
513,0,82
514,0,82
515,0,82
516,0,82
517,0,82
518,0,83
519,0,82
520,0,82
521,0,83
522,0,84
523,0,85
524,0,86
525,0,86
526,0,87
527,0,86
528,0,86
529,0,87
530,0,86
531,0,85
532,0,86
533,0,85
534,0,85
535,0,84
536,0,84
537,0,83
538,0,83
539,0,83
540,0,82
541,0,82
542,0,82
543,0,82
544,0,82
545,0,82
546,0,82
547,0,82
548,0,82
549,0,81
550,0,81
551,0,80
552,0,80
553,0,79
554,0,80
555,0,80
556,0,80
557,0,80
558,0,80
559,0,80
560,0,80
561,0,81
562,0,82
563,0,81
564,0,81
565,0,81
566,0,81
567,0,81
568,0,82
569,0,83
570,0,83
571,0,83
572,0,83
573,1,83
574,1,82
575,2,81
576,3,81
577,4,82
578,5,82
579,6,82
580,7,82
581,8,82
582,9,83
583,10,83
584,11,83
585,12,83
586,13,84
587,14,84
588,15,84
589,16,85
590,17,85
591,18,85
592,19,85
593,20,85
594,21,85
595,22,85
596,23,85
597,24,85
598,24,84
599,25,84
600,26,84
601,27,84
602,27,83
603,28,83
604,29,83
605,30,83
606,31,84
607,32,84
608,33,84
609,33,83
610,34,83
611,35,83
612,36,83
613,37,83
614,38,83
615,39,83
616,40,83
617,41,83
618,42,83
619,43,84
620,44,84
621,45,84
622,46,84
623,47,84
624,48,84
625,49,84
626,50,84
627,51,85
628,52,85
629,53,85
630,54,86
631,55,87
632,56,87
633,57,88
634,58,88
635,59,89
636,60,89
637,61,90
638,62,90
639,63,90
640,64,91
641,65,91
642,66,91
643,67,91
644,68,91
645,69,91
646,70,91
647,71,91
648,72,91
649,73,92
650,74,92
651,75,93
652,76,93
653,77,94
654,78,94
655,79,94
656,80,94
657,81,94
658,82,94
659,83,94
660,84,94
661,85,94
662,86,94
663,87,95
664,88,95
665,89,95
666,90,95
667,91,95
668,92,95
669,93,95
670,94,95
671,95,95
672,96,95
673,96,95
674,97,96
675,97,97
676,97,97
677,97,97
678,97,97
679,97,97
680,97,97
681,97,97
682,97,97
683,97,97
684,97,97
685,97,97
686,97,97
687,97,97
688,97,97
689,96,96
690,95,95
691,95,95
692,95,95
693,95,95
694,95,95
695,95,95
696,95,95
697,95,95
698,96,96
699,96,96
700,96,96
701,96,96
702,97,97
703,97,97
704,97,97
705,97,97
706,97,97
707,97,97
708,97,97
709,98,98
710,98,98
711,98,98
712,98,98
713,98,98
714,98,98
715,98,98
716,98,98
717,98,98
718,98,98
719,98,98
720,98,98
721,98,98
722,98,98
723,98,98
724,98,98
725,98,98
726,98,98
727,98,98
728,98,98
729,98,98
730,98,98
731,98,98
732,98,98
733,98,98
734,98,98
735,98,98
736,98,98
737,98,98
738,98,98
739,98,98
740,98,98
741,98,98
742,98,98
743,98,98
744,98,98
745,98,98
746,98,98
747,98,98
748,98,98
749,98,98
750,98,98
751,98,98
752,98,98
753,98,98
754,98,98
755,98,98
756,98,98
757,98,98
758,98,98
759,98,98
760,98,98
761,98,98
762,98,98
763,98,98
764,98,98
765,98,98
766,98,98
767,98,98
768,98,98
769,98,98
770,98,98
771,98,98
772,98,98
773,98,98
774,97,97
775,97,97
776,97,97
777,97,97
778,97,97
779,97,97
780,97,97
781,97,97
782,97,97
783,97,97
784,97,97
785,97,97
786,97,97
787,97,97
788,97,97
789,98,98
790,99,99
791,99,99
792,99,99
793,99,99
794,99,99
795,99,99
796,99,99
797,99,99
798,99,99
799,99,99
800,99,99
801,99,99
802,99,99
803,99,99
804,99,99
805,99,99
806,99,99
807,99,99
808,99,99
809,99,99
810,99,99
811,99,99
812,99,99
813,99,99
814,99,99
815,99,99
816,99,99
817,99,99
818,99,99
819,99,99
820,99,99
821,99,99
822,99,99
823,99,99
824,99,99
825,99,99
826,99,99
827,99,99
828,99,99
829,99,99
830,99,99
831,99,99
832,99,99
833,99,99
834,99,99
835,99,99
836,99,99
837,99,99
838,99,99
839,99,99
840,99,99
841,99,99
842,99,99
843,99,99
844,99,99
845,99,99
846,99,99
847,99,99
848,99,99
849,99,99
850,99,99
851,99,99
852,99,99
853,99,99
854,98,98
855,98,98
856,98,98
857,97,97
858,97,97
859,97,97
860,96,96
861,96,96
862,95,95
863,95,95
864,95,95
865,95,95
866,95,95
867,95,95
868,95,95
869,95,95
870,95,95
871,95,95
872,95,95
873,95,95
874,96,96
875,95,95
876,95,95
877,95,95
878,94,95
879,94,95
880,93,94
881,92,93
882,92,93
883,91,92
884,91,92
885,90,91
886,89,90
887,89,90
888,88,89
889,87,89
890,87,89
891,87,89
892,86,88
893,86,88
894,86,88
895,86,88
896,86,88
897,86,88
898,86,88
899,86,88
900,86,88
901,86,88
902,86,88
903,86,88
904,86,88
905,86,88
906,86,88
907,86,88
908,86,88
909,86,88
910,86,88
911,86,88
912,86,88
913,85,87
914,85,87
915,84,86
916,84,86
917,84,86
918,83,85
919,83,85
920,83,85
921,83,85
922,83,85
923,83,85
924,83,85
925,82,85
926,82,85
927,82,85
928,82,85
929,82,85
930,82,85
931,81,84
932,81,84
933,80,84
934,80,83
935,79,83
936,78,83
937,77,82
938,76,81
939,75,80
940,75,80
941,75,80
942,75,80
943,75,80
944,75,80
945,74,79
946,73,78
947,73,78
948,73,78
949,72,77
950,72,77
951,72,77
952,72,77
953,71,76
954,72,77
955,72,77
956,72,77
957,73,78
958,72,77
959,71,76
960,71,76
961,71,76
962,72,77
963,71,76
964,71,76
965,70,75
966,70,75
967,70,75
968,70,75
969,70,75
970,70,75
971,70,75
972,70,75
973,70,75
974,70,75
975,70,75
976,70,75
977,70,75
978,71,75
979,71,75
980,72,76
981,73,77
982,73,77
983,73,77
984,73,77
985,74,78
986,75,79
987,75,79
988,76,80
989,77,80
990,76,79
991,76,79
992,76,79
993,76,79
994,76,79
995,76,79
996,75,78
997,75,78
998,74,77
999,74,77
1000,74,77
1001,74,77
1002,74,77
1003,74,77
1004,74,77
1005,73,76
1006,72,75
1007,72,75
1008,72,75
1009,72,75
1010,72,75
1011,72,75
1012,72,75
1013,73,76
1014,73,76
1015,74,77
1016,74,77
1017,74,77
1018,75,78
1019,74,78
1020,73,77
1021,73,77
1022,73,77
1023,73,77
1024,73,77
1025,74,77
1026,74,77
