molecule,start,end,gene,type
Bat picornavirus,10,586,5'UTR,full
Bat picornavirus,587,8080,Polyprotein,full
Bat picornavirus,8081,8315,3'UTR,full
Cheravirus,436,3705,Polyprotein,partial
Felisavirus,1,5665,Non-structural polyprotein,partial
Felisavirus,5739,8738,Structural polyprotein,partial
Felisavirus,8739,9188,3'UTR,partial
Hepatovirus,1,960,5'UTR,partial
Hepatovirus,981,8156,Polyprotein,partial
Hepatovirus,8157,8441,3'UTR,partial
Kobuvirus,1,850,5'UTR,full
Kobuvirus,851,8997,Polyprotein,full
Kobuvirus,8990,9318,3'UTR,full
Kunsagivirus,1,619,5'UTR,full
Kunsagivirus,620,7953,Polyprotein,full
Kunsagivirus,7954,8098,3'UTR,full
Mischivirus,10,1513,5'UTR,full
Mischivirus,1514,9195,Polyprotein,full
Mischivirus,9243,9571,3'UTR,full
Sapovirus,1,7216,Polyprotein,full
Sapovirus,7251,7945,Putative minor structural protein,full
Sapovirus,7946,8017,3'UTR,full
Sapovirus,1,7216,Polyprotein,partial
Sapovirus,7251,7945,Putative minor structural protein,partial
Sapovirus,7946,8017,3'UTR,partial
Sapelovirus,1,746,5'UTR,full
Sapelovirus,747,8480,Polyprotein,full
Sapelovirus,8481,8623,3'UTR,full
Sapelovirus,1,746,5'UTR,partial
Sapelovirus,747,8480,Polyprotein,partial
Sapelovirus,8481,8623,3'UTR,partial
Teschovirus,21,601,5'UTR,full
Teschovirus,602,7621,Polyprotein,full
Teschovirus,7622,7725,3'UTR,full
