pointer,OQ818323,OQ818324,LC386158,MG875515,MT295502
100,-1,-1,-1,-1,-1
120,-1,-1,-1,-1,-1
140,-1,-1,-1,-1,-1
160,-1,-1,-1,-1,-1
180,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1
220,-1,-1,-1,-1,-1
240,-1,-1,-1,-1,-1
260,-1,-1,-1,-1,-1
280,-1,-1,-1,-1,-1
300,-1,-1,-1,-1,-1
320,-1,-1,-1,-1,-1
340,-1,-1,-1,-1,-1
360,-1,-1,-1,-1,-1
380,-1,-1,-1,-1,-1
400,28,4,0,19,32
420,32,40,0,0,0
440,38,18,0,0,0
460,34,3,0,0,0
480,19,0,0,0,0
500,31,0,0,0,0
520,44,9,0,0,0
540,62,4,0,0,0
560,40,3,0,0,0
580,9,0,0,0,0
600,7,0,0,0,0
620,15,0,0,0,0
640,16,0,0,0,0
660,9,0,0,0,0
680,7,0,0,0,0
700,18,2,0,0,0
720,9,1,0,0,0
740,4,1,0,0,0
760,13,4,0,0,0
780,40,20,0,0,0
800,33,35,0,0,0
820,6,8,0,0,0
840,19,9,0,0,0
860,36,13,0,0,0
880,11,31,0,0,0
900,3,4,0,0,0
920,1,1,0,0,0
940,1,0,0,0,0
960,0,1,0,0,0
980,0,0,0,0,0
1000,0,0,0,0,0
1020,0,2,0,0,0
1040,0,0,0,0,0
1060,0,0,0,0,0
1080,0,0,0,0,0
1100,0,0,0,0,0
1120,0,0,0,0,0
1140,0,0,0,0,0
1160,1,0,0,0,0
1180,0,1,0,0,0
1200,0,1,0,0,0
1220,0,0,0,0,0
1240,1,1,0,0,0
1260,1,2,0,0,0
1280,6,1,0,0,0
1300,26,1,0,0,0
1320,15,6,0,0,0
1340,5,3,0,0,0
1360,7,1,0,0,0
1380,0,0,0,0,0
1400,5,2,0,0,0
1420,1,6,0,0,0
1440,5,20,0,1,0
1460,7,11,0,0,0
1480,0,30,0,0,0
1500,0,8,1,0,0
1520,0,5,0,0,0
1540,0,6,1,0,0
1560,0,29,0,1,0
1580,0,19,0,0,0
1600,0,6,0,0,0
1620,0,5,0,0,0
1640,1,1,0,0,0
1660,0,2,0,0,0
1680,0,2,0,0,0
1700,1,2,0,0,0
1720,2,2,0,0,0
1740,2,3,0,0,0
1760,5,1,0,0,0
1780,0,2,0,0,0
1800,1,3,0,0,0
1820,1,1,0,0,0
1840,2,1,0,0,0
1860,0,0,0,0,0
1880,5,1,0,0,0
1900,8,1,0,0,0
1920,22,3,0,0,0
1940,27,6,0,0,0
1960,45,23,0,0,0
1980,44,42,0,0,0
2000,72,24,0,0,0
2020,67,21,0,0,0
2040,33,47,0,0,0
2060,23,57,0,0,0
2080,6,31,0,0,0
2100,5,17,0,0,0
2120,2,15,0,0,0
2140,1,11,0,0,0
2160,5,6,0,0,0
2180,0,1,0,0,0
2200,1,3,0,0,0
2220,0,1,0,0,0
2240,0,0,0,0,0
2260,0,0,0,0,0
2280,2,0,0,0,0
2300,1,0,0,0,0
2320,2,0,0,0,0
2340,1,0,0,0,0
2360,0,0,0,0,0
2380,0,0,0,0,0
2400,0,0,0,0,0
2420,0,0,0,0,0
2440,0,0,0,0,0
2460,0,0,0,0,0
2480,0,0,0,0,0
2500,0,0,0,0,0
2520,0,0,3,0,1
2540,0,0,0,0,2
2560,1,0,0,0,0
2580,5,0,0,0,0
2600,0,0,0,0,0
2620,2,1,0,0,0
2640,1,0,0,0,0
2660,4,0,0,0,0
2680,3,0,1,0,0
2700,0,0,0,0,0
2720,2,0,0,0,0
2740,0,1,0,0,0
2760,0,2,0,0,0
2780,1,0,0,0,0
2800,3,2,0,0,0
2820,1,0,0,1,0
2840,0,0,0,1,0
2860,2,0,0,1,0
2880,0,0,0,6,0
2900,0,0,0,0,0
2920,0,0,0,0,0
2940,0,0,0,1,0
2960,0,0,0,0,0
2980,0,0,0,0,0
3000,0,0,0,0,0
3020,0,0,0,0,0
3040,0,0,1,0,0
3060,0,0,0,0,0
3080,0,0,0,0,0
3100,2,0,0,0,0
3120,5,0,0,0,0
3140,15,4,0,0,0
3160,2,13,0,0,0
3180,14,26,0,0,0
3200,22,17,0,0,0
3220,8,17,0,0,0
3240,10,13,0,0,0
3260,6,0,0,0,0
3280,4,2,0,0,0
3300,1,1,0,0,0
3320,0,3,0,0,0
3340,0,7,0,0,0
3360,3,0,0,0,0
3380,0,0,0,0,0
3400,0,0,0,0,0
3420,0,0,0,0,0
3440,1,0,0,0,0
3460,0,2,0,0,0
3480,0,6,0,0,0
3500,0,4,0,1,0
3520,3,2,0,0,0
3540,0,0,0,0,0
3560,0,0,0,0,0
3580,0,0,0,0,0
3600,0,0,0,1,0
3620,0,0,0,0,0
3640,0,0,0,0,0
3660,0,0,0,0,0
3680,0,0,0,0,0
3700,0,0,0,0,0
3720,0,0,0,0,0
3740,1,2,0,0,0
3760,0,0,0,0,0
3780,8,0,0,0,0
3800,10,0,0,0,0
3820,18,4,0,0,0
3840,13,0,0,0,0
3860,26,0,0,0,0
3880,28,0,0,0,0
3900,4,4,0,0,0
3920,0,1,0,0,0
3940,0,0,0,0,0
3960,13,0,0,0,0
3980,12,1,0,0,0
4000,10,2,0,0,0
4020,33,0,0,0,0
4040,22,3,0,0,0
4060,55,2,0,0,0
4080,65,1,0,0,0
4100,81,0,0,0,0
4120,63,9,0,0,0
4140,79,8,0,0,0
4160,42,15,0,0,0
4180,7,1,0,0,0
4200,3,3,0,0,0
4220,0,11,0,0,0
4240,0,1,0,0,0
4260,1,9,0,0,0
4280,0,6,0,0,0
4300,0,22,0,0,0
4320,0,36,0,0,0
4340,0,37,0,0,0
4360,0,12,0,0,0
4380,0,32,0,0,0
4400,0,36,0,0,0
4420,1,7,0,0,0
4440,1,20,0,0,0
4460,3,10,0,0,0
4480,5,1,0,0,0
4500,2,1,0,0,0
4520,4,1,0,0,0
4540,2,0,0,0,0
4560,4,2,0,0,0
4580,4,4,0,0,0
4600,34,1,0,0,0
4620,27,7,0,0,0
4640,11,7,0,0,0
4660,1,10,0,0,0
4680,9,3,0,0,0
4700,7,7,0,0,0
4720,11,8,0,0,0
4740,18,4,0,0,0
4760,19,18,0,0,0
4780,26,13,0,0,0
4800,10,24,0,0,0
