molecule,start,end,gene,virus
OQ818330,62,3001,Polyprotein,Cheravirus
OQ818331,4312,5043,Hypothetical protein,Tetnovirus
OQ818331,1,4298,Putative polyprotein,Tetnovirus
OQ818332,1,2370,Putative polyprotein,Bee virus
OQ818333,98,1255,Hypothetical protein,Picorna-like virus
OQ818333,1364,2880,Putative polyprotein,Picorna-like virus
OQ818334,1,1656,Putative polyprotein,Picorna-like virus
OQ818335,6,5654,Non-structural polyprotein,Felisavirus
OQ818335,5727,5787,Similar to structural polyprotein,Felisavirus
OQ818336,1,5956,Putative polyprotein,Picorna-like virus
OQ818337,1,705,5'UTR,Hepatovirus
OQ818337,706,5785,Putative polyprotein,Hepatovirus
OQ818338,1,1807,Putative polyprotein,Cripavirus
OQ818339,1092,2936,Similar to putative polyprotein,Picorna-like virus
OQ818339,1,861,Similar to putative polyprotein,Picorna-like virus
OQ818339,2967,3632,Similar to putative polyprotein,Picorna-like virus
OQ818340,1,3232,Polyprotein,Sapovirus
OQ818341,1,3380,Polyprotein,Felisavirus
OQ818342,1,1177,Polyprotein,Sapelovirus
OQ818343,1,1127,Polyprotein,Sapelovirus
OQ818344,1,2134,Polyprotein,Sapelovirus
OQ818345,1,1043,Polyprotein,Sapovirus
OQ818346,1,1004,Similar to polyprotein,Picornavirus
OQ818347,1,2171,Polyprotein,Sapovirus
OQ818348,1,2611,Polyprotein,Sapovirus
