pointer,OQ818341,KX644943
49,72.0,77.0
50,73.0,77.0
51,74.0,77.0
52,75.0,77.0
53,76.0,76.0
54,76.0,75.0
55,77.0,75.0
56,76.0,74.0
57,76.0,74.0
58,76.0,74.0
59,76.0,74.0
60,76.0,75.0
61,77.0,76.0
62,76.0,76.0
63,76.0,76.0
64,76.0,77.0
65,75.0,76.0
66,74.0,75.0
67,74.0,76.0
68,74.0,75.0
69,74.0,75.0
70,75.0,76.0
71,75.0,76.0
72,76.0,77.0
73,76.0,77.0
74,76.0,77.0
75,76.0,77.0
76,76.0,77.0
77,76.0,76.0
78,76.0,76.0
79,76.0,76.0
80,76.0,75.0
81,77.0,76.0
82,77.0,76.0
83,76.0,75.0
84,77.0,75.0
85,77.0,75.0
86,76.0,74.0
87,76.0,74.0
88,76.0,74.0
89,76.0,74.0
90,76.0,74.0
91,77.0,75.0
92,77.0,74.0
93,78.0,74.0
94,78.0,74.0
95,77.0,73.0
96,78.0,73.0
97,78.0,73.0
98,77.0,72.0
99,77.0,72.0
100,77.0,73.0
101,77.0,73.0
102,78.0,74.0
103,78.0,74.0
104,77.0,74.0
105,78.0,75.0
106,78.0,75.0
107,78.0,75.0
108,78.0,75.0
109,79.0,76.0
110,78.0,75.0
111,79.0,76.0
112,79.0,76.0
113,78.0,76.0
114,78.0,76.0
115,78.0,76.0
116,78.0,75.0
117,79.0,76.0
118,79.0,76.0
119,78.0,75.0
120,78.0,75.0
121,78.0,75.0
122,77.0,74.0
123,78.0,75.0
124,78.0,75.0
125,78.0,75.0
126,79.0,76.0
127,79.0,76.0
128,78.0,76.0
129,78.0,76.0
130,78.0,76.0
131,78.0,75.0
132,78.0,76.0
133,78.0,76.0
134,79.0,77.0
135,80.0,78.0
136,80.0,78.0
137,79.0,77.0
138,80.0,77.0
139,81.0,77.0
140,81.0,76.0
141,82.0,77.0
142,82.0,77.0
143,82.0,77.0
144,82.0,77.0
145,83.0,78.0
146,82.0,77.0
147,83.0,77.0
148,83.0,77.0
149,82.0,77.0
150,82.0,77.0
151,82.0,77.0
152,82.0,77.0
153,82.0,78.0
154,83.0,79.0
155,83.0,79.0
156,84.0,80.0
157,84.0,80.0
158,84.0,80.0
159,84.0,80.0
160,84.0,80.0
161,83.0,79.0
162,84.0,80.0
163,84.0,80.0
164,84.0,80.0
165,85.0,81.0
166,86.0,82.0
167,85.0,82.0
168,85.0,83.0
169,85.0,83.0
170,85.0,82.0
171,85.0,82.0
172,85.0,82.0
173,85.0,81.0
174,85.0,81.0
175,85.0,81.0
176,85.0,81.0
177,85.0,82.0
