pointer,KC935379,KX644936,KY670597
100,-1,-1,-1
120,3,82,15
140,11,83,6
160,8,88,4
180,6,94,0
200,0,100,0
220,0,100,0
240,0,100,0
260,0,100,0
280,0,100,0
300,0,100,0
320,0,100,0
340,0,100,0
360,0,100,0
380,0,100,0
400,0,100,0
420,0,100,0
440,0,97,3
460,0,100,0
480,0,100,0
500,0,100,0
520,0,100,0
540,0,100,0
560,0,100,0
580,0,100,0
600,0,100,0
620,0,100,0
640,0,100,0
660,0,100,0
680,0,100,0
700,0,100,0
720,0,100,0
740,0,100,0
760,0,100,0
780,0,100,0
800,0,100,0
820,2,98,0
840,2,98,0
860,0,100,0
880,4,96,0
900,6,94,0
920,10,90,0
940,8,91,1
960,10,88,2
980,7,81,12
1000,6,87,7
1020,3,84,13
1040,1,95,4
1060,0,98,2
1080,0,97,3
1100,0,99,1
1120,0,98,2
1140,0,99,1
1160,0,100,0
1180,0,100,0
1200,0,100,0
1220,0,100,0
1240,0,100,0
1260,0,100,0
1280,0,100,0
1300,0,100,0
1320,0,100,0
1340,0,100,0
1360,0,100,0
1380,0,100,0
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,100,0
1480,2,97,1
1500,2,98,0
1520,3,95,2
1540,1,98,1
1560,0,99,1
1580,0,98,2
1600,0,99,1
1620,0,96,4
1640,0,99,1
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,0,100,0
1740,0,100,0
1760,0,100,0
1780,0,100,0
1800,0,100,0
1820,0,100,0
1840,0,100,0
1860,2,98,0
1880,0,100,0
1900,0,100,0
1920,0,100,0
1940,0,100,0
1960,0,100,0
1980,0,100,0
2000,0,100,0
2020,0,100,0
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,1,99,0
2180,0,100,0
2200,1,99,0
2220,1,99,0
2240,1,99,0
2260,2,98,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,1,99,0
2360,0,100,0
2380,0,100,0
2400,0,100,0
2420,0,100,0
2440,0,100,0
2460,0,100,0
2480,1,99,0
2500,0,100,0
2520,1,98,1
2540,2,98,0
2560,0,100,0
2580,2,98,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,99,1
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,0,98,2
2940,0,98,2
2960,0,99,1
2980,1,96,3
3000,2,96,2
3020,0,98,2
3040,0,100,0
3060,1,96,3
3080,12,69,19
3100,13,75,12
3120,15,75,10
3140,9,89,2
3160,15,71,14
3180,5,81,14
3200,5,85,10
3220,10,59,31
3240,2,40,58
3260,0,80,20
3280,0,86,14
3300,1,93,6
3320,0,84,16
3340,1,82,17
3360,0,98,2
3380,4,92,4
3400,0,81,19
3420,0,76,24
3440,1,78,21
3460,2,60,38
3480,13,65,22
3500,7,87,6
3520,3,95,2
3540,1,99,0
3560,0,99,1
3580,0,99,1
3600,3,96,1
3620,4,95,1
3640,0,98,2
3660,0,100,0
3680,0,99,1
3700,3,97,0
3720,4,95,1
3740,2,98,0
3760,15,85,0
3780,28,72,0
3800,15,85,0
3820,8,90,2
3840,5,95,0
3860,3,96,1
3880,0,100,0
3900,0,100,0
3920,1,99,0
3940,0,100,0
3960,0,100,0
3980,0,100,0
4000,0,100,0
4020,0,100,0
4040,1,99,0
4060,0,100,0
4080,0,100,0
4100,1,99,0
4120,2,96,2
4140,4,96,0
4160,0,99,1
4180,0,99,1
4200,1,96,3
4220,0,99,1
4240,0,99,1
4260,0,87,13
4280,0,75,25
4300,0,76,24
4320,0,95,5
4340,0,99,1
4360,0,99,1
4380,6,88,6
4400,4,89,7
4420,2,91,7
4440,3,95,2
4460,4,94,2
4480,6,94,0
4500,4,96,0
4520,5,95,0
4540,3,96,1
4560,2,98,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,0,100,0
4700,0,97,3
4720,0,89,11
4740,1,91,8
4760,1,87,12
4780,0,95,5
4800,0,90,10
4820,6,87,7
4840,5,89,6
4860,1,97,2
4880,3,96,1
4900,0,99,1
4920,2,98,0
4940,0,100,0
4960,0,100,0
4980,0,100,0
5000,0,100,0
5020,0,100,0
5040,0,100,0
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,100,0
5160,0,100,0
5180,0,100,0
5200,0,100,0
5220,0,97,3
5240,2,96,2
5260,1,96,3
5280,1,99,0
5300,0,98,2
5320,0,97,3
5340,0,100,0
5360,0,97,3
5380,0,96,4
5400,1,98,1
5420,4,96,0
5440,0,100,0
5460,0,100,0
5480,0,100,0
5500,0,100,0
5520,1,99,0
5540,0,99,1
5560,2,98,0
5580,0,100,0
5600,3,95,2
5620,0,99,1
5640,0,100,0
5660,1,99,0
5680,0,100,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,0,100,0
5780,0,100,0
5800,0,100,0
5820,0,100,0
5840,0,100,0
5860,0,100,0
5880,0,100,0
5900,0,100,0
5920,0,100,0
5940,1,98,1
5960,2,98,0
5980,3,97,0
6000,4,96,0
6020,0,100,0
6040,0,100,0
6060,0,100,0
6080,1,99,0
6100,1,99,0
6120,0,100,0
6140,0,100,0
6160,0,100,0
6180,0,100,0
6200,0,100,0
6220,0,99,1
6240,1,99,0
6260,0,100,0
6280,0,100,0
6300,0,100,0
6320,0,100,0
6340,0,100,0
6360,0,100,0
6380,0,100,0
6400,0,100,0
6420,0,100,0
6440,0,100,0
6460,0,100,0
6480,0,100,0
6500,0,100,0
6520,0,100,0
6540,0,100,0
6560,0,100,0
6580,0,100,0
6600,0,100,0
6620,0,100,0
6640,0,100,0
6660,0,99,1
6680,0,99,1
6700,6,94,0
6720,2,98,0
6740,5,95,0
6760,1,99,0
6780,1,99,0
6800,2,98,0
6820,7,93,0
6840,0,100,0
6860,0,100,0
6880,0,100,0
6900,0,100,0
6920,1,99,0
6940,1,99,0
6960,0,99,1
6980,0,100,0
7000,0,100,0
7020,0,100,0
7040,0,100,0
7060,0,100,0
7080,0,100,0
7100,0,100,0
7120,3,97,0
7140,11,88,1
7160,21,77,2
7180,18,76,6
7200,16,81,3
7220,16,77,7
7240,9,85,6
7260,13,87,0
7280,5,92,3
7300,1,98,1
7320,0,99,1
7340,0,100,0
7360,0,100,0
7380,0,100,0
7400,0,100,0
7420,0,100,0
7440,0,100,0
7460,0,100,0
7480,0,100,0
7500,0,100,0
7520,0,100,0
7540,0,100,0
7560,0,100,0
7580,0,100,0
7600,0,100,0
7620,0,100,0
7640,0,100,0
7660,0,100,0
7680,0,100,0
7700,0,100,0
7720,0,100,0
7740,1,99,0
7760,1,99,0
7780,0,97,3
7800,1,87,12
7820,1,85,14
7840,0,92,8
7860,0,100,0
7880,1,99,0
7900,1,99,0
7920,0,98,2
7940,0,100,0
7960,0,100,0
7980,0,99,1
