pointer,OQ818339,OQ818341,HQ585111,OP880198,OQ363752,OQ363755,OQ363761,MK468720
3560,1,13,18,15,1,0,0,0
3580,0,15,32,12,0,0,0,0
3600,0,20,27,8,0,0,0,0
3620,1,31,7,3,0,0,0,0
3640,0,40,7,11,0,0,0,0
3660,0,23,1,21,0,0,0,2
3680,0,13,5,27,0,0,0,0
3700,0,26,3,12,0,0,0,2
3720,1,37,3,12,0,0,0,0
3740,0,43,2,17,0,0,0,3
3760,0,43,1,37,0,0,0,1
3780,0,64,0,24,0,0,0,2
3800,0,76,0,19,0,0,0,0
3820,0,56,0,41,0,0,0,0
3840,0,50,0,49,0,0,0,0
3860,0,75,0,20,0,0,0,0
3880,0,74,0,22,0,0,0,0
3900,0,57,0,37,0,0,0,0
3920,0,81,0,18,0,0,0,0
3940,0,88,0,10,0,0,0,0
3960,0,99,0,0,0,0,0,0
3980,0,84,0,10,0,0,0,0
4000,0,80,0,3,0,0,0,0
4020,0,98,0,0,0,0,0,0
4040,0,96,0,2,0,0,0,0
4060,0,95,2,1,0,0,0,0
4080,0,93,0,0,0,0,0,0
4100,0,92,1,0,0,0,0,0
4120,0,68,3,0,0,0,0,0
4140,0,76,2,0,0,0,0,0
4160,0,80,1,1,0,0,0,0
4180,0,75,3,0,0,0,0,0
4200,0,70,1,17,0,0,0,0
4220,0,79,2,5,0,0,0,0
4240,0,79,2,6,0,0,0,1
4260,2,87,1,4,0,0,0,1
4280,0,82,0,3,0,0,0,0
4300,2,75,0,5,0,0,0,7
4320,0,91,0,1,0,0,0,1
4340,1,98,0,1,0,0,0,0
4360,1,90,2,1,0,0,0,3
4380,0,90,0,1,0,0,0,1
4400,7,74,1,0,0,0,0,5
4420,2,88,0,0,0,0,0,5
4440,0,86,0,1,0,0,0,3
4460,0,96,0,0,0,0,0,0
4480,0,98,0,0,0,0,0,0
4500,0,99,0,0,0,0,0,0
4520,0,97,0,2,0,0,0,0
4540,0,99,0,1,0,0,0,0
4560,0,99,0,0,0,0,0,0
4580,0,100,0,0,0,0,0,0
4600,0,97,0,0,0,0,0,0
4620,0,90,1,3,0,0,0,0
4640,0,97,0,1,0,0,0,1
4660,0,46,1,21,0,0,0,12
4680,1,61,0,19,0,0,0,10
4700,0,51,0,20,0,0,0,4
4720,0,56,1,11,0,0,0,8
4740,0,56,0,12,0,0,0,3
4760,0,39,0,14,0,0,0,8
4780,0,79,0,7,0,0,0,2
4800,0,89,0,1,0,0,0,1
4820,0,92,0,2,0,0,0,2
4840,0,71,0,5,0,0,0,1
4860,0,99,0,0,0,0,0,0
4880,0,97,0,0,0,0,0,0
4900,1,95,0,0,0,0,0,0
4920,0,94,0,0,0,0,0,0
4940,1,96,0,0,0,0,0,1
4960,0,100,0,0,0,0,0,0
4980,0,100,0,0,0,0,0,0
5000,0,97,0,0,0,0,0,0
5020,0,99,0,0,0,0,0,0
5040,0,98,0,0,0,0,0,0
5060,1,89,0,0,0,0,0,1
5080,0,80,1,1,0,0,0,0
5100,2,77,3,0,0,0,0,1
5120,1,79,2,1,0,0,0,0
5140,0,79,4,0,0,0,0,0
5160,0,56,13,0,0,0,0,0
5180,0,61,10,0,0,0,0,1
5200,1,72,4,2,0,0,0,1
5220,0,61,3,11,0,0,0,0
5240,0,62,1,4,0,0,0,1
5260,2,70,5,3,0,0,0,0
5280,2,86,0,1,0,0,0,0
5300,2,76,0,1,0,0,0,0
5320,11,60,5,1,0,0,0,0
5340,9,61,6,9,0,0,0,0
5360,17,45,2,9,0,0,0,2
5380,16,78,0,0,0,0,0,0
5400,7,86,0,2,0,0,0,0
5420,5,83,1,0,0,0,0,0
5440,4,79,0,0,0,0,0,0
5460,0,92,0,0,0,0,0,0
5480,1,90,1,1,0,0,0,0
5500,0,96,1,2,0,0,0,0
5520,0,99,1,0,0,0,0,0
5540,0,99,0,0,0,0,0,0
5560,0,94,1,0,0,0,0,0
5580,0,95,1,1,0,0,0,0
5600,0,99,1,0,0,0,0,0
5620,0,100,0,0,0,0,0,0
5640,0,100,0,0,0,0,0,0
5660,0,98,0,0,0,0,0,0
5680,2,96,1,0,0,0,0,0
5700,2,95,0,0,0,0,0,0
5720,0,98,0,0,0,0,0,0
5740,0,97,0,0,0,0,0,0
5760,0,100,0,0,0,0,0,0
5780,0,95,0,0,0,0,0,0
5800,0,98,0,1,0,0,0,0
5820,0,95,1,0,0,0,0,0
5840,0,99,0,0,0,0,0,0
5860,0,90,3,1,0,0,0,0
5880,0,89,0,3,0,0,0,0
5900,0,80,5,4,0,0,0,0
