Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
HQ595340.1,,Bat picornavirus 1,Unclassified,Picornaviridae,Hong Kong,Miniopterus pusillus,1,2008,0
HQ595341.1,,Bat picornavirus 1,Unclassified,Picornaviridae,Hong Kong,Miniopterus schreibersii,1,2008,0
HQ595342.1,,Bat picornavirus 2,Unclassified,Picornaviridae,Hong Kong,Miniopterus magnater,1,2005,0
HQ595343.1,,Bat picornavirus 2,Unclassified,Picornaviridae,Hong Kong,Miniopterus magnater,1,2005,0
HQ595344.1,,Bat picornavirus 3,Unclassified,Picornaviridae,Hong Kong,Rhinolophus sinicus,1,2008,0
HQ595345.1,,Bat picornavirus 3,Unclassified,Picornaviridae,Hong Kong,Hipposideros armiger,1,2008,0
JN899075.1,,Bat sapovirus TLC58/HK,Sapovirus,Caliciviridae,Hong Kong,Chiroptera,1,1905,0
JQ814851.1,,Mischivirus A,Mischivirus,Picornaviridae,China,Miniopterus schreibersii,1,2010,0
JQ814852.1,,Ia io picornavirus 1,Unclassified,Picornaviridae,China,Ia io,1,2010,0
KP100644.1,PREDICT-06105,Mischivirus C,Mischivirus,Picornaviridae,Democratic Republic of the Congo,Macronycteris gigas,1,2013,0
MF373609.1,NPIH26,Norwalk virus,Norovirus,Caliciviridae,China,Rhinolophus affinis,1,2016,0
MN602325.1,,Shanbavirus A,Shanbavirus,Picornaviridae,Italy,Pipistrellus pipistrellus,1,2017,0
NC_028366.1,M32Eidhel2010,Hepatovirus H,Hepatovirus,Picornaviridae,Ghana,Eidolon helvum,1,2010,0
NC_030886.1,GCCDC1 356,Rousettus bat coronavirus GCCDC1,Coronavirus,Coronaviridae,China,Rousettus leschenaulti,1,2018,0
NC_033776.1,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,Caliciviridae,Cameroon,Eidolon helvum,1,2014,0
NC_033818.1,,Kunsagivirus B,Kunsagivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033819.1,,Crohivirus B,Crohivirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_033820.1,,Bat sapelovirus,Sapelovirus,Picornaviridae,Cameroon,Eidolon helvum,1,2013,0
NC_038313.1,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,Picornaviridae,Madagascar,Miniopterus,1,2014,0
NC_038316.1,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,Picornaviridae,Ghana,Coleura afra,1,2010,0
NC_038961.1,BtMf-PicoV-1/SAX2011,Shanbavirus A,Shanbavirus,Picornaviridae,China,Miniopterus fuliginosus,1,2011,0
NC_043071.1,BtMr-PicoV/JX2010,Shanbavirus A,Shanbavirus,Picornaviridae,China,Myotis ricketti,1,2010,0
NC_043072.1,,Mischivirus B,Mischivirus,Picornaviridae,Hungary,Miniopterus schreibersii,1,2013,0
