pointer,OQ818323,OQ818324,LC386158,MG875515,MT295502
49,33.70786516853933,39.0,0.0,0.0,0.0
50,33.70786516853933,38.0,0.0,0.0,0.0
51,33.70786516853933,38.0,0.0,0.0,0.0
52,33.33333333333333,38.0,0.0,0.0,0.0
53,32.967032967032964,38.0,0.0,0.0,0.0
54,32.608695652173914,38.0,0.0,0.0,0.0
55,32.25806451612903,38.0,0.0,0.0,0.0
56,32.25806451612903,37.0,0.0,0.0,0.0
57,32.25806451612903,36.0,0.0,0.0,0.0
58,33.33333333333333,36.0,0.0,0.0,0.0
59,34.40860215053764,37.0,0.0,0.0,0.0
60,34.40860215053764,37.0,0.0,0.0,0.0
61,35.483870967741936,37.0,0.0,0.0,0.0
62,36.17021276595745,37.0,0.0,0.0,0.0
63,36.84210526315789,38.0,0.0,0.0,0.0
64,37.5,39.0,0.0,0.0,0.0
65,38.144329896907216,40.0,0.0,0.0,0.0
66,38.775510204081634,40.0,0.0,0.0,0.0
67,38.775510204081634,41.0,0.0,0.0,0.0
68,39.795918367346935,41.0,0.0,0.0,0.0
69,39.795918367346935,42.0,0.0,0.0,0.0
70,39.175257731958766,41.0,0.0,0.0,0.0
71,39.58333333333333,41.0,0.0,0.0,0.0
72,39.58333333333333,41.0,0.0,0.0,0.0
73,39.58333333333333,41.0,0.0,0.0,0.0
74,40.625,41.0,0.0,0.0,0.0
75,41.66666666666667,41.0,0.0,0.0,0.0
76,42.70833333333333,41.0,0.0,0.0,0.0
77,43.75,40.0,0.0,0.0,0.0
78,42.70833333333333,40.0,0.0,0.0,0.0
79,42.70833333333333,40.0,0.0,0.0,0.0
80,41.66666666666667,39.0,0.0,0.0,0.0
81,40.625,39.0,0.0,0.0,0.0
82,40.625,39.0,0.0,0.0,0.0
83,40.625,39.0,0.0,0.0,0.0
84,40.625,38.0,0.0,0.0,0.0
85,40.625,37.0,0.0,0.0,0.0
86,39.58333333333333,37.0,0.0,0.0,0.0
87,38.54166666666667,36.0,0.0,0.0,0.0
88,37.5,35.0,0.0,0.0,0.0
89,36.45833333333333,34.0,0.0,0.0,0.0
90,37.5,35.0,0.0,0.0,0.0
91,36.45833333333333,35.0,0.0,0.0,0.0
92,37.5,35.0,0.0,0.0,0.0
93,37.5,36.0,0.0,0.0,0.0
94,37.5,37.0,0.0,0.0,0.0
