Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
NC_033776.1,Bat sapovirus,Bat-SaV/Limbe65/CAM/2014,Bat sapovirus,Sapovirus,7475,complete,Cameroon,Eidolon helvum,2014-01
NC_017936.1,Bat sapovirus TLC58/HK,,Bat sapovirus TLC58/HK,Sapovirus,7696,complete,Hong Kong,Chiroptera,
OR951099.1,Bat sapovirus,GX2018,Bat sapovirus,Sapovirus,3931,partial,China,Scotophilus kuhlii,2018
OR951100.1,Bat sapovirus,YN2020,Bat sapovirus,Sapovirus,6349,partial,China,Myotis chinensis,2020
OR951101.1,Bat sapovirus,GX2016_078_10033,Bat sapovirus,Sapovirus,4986,partial,China,Rhinolophus pusillus,2016
OR951102.1,Bat sapovirus,GD2017_087_34126,Bat sapovirus,Sapovirus,3378,partial,China,Rhinolophus sinicus,2017
OR951103.1,Bat sapovirus,GD2017,Bat sapovirus,Sapovirus,1636,partial,China,Rhinolophus affinis,2017
OR951104.1,Bat sapovirus,GD2018_174_81065,Bat sapovirus,Sapovirus,3830,partial,China,Scotophilus kuhlii,2018
OR951105.1,Bat sapovirus,GD2018_177_16788,Bat sapovirus,Sapovirus,1554,partial,China,Scotophilus kuhlii,2018
OR951106.1,Bat sapovirus,GX2017_183_49402,Bat sapovirus,Sapovirus,3673,partial,China,Scotophilus kuhlii,2017
OR951107.1,Bat sapovirus,GX2017_197_22354,Bat sapovirus,Sapovirus,5022,partial,China,Hipposideros larvatus,2017
OR951108.1,Bat sapovirus,GX2017,Bat sapovirus,Sapovirus,7069,partial,China,Hipposideros larvatus,2017
OR951109.1,Bat sapovirus,GX2017_201_188356,Bat sapovirus,Sapovirus,5182,partial,China,Hipposideros larvatus,2017
OR951112.1,Bat sapovirus,GD2017_207_23251,Bat sapovirus,Sapovirus,2887,partial,China,Myotis ricketti,2017
OR951113.1,Bat sapovirus,GD2017,Bat sapovirus,Sapovirus,4465,partial,China,Myotis ricketti,2017
OR951115.1,Bat sapovirus,GD2019,Bat sapovirus,Sapovirus,7219,partial,China,Myotis ricketti,2019
OR951116.1,Bat sapovirus,GD2020,Bat sapovirus,Sapovirus,3899,partial,China,Myotis ricketti,2020
OR951117.1,Bat sapovirus,JX2020_217_538,Bat sapovirus,Sapovirus,1904,partial,China,Myotis ricketti,2020
OR951118.1,Bat sapovirus,JX2020_217_5915,Bat sapovirus,Sapovirus,6967,partial,China,Myotis ricketti,2020
OR951119.1,Bat sapovirus,JX2020_217_9014,Bat sapovirus,Sapovirus,5319,partial,China,Myotis ricketti,2020
OR951120.1,Bat sapovirus,JX2020_217_22022,Bat sapovirus,Sapovirus,3904,partial,China,Myotis ricketti,2020
OR951121.1,Bat sapovirus,JX2020_217_29613,Bat sapovirus,Sapovirus,7390,partial,China,Myotis ricketti,2020
OR951124.1,Bat sapovirus,GD2016_220_21719,Bat sapovirus,Sapovirus,1374,partial,China,Hipposideros armiger,2016
OR951125.1,Bat sapovirus,GD2016_228_8320,Bat sapovirus,Sapovirus,1820,partial,China,Miniopterus pusillus,2016
OR951126.1,Bat sapovirus,GD2017_231_6287,Bat sapovirus,Sapovirus,4798,partial,China,Miniopterus pusillus,2017
OR951127.1,Bat sapovirus,GD2017_231_18393,Bat sapovirus,Sapovirus,4933,partial,China,Miniopterus pusillus,2017
OR951128.1,Bat sapovirus,GX2016_241_83445,Bat sapovirus,Sapovirus,5458,partial,China,Taphozous melanopogon,2016
OR951129.1,Bat sapovirus,GX2016_241_124743,Bat sapovirus,Sapovirus,4807,partial,China,Taphozous melanopogon,2016
OR951131.1,Bat sapovirus,GX2017,Bat sapovirus,Sapovirus,6683,partial,China,Taphozous melanopogon,2017
OR951136.1,Bat sapovirus,GX2017,Bat sapovirus,Sapovirus,5787,partial,China,Taphozous melanopogon,2017
OR951137.1,Bat sapovirus,GX2017_244_32882,Bat sapovirus,Sapovirus,2644,partial,China,Taphozous melanopogon,2017
OR951138.1,Bat sapovirus,YN2017,Bat sapovirus,Sapovirus,7441,partial,China,Eonycteris spelaea,2017
OR951139.1,Bat sapovirus,GX2016,Bat sapovirus,Sapovirus,7432,partial,China,Myotis siligorensis,2016
OR951140.1,Bat sapovirus,GX2017_257_9004,Bat sapovirus,Sapovirus,1852,partial,China,Myotis siligorensis,2017
OR951141.1,Bat sapovirus,YN2017,Bat sapovirus,Sapovirus,6180,partial,China,Aselliscus stoliczkanus,2017
OR951142.1,Bat sapovirus,JX2020_264_100204,Bat sapovirus,Sapovirus,7127,partial,China,Myotis adversus,2020
