,OQ818337,KT452712.1,KT452713.1,KT452729.1,KT452731.1,KT452732.1,KT452743.1,KT452744.1,NC_028366.1,NC_038313.1,NC_038316.1
OQ818337,,81.597,81.944,66.547,80.000,77.894,76.505,75.694,81.968,58.065,66.155
KT452712.1,81.597,,98.495,76.852,77.778,77.662,74.537,74.583,98.264,74.537,76.736
KT452713.1,81.944,98.495,,76.968,78.025,77.546,74.537,74.583,98.843,74.537,76.620
KT452729.1,66.547,76.852,76.968,,77.037,78.704,74.074,73.056,65.219,57.542,69.244
KT452731.1,80.000,77.778,78.025,77.037,,83.704,75.309,75.309,77.778,75.309,100.000
KT452732.1,77.894,77.662,77.546,78.704,83.704,,72.569,70.694,77.662,72.569,83.218
KT452743.1,76.505,74.537,74.537,74.074,75.309,72.569,,100.000,74.306,100.000,72.917
KT452744.1,75.694,74.583,74.583,73.056,75.309,70.694,100.000,,74.306,100.000,71.944
NC_028366.1,81.968,98.264,98.843,65.219,77.778,77.662,74.306,74.306,,58.050,65.209
NC_038313.1,58.065,74.537,74.537,57.542,75.309,72.569,100.000,100.000,58.050,,56.432
NC_038316.1,66.155,76.736,76.620,69.244,100.000,83.218,72.917,71.944,65.209,56.432,
