Position in alignment,PP766469 - PP745912,PP766469 - OQ818328,PP745912 - OQ818328
20,0,0,0
40,0,0,0
60,0,0,0
80,0,0,0
100,0,0,0
120,0,0,0
140,0,0,0
160,0,0,0
180,8,24,40
200,9,30,41
220,19,15,50
240,2,77,19
260,4,53,39
280,6,40,51
300,6,58,33
320,9,60,29
340,10,73,17
360,5,82,13
380,0,64,32
400,0,83,15
420,0,80,19
440,0,44,29
460,0,39,41
480,0,54,34
500,0,78,16
520,0,81,15
540,19,63,13
560,25,72,2
580,69,31,0
600,73,27,0
620,66,33,0
640,70,29,0
660,38,62,0
680,74,26,0
700,97,3,0
720,85,13,0
740,50,50,0
760,30,68,2
780,0,91,9
800,0,87,13
820,0,75,24
840,0,84,16
860,1,78,21
880,0,89,11
900,0,98,2
920,0,99,1
940,0,77,23
960,0,91,9
980,0,93,7
1000,0,100,0
1020,0,100,0
1040,0,100,0
1060,0,100,0
1080,0,100,0
1100,0,100,0
1120,0,100,0
1140,0,100,0
1160,0,100,0
1180,0,100,0
1200,2,96,2
1220,2,98,0
1240,0,100,0
1260,0,99,0
1280,0,99,0
1300,0,100,0
1320,0,100,0
1340,0,100,0
1360,0,100,0
1380,0,100,0
1400,0,100,0
1420,0,100,0
1440,0,100,0
1460,0,100,0
1480,0,100,0
1500,0,100,0
1520,0,100,0
1540,0,100,0
1560,0,100,0
1580,0,100,0
1600,0,100,0
1620,0,100,0
1640,0,100,0
1660,0,100,0
1680,0,100,0
1700,0,100,0
1720,0,100,0
1740,0,99,1
1760,0,99,1
1780,0,99,0
1800,0,97,3
1820,0,100,0
1840,0,100,0
1860,0,100,0
1880,0,94,6
1900,0,99,1
1920,0,99,1
1940,1,96,3
1960,0,98,2
1980,3,96,0
2000,41,53,4
2020,4,89,6
2040,0,100,0
2060,0,100,0
2080,0,100,0
2100,0,100,0
2120,0,100,0
2140,0,100,0
2160,0,100,0
2180,0,100,0
2200,0,100,0
2220,0,100,0
2240,0,100,0
2260,0,100,0
2280,0,100,0
2300,0,100,0
2320,0,100,0
2340,0,98,2
2360,0,97,2
2380,0,95,4
2400,0,99,1
2420,0,95,5
2440,0,95,5
2460,0,100,0
2480,0,100,0
2500,0,100,0
2520,0,100,0
2540,0,100,0
2560,0,100,0
2580,0,100,0
2600,0,100,0
2620,0,100,0
2640,0,100,0
2660,0,100,0
2680,0,100,0
2700,0,100,0
2720,0,100,0
2740,0,100,0
2760,0,100,0
2780,0,100,0
2800,0,100,0
2820,0,100,0
2840,0,100,0
2860,0,100,0
2880,0,100,0
2900,0,100,0
2920,0,100,0
2940,0,100,0
2960,0,100,0
2980,0,100,0
3000,0,100,0
3020,0,100,0
3040,0,100,0
3060,0,100,0
3080,0,100,0
3100,0,100,0
3120,0,100,0
3140,0,100,0
3160,0,100,0
3180,0,100,0
3200,0,100,0
3220,0,100,0
3240,0,100,0
3260,0,100,0
3280,0,100,0
3300,0,100,0
3320,0,100,0
3340,0,100,0
3360,0,100,0
3380,0,100,0
3400,0,100,0
3420,0,100,0
3440,0,100,0
3460,0,100,0
3480,0,100,0
3500,0,100,0
3520,0,100,0
3540,0,99,0
3560,0,96,0
3580,0,93,0
3600,0,97,0
3620,0,93,0
3640,0,96,0
3660,0,83,0
3680,0,78,0
3700,0,75,1
3720,0,99,0
3740,0,100,0
3760,0,100,0
3780,0,100,0
3800,0,100,0
3820,0,100,0
3840,0,100,0
3860,0,100,0
3880,0,98,0
3900,0,98,0
3920,0,100,0
3940,0,99,0
3960,0,100,0
3980,0,100,0
4000,0,100,0
4020,0,100,0
4040,0,100,0
4060,0,100,0
4080,0,100,0
4100,0,100,0
4120,0,96,0
4140,0,93,0
4160,0,98,0
4180,0,99,0
4200,0,99,0
4220,0,100,0
4240,0,100,0
4260,0,100,0
4280,0,100,0
4300,0,100,0
4320,0,100,0
4340,0,100,0
4360,0,100,0
4380,0,100,0
4400,0,100,0
4420,0,100,0
4440,0,100,0
4460,0,100,0
4480,0,100,0
4500,0,97,3
4520,0,99,1
4540,0,100,0
4560,0,100,0
4580,0,100,0
4600,0,100,0
4620,0,100,0
4640,0,100,0
4660,0,100,0
4680,0,100,0
4700,0,100,0
4720,0,100,0
4740,0,100,0
4760,0,100,0
4780,0,100,0
4800,0,100,0
4820,0,100,0
4840,0,100,0
4860,0,100,0
4880,0,91,6
4900,0,90,9
4920,0,85,12
4940,0,98,1
4960,0,99,1
4980,0,100,0
5000,0,100,0
5020,0,100,0
5040,0,99,1
5060,0,100,0
5080,0,100,0
5100,0,100,0
5120,0,100,0
5140,0,99,0
5160,4,94,0
5180,4,96,0
5200,0,100,0
5220,0,100,0
5240,2,98,0
5260,3,88,4
5280,0,80,16
5300,1,42,45
5320,0,40,54
5340,1,27,64
5360,1,19,74
5380,0,4,95
5400,0,14,85
5420,1,37,55
5440,0,78,19
5460,0,90,9
5480,0,95,5
5500,0,100,0
5520,0,100,0
5540,0,100,0
5560,0,100,0
5580,0,100,0
5600,0,100,0
5620,0,100,0
5640,0,100,0
5660,0,98,2
5680,0,100,0
5700,0,100,0
5720,0,100,0
5740,0,100,0
5760,0,100,0
5780,1,99,0
5800,0,99,1
5820,28,70,0
5840,7,93,0
5860,11,88,1
5880,10,70,20
5900,10,41,47
5920,3,77,20
5940,20,47,31
5960,19,65,16
5980,18,70,12
6000,5,93,2
6020,5,91,3
6040,7,75,12
6060,13,77,7
6080,12,78,7
6100,3,91,4
6120,0,99,1
6140,0,99,1
6160,0,97,3
6180,0,97,2
6200,0,96,4
6220,0,99,1
6240,0,100,0
6260,0,98,2
6280,0,97,3
6300,1,98,0
6320,1,95,3
6340,0,91,5
6360,0,90,6
6380,0,68,28
6400,0,76,19
6420,0,48,47
6440,0,46,49
6460,0,34,61
6480,0,56,41
6500,0,68,25
6520,2,86,10
6540,0,98,1
6560,0,100,0
6580,0,99,1
6600,0,99,1
6620,0,98,2
6640,0,96,1
6660,0,98,0
6680,0,97,0
6700,0,100,0
6720,1,92,5
6740,0,72,28
6760,0,56,44
6780,0,72,28
6800,0,96,4
