Accession,Organism_Name,Isolate,Species,Genus,Length,Nuc_Completeness,Country,Host,Collection_Date
NC_038313.1,Bat hepatovirus SMG18520Minmav2014,SMG18520Minmav2014,Hepatovirus C,Hepatovirus,7570,complete,Madagascar,Miniopterus,2014
NC_038316.1,Bat hepatovirus BUO2BF86Colafr2010,BUO2BF86Colafr2010,Hepatovirus G,Hepatovirus,7399,complete,Ghana,Coleura afra,2010
NC_028366.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,7333,complete,Ghana,Eidolon helvum,2010
OR951271.1,Hipposideros bat hepatovirus,GD2016,Hipposideros bat hepatovirus,Hepatovirus,6840,partial,China,Hipposideros larvatus,2016
OR951272.1,Hipposideros bat hepatovirus,GD2018,Hipposideros bat hepatovirus,Hepatovirus,6798,partial,China,Hipposideros larvatus,2018
OR951273.1,Hipposideros bat hepatovirus,GX2017,Hipposideros bat hepatovirus,Hepatovirus,1634,partial,China,Hipposideros larvatus,2017
OR951274.1,Hipposideros bat hepatovirus,GX2017,Hipposideros bat hepatovirus,Hepatovirus,6839,partial,China,Hipposideros larvatus,2017
OR951275.1,Hipposideros bat hepatovirus,HI2019,Hipposideros bat hepatovirus,Hepatovirus,6907,partial,China,Hipposideros larvatus,2019
OR951296.1,Hipposideros bat hepatovirus,YN2016,Hipposideros bat hepatovirus,Hepatovirus,6910,partial,China,Hipposideros armiger,2016
OR951300.1,Miniopterus bat hepatovirus,GD2016,Miniopterus bat hepatovirus,Hepatovirus,6451,partial,China,Miniopterus pusillus,2016
OR951317.1,Taphozous bat hepatovirus,GX2017_242_3607,Taphozous bat hepatovirus,Hepatovirus,6972,partial,China,Taphozous melanopogon,2017
OR951320.1,Taphozous bat hepatovirus,GX2017_243_69439,Taphozous bat hepatovirus,Hepatovirus,6722,partial,China,Taphozous melanopogon,2017
OR867083.1,Hepatovirus sp.,HAQL/13130,Hepatovirus sp.,Hepatovirus,7416,partial,China,Hipposideros armiger,2022
OR867084.1,Hepatovirus sp.,HAXW/11608,Hepatovirus sp.,Hepatovirus,5994,partial,China,Hipposideros armiger,2022
OR867085.1,Hepatovirus sp.,HAZY/12611,Hepatovirus sp.,Hepatovirus,7378,partial,China,Hipposideros armiger,2022
OR867086.1,Hepatovirus sp.,HLNN/50370,Hepatovirus sp.,Hepatovirus,7356,partial,China,Hipposideros larvatus,2015
OR367421.1,Hepatovirus sp. 'sotense',CH-APSJS/2021,Hepatovirus sp. 'sotense',Hepatovirus,7404,complete,Brazil,Artibeus planirostris,2021-10-28
OM302498.1,Eptesicus fuscus hepatovirus,15893,Eptesicus fuscus hepatovirus,Hepatovirus,6921,partial,USA,Eptesicus fuscus,2021-07-29
MW055869.1,Hepatovirus sp.,HN19,Hepatovirus sp.,Hepatovirus,315,partial,China,Hipposideros larvatus,2016-07-03
MW055870.1,Hepatovirus sp.,HN43,Hepatovirus sp.,Hepatovirus,315,partial,China,Hipposideros larvatus,2016-07-03
MH367852.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367853.1,Hepatovirus A,KSA238,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367854.1,Hepatovirus A,KSA212,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367855.1,Hepatovirus A,KSA225,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367856.1,Hepatovirus A,KSA229,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367857.1,Hepatovirus A,KSA226,Hepatovirus A,Hepatovirus,356,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367858.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MH367859.1,Hepatovirus A,KSA226,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-16
MH367860.1,Hepatovirus A,KSA225,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-17
MH367861.1,Hepatovirus A,KSA212,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-18
MH367862.1,Hepatovirus A,KSA238,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-19
MH367863.1,Hepatovirus A,KSA230,Hepatovirus A,Hepatovirus,261,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-20
KX420952.1,Hepatovirus A,KSA215,Hepatovirus A,Hepatovirus,7473,partial,Saudi Arabia,Rhinopoma hardwickii,2012-10-15
MG559666.1,Hepatovirus sp.,HepV-bat7000/Hipposideros_armiger/2014,Hepatovirus sp.,Hepatovirus,240,partial,China,Hipposideros armiger,2014-05-22
MG559667.1,Hepatovirus sp.,HepV-bat7036/Hipposideros_armiger/2014,Hepatovirus sp.,Hepatovirus,240,partial,China,Hipposideros armiger,2014-07-12
MG559668.1,Hepatovirus sp.,HepV-bat2555/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,210,partial,China,Hipposideros armiger,2011-07-05
MG559669.1,Hepatovirus sp.,HepV-bat2558/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,210,partial,China,Hipposideros armiger,2011-07-05
MG559670.1,Hepatovirus sp.,HepV-bat3625/Hipposideros_armiger/2012,Hepatovirus sp.,Hepatovirus,240,partial,China,Hipposideros armiger,2012-07-03
MG559671.1,Hepatovirus sp.,HepV-bat2494/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,216,partial,China,Hipposideros armiger,2011-06-04
MG559672.1,Hepatovirus sp.,HepV-bat2513/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,552,partial,China,Hipposideros armiger,2011-06-04
MG559673.1,Hepatovirus sp.,HepV-bat3205/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,546,partial,China,Hipposideros armiger,2011-09-29
MG559674.1,Hepatovirus sp.,HepV-bat3206/Hipposideros_armiger/2011,Hepatovirus sp.,Hepatovirus,7184,partial,China,Hipposideros armiger,2011-09-29
KT452712.1,Bat hepatovirus,GH297Eidhel2011,Bat hepatovirus,Hepatovirus,864,partial,Ghana,Eidolon helvum,2011
KT452713.1,Bat hepatovirus,GH298Eidhel2011,Bat hepatovirus,Hepatovirus,864,partial,Ghana,Eidolon helvum,2011
KT452714.1,hepatovirus H2,M32Eidhel2010,Hepatovirus H,Hepatovirus,7333,partial,Ghana,Eidolon helvum,2010
KT452715.1,Bat hepatovirus,KCR10366Natlan2010,Bat hepatovirus,Hepatovirus,864,partial,Costa Rica,Natalus lanatus,2010
KT452716.1,Bat hepatovirus,KCR10401Natlan2010,Bat hepatovirus,Hepatovirus,864,partial,Costa Rica,Natalus lanatus,2010
KT452717.1,Bat hepatovirus,N589Myomyo2008,Bat hepatovirus,Hepatovirus,810,partial,Germany,Myotis myotis,2008
KT452718.1,Bat hepatovirus,N5820Myomyo2008,Bat hepatovirus,Hepatovirus,405,partial,Germany,Myotis myotis,2008
KT452719.1,Bat hepatovirus,N6833Myomyo2008,Bat hepatovirus,Hepatovirus,864,partial,Germany,Myotis myotis,2008
KT452720.1,Bat hepatovirus,N6838Myomyo2008,Bat hepatovirus,Hepatovirus,864,partial,Germany,Myotis myotis,2008
KT452721.1,Bat hepatovirus,N71037Myomyo2010,Bat hepatovirus,Hepatovirus,864,partial,Germany,Myotis myotis,2010
KT452722.1,Bat hepatovirus,N71053Myomyo2010,Bat hepatovirus,Hepatovirus,864,partial,Germany,Myotis myotis,2010
KT452723.1,Bat hepatovirus,N71067Myomyo2010,Bat hepatovirus,Hepatovirus,405,partial,Germany,Myotis myotis,2010
