pointer,KT452714,KX420952,MG559674,KT452729,KT452730,OM302498,KT452742
280,48,0,8,0,0,2,0
300,52,0,3,1,0,5,1
320,81,0,4,1,0,0,2
340,77,0,2,0,0,0,0
360,88,0,0,0,0,0,0
380,100,0,0,0,0,0,0
400,99,0,0,0,0,0,0
420,100,0,0,0,0,0,0
440,100,0,0,0,0,0,0
460,100,0,0,0,0,0,0
480,100,0,0,0,0,0,0
500,100,0,0,0,0,0,0
520,100,0,0,0,0,0,0
540,100,0,0,0,0,0,0
560,100,0,0,0,0,0,0
580,100,0,0,0,0,0,0
600,97,0,0,0,0,0,3
620,99,0,0,0,0,0,1
640,100,0,0,0,0,0,0
660,100,0,0,0,0,0,0
680,97,0,0,0,0,0,3
700,97,0,0,0,0,0,1
720,90,0,0,0,0,0,1
740,97,0,0,0,0,0,1
760,97,0,0,0,0,0,0
780,94,3,0,0,0,0,0
800,41,36,1,0,0,0,0
820,63,21,0,0,0,0,3
840,54,34,1,0,0,0,0
860,60,25,4,0,0,0,0
880,54,19,11,0,0,0,0
900,56,23,5,0,0,0,0
920,75,1,1,0,0,0,0
940,76,4,1,0,0,0,0
960,36,0,0,0,0,0,2
980,22,0,6,0,0,0,5
1000,29,0,3,0,0,0,2
1020,20,3,3,0,0,0,7
1040,38,0,0,0,0,0,30
1060,33,0,0,0,2,7,11
1080,40,1,0,0,0,5,18
1100,46,1,0,0,0,6,2
1120,19,4,0,0,0,18,6
1140,5,1,0,0,3,41,15
1160,7,2,0,1,1,28,8
1180,19,1,0,0,0,27,4
1200,13,1,1,5,10,24,1
1220,15,0,0,5,8,13,10
1240,15,0,1,5,0,12,13
1260,9,0,0,10,5,9,10
1280,3,1,2,15,4,15,10
1300,1,0,1,7,7,13,6
1320,2,0,0,7,0,0,18
1340,9,0,0,7,5,1,9
1360,24,0,0,1,14,0,17
1380,13,2,0,0,17,3,30
1400,24,0,0,1,1,0,22
1420,29,5,0,2,1,0,10
1440,27,3,0,8,7,0,0
1460,28,2,0,7,8,0,0
1480,43,0,0,1,5,0,0
1500,37,0,0,0,7,0,1
1520,43,0,2,1,11,2,1
1540,27,0,1,0,20,0,0
1560,12,0,1,3,3,1,1
1580,44,0,0,3,0,0,1
1600,32,0,3,0,0,0,2
1620,12,2,1,0,1,0,4
1640,19,0,0,0,1,0,5
1660,31,1,1,0,0,0,25
1680,60,0,0,0,0,0,21
1700,50,2,0,0,0,0,32
1720,61,0,0,0,0,0,26
1740,66,1,0,0,0,0,17
1760,51,0,0,0,0,0,41
1780,38,0,1,0,0,0,59
1800,59,0,0,0,0,0,38
1820,67,0,0,0,0,0,29
1840,61,0,0,0,0,0,36
1860,57,0,0,0,0,1,38
1880,48,0,0,2,0,0,40
1900,43,0,0,3,0,1,43
1920,16,0,0,16,0,2,56
1940,4,0,0,20,4,3,56
1960,12,0,0,11,2,10,44
1980,15,0,2,8,0,15,31
2000,16,0,0,4,0,10,47
2020,8,0,1,9,0,25,30
2040,17,0,0,3,0,21,38
2060,2,0,0,11,0,36,29
2080,7,1,0,11,1,26,27
2100,20,0,2,1,9,14,19
2120,24,0,0,0,1,19,27
2140,47,0,0,1,0,19,7
2160,56,1,0,0,0,10,4
2180,61,0,0,0,1,6,3
2200,75,0,0,0,0,6,3
2220,76,0,0,0,0,3,3
2240,92,0,0,0,0,0,1
2260,100,0,0,0,0,0,0
2280,96,0,0,0,0,0,2
2300,96,0,0,0,0,0,4
2320,97,0,0,0,0,0,1
2340,98,0,0,0,0,0,1
2360,99,0,0,0,0,0,0
2380,97,0,0,0,0,0,0
2400,96,1,0,0,0,0,0
2420,97,1,0,0,0,0,1
2440,93,0,0,0,0,0,0
2460,88,2,0,0,0,0,1
2480,77,16,0,0,2,0,0
2500,71,15,0,0,2,0,0
2520,98,0,0,0,0,0,0
2540,95,5,0,0,0,0,0
2560,100,0,0,0,0,0,0
2580,100,0,0,0,0,0,0
2600,100,0,0,0,0,0,0
2620,100,0,0,0,0,0,0
2640,99,0,0,0,1,0,0
2660,100,0,0,0,0,0,0
2680,100,0,0,0,0,0,0
2700,100,0,0,0,0,0,0
2720,97,0,0,1,1,0,0
2740,99,0,0,0,0,0,0
2760,93,0,0,1,0,0,1
2780,85,0,0,1,0,0,2
2800,91,0,0,0,1,0,1
2820,71,0,0,1,0,0,4
2840,67,0,0,0,0,0,4
2860,50,0,0,0,0,1,5
2880,74,0,0,0,0,0,8
2900,65,1,0,0,0,0,2
2920,48,0,0,0,1,0,1
2940,68,8,0,0,2,0,0
2960,83,2,0,0,1,0,0
2980,74,11,0,0,0,0,2
3000,82,4,0,0,2,0,7
3020,93,2,0,0,1,0,3
3040,96,4,0,0,0,0,0
3060,96,3,0,0,0,0,0
3080,98,1,0,0,0,0,0
3100,95,2,0,0,0,0,0
3120,94,4,0,0,0,0,0
3140,79,3,0,0,0,0,2
3160,75,4,0,0,0,0,0
3180,72,6,0,0,0,0,0
3200,65,7,0,0,0,0,0
3220,76,2,0,0,0,0,0
3240,72,4,0,0,0,0,0
3260,99,0,0,0,0,0,0
3280,94,2,0,0,0,0,0
3300,91,1,0,0,0,0,1
3320,76,0,0,0,0,0,13
3340,83,3,1,0,0,0,3
3360,80,0,0,0,0,5,8
3380,97,0,0,0,0,0,2
3400,98,0,0,0,0,0,1
3420,100,0,0,0,0,0,0
3440,100,0,0,0,0,0,0
3460,100,0,0,0,0,0,0
3480,100,0,0,0,0,0,0
3500,100,0,0,0,0,0,0
3520,100,0,0,0,0,0,0
3540,100,0,0,0,0,0,0
3560,100,0,0,0,0,0,0
3580,100,0,0,0,0,0,0
3600,100,0,0,0,0,0,0
3620,100,0,0,0,0,0,0
3640,99,0,1,0,0,0,0
3660,99,0,1,0,0,0,0
3680,100,0,0,0,0,0,0
3700,99,0,1,0,0,0,0
3720,91,0,4,0,0,0,0
3740,100,0,0,0,0,0,0
3760,94,0,0,0,0,0,0
3780,91,0,0,0,0,0,0
3800,94,0,0,0,0,0,0
3820,91,0,0,0,0,0,0
3840,92,0,0,0,0,0,0
3860,91,0,0,0,0,0,0
3880,89,0,0,0,0,0,0
3900,99,0,0,0,0,0,0
3920,100,0,0,0,0,0,0
3940,86,0,0,0,0,0,1
3960,97,0,0,0,0,0,0
3980,84,0,0,0,0,0,0
4000,92,0,0,0,0,0,1
4020,91,0,0,0,0,0,3
4040,98,0,0,0,0,0,0
4060,92,0,0,0,0,0,0
4080,88,3,0,0,0,0,3
4100,84,1,0,0,0,0,3
4120,74,0,0,0,0,0,10
4140,58,2,0,0,0,0,6
4160,50,0,0,0,0,0,14
4180,58,3,0,0,0,0,4
4200,35,0,0,1,0,0,8
4220,50,1,0,5,0,0,4
4240,14,0,0,7,0,0,12
4260,43,1,0,7,0,0,1
4280,46,2,0,1,0,0,1
4300,51,6,1,2,0,0,4
4320,47,8,8,0,0,0,0
4340,42,12,11,0,0,0,0
4360,48,5,15,0,0,0,0
4380,69,0,12,0,0,0,0
4400,73,3,6,0,0,0,2
4420,69,2,2,0,0,0,2
4440,74,2,2,0,0,0,0
4460,88,0,0,0,0,0,0
4480,84,0,1,0,0,0,0
4500,98,0,0,0,0,0,1
4520,97,0,0,0,0,0,0
4540,93,0,0,0,0,0,0
4560,95,0,0,0,0,0,5
4580,94,0,0,0,0,0,4
4600,94,0,0,0,0,0,4
4620,91,0,0,0,0,0,5
4640,88,0,0,0,0,0,9
4660,77,0,2,0,0,0,15
4680,61,1,0,0,0,0,27
4700,64,0,1,0,0,0,28
4720,33,0,2,0,0,0,41
4740,53,1,5,0,0,0,23
4760,60,5,11,0,0,0,7
4780,72,1,13,0,0,0,6
4800,72,0,7,0,0,0,9
4820,65,1,11,0,0,0,12
4840,73,0,3,0,0,0,5
4860,54,1,2,0,0,4,12
4880,87,1,0,0,0,0,1
4900,39,0,2,0,1,6,1
4920,38,0,1,5,0,1,5
4940,49,0,0,1,0,0,7
4960,44,0,0,4,2,2,9
4980,71,1,0,1,1,2,2
5000,87,1,0,0,0,0,0
5020,88,1,0,0,0,0,0
5040,89,1,0,0,0,0,0
5060,96,1,0,0,0,0,0
