Pointer,PP711921 - OQ818320,PP711921 - PP711911,OQ818320 - PP711911
20,82,0,13
40,81,0,15
60,91,1,8
80,88,3,8
100,89,1,9
120,85,4,10
140,65,0,33
160,79,0,21
180,85,0,15
200,92,0,8
220,96,2,2
240,87,1,11
260,70,0,29
280,61,1,36
300,72,0,28
320,71,0,25
340,97,0,2
360,97,0,2
380,98,0,2
400,97,0,2
420,99,0,0
440,100,0,0
460,100,0,0
480,100,0,0
500,100,0,0
520,100,0,0
540,100,0,0
560,100,0,0
580,100,0,0
600,100,0,0
620,100,0,0
640,100,0,0
660,100,0,0
680,100,0,0
700,100,0,0
720,100,0,0
740,100,0,0
760,100,0,0
780,100,0,0
800,100,0,0
820,100,0,0
840,100,0,0
860,100,0,0
880,100,0,0
900,100,0,0
920,100,0,0
940,97,0,3
960,87,0,12
980,93,0,5
1000,77,0,14
1020,27,8,53
1040,53,13,27
1060,32,31,27
1080,28,50,14
1100,20,63,11
1120,11,73,11
1140,10,74,10
1160,12,81,2
1180,22,61,7
1200,59,30,7
1220,82,14,2
1240,69,19,8
1260,54,33,5
1280,57,33,7
1300,63,26,2
1320,73,19,4
1340,84,11,0
1360,73,10,10
1380,44,36,9
1400,56,37,2
1420,35,55,4
1440,65,28,0
1460,67,19,7
1480,93,0,5
1500,80,9,3
1520,77,11,8
1540,80,8,10
1560,95,3,1
1580,95,3,2
1600,89,6,5
1620,90,2,6
1640,77,11,7
1660,53,37,1
1680,24,71,1
1700,44,42,9
1720,45,47,2
1740,25,65,4
1760,17,73,4
1780,36,55,0
1800,29,67,0
1820,44,47,0
1840,49,43,3
1860,62,18,13
1880,55,25,20
1900,51,43,6
1920,65,26,9
1940,50,44,6
1960,56,43,1
1980,24,53,23
2000,42,40,18
2020,25,65,10
2040,31,64,5
2060,23,75,0
2080,56,41,3
2100,44,41,6
2120,18,62,16
2140,16,67,13
2160,14,71,13
2180,17,71,7
2200,3,75,19
2220,6,70,18
2240,6,64,24
2260,4,52,36
2280,10,63,23
2300,14,57,23
2320,8,51,35
2340,21,53,23
2360,34,38,22
2380,7,18,68
2400,3,10,85
2420,0,0,100
2440,0,3,97
2460,2,3,94
2480,3,4,91
2500,2,3,94
2520,8,8,83
2540,8,8,78
2560,0,15,83
2580,2,28,60
2600,14,53,29
2620,28,59,6
2640,63,26,9
2660,55,21,13
2680,8,23,62
2700,12,30,50
2720,22,14,61
2740,54,5,40
2760,63,1,36
2780,79,2,19
2800,91,0,9
2820,81,4,13
2840,75,15,10
2860,81,17,2
2880,95,5,0
2900,97,2,0
2920,100,0,0
2940,98,1,0
2960,93,5,0
2980,96,4,0
3000,94,3,0
3020,100,0,0
3040,100,0,0
3060,98,0,0
3080,97,0,3
3100,95,0,4
3120,77,2,15
3140,55,2,34
3160,53,0,42
3180,84,0,12
3200,97,1,2
3220,100,0,0
3240,100,0,0
3260,100,0,0
3280,100,0,0
3300,99,0,0
3320,100,0,0
3340,100,0,0
3360,100,0,0
3380,100,0,0
3400,100,0,0
3420,100,0,0
3440,100,0,0
3460,100,0,0
3480,100,0,0
3500,100,0,0
3520,100,0,0
3540,100,0,0
3560,100,0,0
3580,99,1,0
3600,99,0,1
3620,99,0,1
3640,92,1,7
3660,97,0,3
3680,99,0,1
3700,100,0,0
3720,100,0,0
3740,100,0,0
3760,100,0,0
3780,100,0,0
3800,100,0,0
3820,100,0,0
3840,100,0,0
3860,100,0,0
3880,100,0,0
3900,100,0,0
3920,100,0,0
3940,100,0,0
3960,100,0,0
3980,100,0,0
4000,100,0,0
4020,100,0,0
4040,100,0,0
4060,100,0,0
4080,100,0,0
4100,100,0,0
4120,99,1,0
4140,96,2,0
4160,96,4,0
4180,99,1,0
4200,97,3,0
4220,99,1,0
4240,96,4,0
4260,100,0,0
4280,100,0,0
4300,100,0,0
4320,100,0,0
4340,100,0,0
4360,100,0,0
4380,100,0,0
4400,100,0,0
4420,100,0,0
4440,100,0,0
4460,100,0,0
4480,100,0,0
4500,98,2,0
4520,96,4,0
4540,91,7,0
4560,84,14,0
4580,94,4,0
4600,100,0,0
4620,99,1,0
4640,87,11,0
4660,97,2,0
4680,98,1,0
4700,95,5,0
4720,95,0,1
4740,98,0,0
4760,100,0,0
4780,99,0,0
4800,99,1,0
4820,94,3,2
4840,98,0,2
4860,98,1,1
4880,99,0,0
4900,97,2,0
4920,99,0,1
4940,100,0,0
4960,97,0,1
4980,92,4,1
5000,100,0,0
5020,100,0,0
5040,100,0,0
5060,100,0,0
5080,100,0,0
5100,100,0,0
5120,100,0,0
5140,100,0,0
5160,99,1,0
5180,99,0,1
5200,93,2,4
5220,82,1,13
5240,96,0,3
5260,93,2,2
5280,68,8,19
5300,62,4,21
5320,94,0,2
5340,93,0,7
5360,78,1,20
5380,97,0,3
5400,96,1,3
5420,97,0,3
5440,97,0,3
5460,100,0,0
5480,100,0,0
5500,99,0,1
5520,99,0,1
5540,98,0,2
5560,99,0,1
5580,99,0,1
5600,98,0,2
5620,96,0,1
5640,99,1,0
5660,96,0,4
5680,92,1,7
5700,69,4,27
5720,83,2,15
5740,68,4,24
5760,91,3,6
5780,68,2,29
5800,89,1,10
5820,67,0,33
5840,81,0,15
5860,98,0,2
5880,99,0,0
5900,100,0,0
5920,100,0,0
5940,100,0,0
5960,100,0,0
5980,100,0,0
6000,99,0,1
6020,100,0,0
6040,100,0,0
6060,96,0,2
6080,71,7,17
6100,59,11,25
6120,80,13,5
6140,72,13,7
6160,83,9,1
6180,81,12,3
6200,63,32,0
6220,35,56,5
6240,21,67,5
6260,72,25,1
6280,75,14,10
6300,80,9,10
6320,83,4,9
6340,85,2,11
6360,96,0,3
6380,99,0,0
6400,99,0,1
6420,97,0,1
6440,96,1,2
6460,96,1,2
6480,85,5,4
6500,82,8,4
6520,66,18,11
6540,37,52,1
6560,7,87,4
6580,4,92,1
6600,12,83,1
6620,25,70,0
6640,44,47,1
6660,42,53,0
6680,37,60,1
6700,54,38,2
6720,27,67,2
6740,36,44,11
6760,69,9,14
6780,69,10,13
6800,29,25,38
6820,36,16,42
6840,21,31,40
6860,10,22,63
6880,28,27,37
6900,71,10,14
6920,79,1,12
6940,81,9,9
6960,72,11,11
6980,64,18,12
7000,64,15,13
7020,54,23,14
7040,56,8,30
7060,60,21,14
7080,42,20,31
7100,55,25,16
7120,34,41,20
7140,53,13,31
7160,59,13,24
7180,75,9,10
7200,81,2,15
7220,75,2,22
7240,78,8,8
7260,77,5,14
7280,66,8,21
7300,20,11,55
7320,0,0,0
7340,0,38,53
7360,11,37,42
7380,3,24,68
7400,2,21,75
7420,2,19,78
