,OQ818337,HPA,KR703607,KT452637,KT452658,KT452685,KT452714,KT452730,KT452735,KT452742
OQ818337,,57.963,67.088,57.882,56.034,58.758,81.926,65.266,56.029,58.119
HPA,57.963,,58.146,63.798,55.231,63.587,58.252,57.112,53.370,54.165
KR703607,67.088,58.146,,57.956,56.820,58.511,66.065,63.348,55.225,58.007
KT452637,57.882,63.798,57.956,,56.076,66.475,58.087,56.683,54.824,54.874
KT452658,56.034,55.231,56.820,56.076,,55.518,57.207,56.437,52.083,53.682
KT452685,58.758,63.587,58.511,66.475,55.518,,58.479,57.857,55.541,55.251
KT452714,81.926,58.252,66.065,58.087,57.207,58.479,,65.128,56.234,58.528
KT452730,65.266,57.112,63.348,56.683,56.437,57.857,65.128,,53.423,56.423
KT452735,56.029,53.370,55.225,54.824,52.083,55.541,56.234,53.423,,57.660
KT452742,58.119,54.165,58.007,54.874,53.682,55.251,58.528,56.423,57.660,
