Position in alignment,PP766460 - PP766477,PP766460 - E_helvum_sapovirus,PP766477 - E_helvum_sapovirus
20,0,27,73
40,0,2,98
60,0,1,99
80,0,2,98
100,0,3,94
120,0,4,95
140,0,10,86
160,0,3,97
180,0,2,96
200,0,1,99
220,0,2,95
240,0,15,77
260,0,34,61
280,0,9,91
300,0,4,96
320,0,22,78
340,0,12,87
360,0,24,75
380,0,11,89
400,0,15,85
420,0,5,95
440,0,19,81
460,0,28,71
480,0,43,56
500,0,40,59
520,0,45,54
540,0,55,45
560,0,68,30
580,0,83,17
600,0,90,9
620,0,93,7
640,0,87,13
660,0,65,35
680,0,73,25
700,0,50,48
720,0,67,33
740,0,93,7
760,0,97,3
780,0,100,0
800,2,97,1
820,5,93,2
840,4,89,7
860,3,96,1
880,2,98,0
900,1,99,0
920,2,98,0
940,5,95,0
960,7,93,0
980,2,95,3
1000,1,92,7
1020,1,74,25
1040,0,71,29
1060,0,42,58
1080,0,27,72
1100,0,24,76
